,리뷰,메뉴
0,황올 진짜 존맛..튀김 바삭고소함,황금올리브（반반）/1
1,예상시간보다 빠ㅡ르게 배달해주셨네요,황금올리브치킨순살/1
2,잘먹었습니다!!!!,황금올리브（반반）/1
3,맛있어요~ 다음에 또 먹을게요,황금올리브（반반）/1
4,맛잇어요 ~~~~~,"극한매운왕갈비치킨/1,황금알치즈볼/1"
5,배달 엄청 빠르고 맛도 있었는데 두조각이 원래 이렇게 크게 잘려져서 오나요? 가슴살 쪽이 거의 어른 손바닥만한 크기로 2개 왔어요.. 그래도 맛있긴했는데 원래 이런건가요?,"황금올리브치킨/1,황금알치즈볼/1,양념소스 추가/1"
6,존맛인데 치킨은 좀 작은거같아요..!,극한매운왕갈비치킨/1
7,치킨무가 한개 안왔어요 기본 한개 주는거 맞죠?,"자메이카통다리구이＋황금알치즈볼/1,치킨무 추가/1,코카-콜라 1.25L/1"
8,어머니께서 닭이 도축 당할때 스트레스가 많은 닭이 아니냐고 물으셨어요. 닭뼈에서 피멍 든 모습도 보이고 닭을 먹는데 많이 먹어야지 하는 생각이 안 들었어요,황금올리브치킨/1
9,사진을 못 찍어서 맛없게 나오긴했는데 맛있게 잘 먹었습니다. 뜨끈뜨끈하게 배달도 빨리 왔구요. 다음에 시킬 때도 만족할 수 있기를 바래요 :),황금올리브치킨/1
10,처음 먹어봣는데 맛잇어요 닭 조각이 커서 좋아요 두조각 이상은 못먹어요 치즈볼도 처음먹어봣은데 맛잇어요ㅜㅜ 배달시간도 빨리와서 좋앗어요 번창하세요,"황금올리브치킨/1,황금알치즈볼/1,양념소스 추가/2"
11,엊그제 맛있게 먹어서 다른걸로 또시켰는데 이것도 맛있네요 ㅎㅎ,자메이카 통다리구이/1
12,배달도 빠르고 깔끔하니 좋네요,자메이카통다리구이＋황금알치즈볼/1
13,맛있습니다! 받자마자 다 먹어버렸네요 ㅎㅎ,극한매운왕갈비치킨/1
14,맛있게 잘 막었어요,황금올리브（반반）/1
