,리뷰,메뉴
0,뿌링클 강추 입니다!!,뿌링클/1(추가메뉴(뿌링소떡))
1,마라칸을 시켰는데 양념이 묻다 말았네요 마라향도 너무 약하고.. 아쉽네요 그래도 집앞이라 배달은 빨랐네요..;;;;;,마라칸/1(추가메뉴(치킨무))
2,너무 맛있게 잘먹었습니다,"순살뿌링클/1,뿌링핫도그/1"
3,👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼,뿌링클/1
4,뿌링감자맛있어용~ 또 시킬게요,"해바라기핫후라이드치킨/1,뿌링감자/1,생맥주1000cc/1"
5,친절하시고 맛도좋아용,뿌링클다리¸/1
6,튀김도좋고 너무 맛있어요,뿌링클날개¸/1
7,맛있어요,"뿌링클/1,달콤바삭치즈볼/1"
8,뿌링클은 언제먹어도 맛있네요~! 식지않고 따뜻하게 잘먹었습니다^^,뿌링클＋빨간소떡/1(추가메뉴(뿌링치즈볼))
9,사이드메뉴만 시켰는데 맛있어요! 깔끔하게 포장해서 배달와서 조아영,"빨간소떡/1(추가메뉴(뿌링뿌링소스)),달콤바삭치즈볼/2,콜라245ml/1"
10,순살로 시켜서 아이들이 순식간에 다 먹었어요. 맛있네요~,순살뿌링클/1
11,맛있었어요! 비가 안와서 주문했는데 기사님 뵈니까 비 많이 맞으신거 같더라구요ㅠㅠ 다음엔 맑은 날 시킬게요!,뿌링클HOT/1
12,애들이 좋아하는 쁘링클^^,"뿌링클/1,케이준프라이/1,콜라500ml/1"
13,닭다리가 많이 다이어트 했네요.,뿌링클＋치즈볼/1
14,배달 굿이구요~ 뿌링클치즈볼 겉이 바싹하네요 맛있게.잘먹었어요~,치하오＋뿌링치즈볼/1
15,뿌링클 말할것도 없이 맛있죠 그런데.. 치킨이 너무 튀겨져서 너무 딱딱했어여 ㅠㅠ 딱딱한부분 씹어지지도 않아 이 아파서 그냥 버렸습니다..,"뿌링클/1,뿌링핫도그/1"
16,배달이 엄청 빨랐어요! 시킨지 30분도안되서 왔습니당 뿌링클핫도그도쫀득쫀득맛잇엇어요ㅎㅎㅎ,"뿌링클/1,뿌링핫도그/1"
17,맛있어요,"뿌링클/1,달콤바삭치즈볼/1"
18,바람부는 날씨였는데도 잘 배달해주셔서 감사합니다. 치킨도 넘 맛있어요!,뿌링클/1
19,최고❤️❤️❤️❤️❤️❤️❤️❤️,뿌링클/1(추가메뉴(뿌링치즈볼))
20,맛있어요 마라향이 좋아요,마라칸/1(추가메뉴(뿌링감자))
21,요기요 배달 첫 주문이였는데 배달도 빠르고 치킨도 마있어서 정말 좋았어요 ㅎㅎ 딱 하나 아쉬운 점은 치킨이 조금 식어서 아쉬웠지만 좋았어요 ㅎㅋ,순살뿌링클/1(추가메뉴(뿌링소떡))
22,좋아요좋아요좋아요맛있어요,해바라기후라이드치킨/1
23,맛있어서 후루룩 뚝딱 먹었어용 사이드만 시켜도 꿀맛,"뿌링치즈볼/1(추가메뉴(뿌링뿌링소스,뿌링감자)),달콤바삭치즈볼/1"
24,언제나 깔끔하게 배달 맛있게 먹었어요,순살뿌링클/1
25,시간은 좀걸렸지만 맛있었어요 또 먹을꺼에요,뿌링클＋치즈볼/1
26,먹는데 닭에서 냄새가 좀 나네요. 위에 뿌려주는 가루가 적어서 그런지 밑에는 이렇게 눅눅해져서 왔어요. 그래도 배달하시는 분이 너무 친절하셨어요.,뿌링클/1
27,맛나게잘먹었어용~~~~~~,"해바라기후라이드치킨/1,콜라1.25L¸/1"
28,다른 점은 껍질 엄청 두껍고 살쪼금인데 여기는 진짜 최고!! 살도많쿠요 배달진짜빨리옴~~ 감사합니다,해바라기닭다리후라이드치킨/1
29,오늘도 역시 빠름~~빠름~~ 맛있어요. 아들들 좋아하네요.,"뿌링클다리¸/1(추가메뉴(뿌링뿌링소스,뿌링소떡,뿌링감자,뿌링치즈볼))"
30,맛있어요,해바라기후라이드치킨/1
31,맛은 너무 당연하게 맛있었고 배달도 생각보다 빨라서 잘 먹었습니다!,뿌링클/1(추가메뉴(뿌링치즈볼))
32,최고 배달도 빠르고 감사합니다,후라이드 반／양념 반/1
33,맛있게 잘 먹었습니다~!,"치레카다리¸/1,맛초킹다리¸/1"
34,감사히 맛있게 잘 먹었습니다~!,맛초킹다리¸/1
35,맛있게 먹었습니다. 그런데 조금 짰습니다.,맛초킹（한마리）/1
36,배달도빠르고딷듯하고맛잇어요~감사합니다~,순살뿌링클HOT/1
37,넘 좋아요 ㅎㅎ 맛있어요,후라이드＋뿌링감자/1
38,역시나 짱짱 빠른배송깢,후라이드 반／양념 반/1
39,오늘 닭에서 냄새도 좀 나는거 같고 튀김색갈도 튀김 기름이 좀 된거 같고.. 오늘은 별로였음.,후라이드＋뿌링치즈볼/1
40,역시나 굿굿 잘먹었습니자,후라이드 반／양념 반/1
41,배달 늦었다고 사과하시면서 주셨는데 배달 안 느렸어요ㅎㅎ 빠르고 따뜻하게 배달해주셔서 감사하고 치킨 맛있어요! 뿌링클 최고🥰,뿌링클/1
42,배달도 빠르고 잘 먹었습니다,"뿌링클/1,뿌링감자/1"
43,항상 맛있게 잘해주셔요~,"순살뿌링클/1,달콤바삭치즈볼/1,콜라1.25L¸/1"
44,맛있게 먹었습니다^^,뿌링클/1
