,리뷰,메뉴
0,배달 빠르고 맛닜어요,"Best 디저트팩/1,NEW 핫치즈징거버거/1,NEW 징거버거/1"
1,배달도 빠르고 맛있어요,"블랙라벨폴인치즈버거세트/1(사이드변경(후렌치후라이),음료변경(콜라)),닭똥집튀김/1,롱치즈스틱/1"
2,역시 먹어봤던 맛~,"NEW 징거버거세트/1(사이드변경(후렌치후라이),음료변경(콜라)),NEW 징거버거세트/1(사이드변경(후렌치후라이),음료변경(스프라이트교환)),스위트칠리소스/1"
3,맛있게 잘 먹었습니다.,"NEW 타워버거세트/1(사이드변경(텐더떡볶이교환),음료변경(환타오렌지교환)),NEW 징거더블다운맥스/1"
4,배달양호 근데 식어서왔네요,블랙라벨치킨 6조각/1
5,잘받았습니다.,"NEW 타워버거세트/1(사이드변경(후렌치후라이),음료변경(콜라)),NEW 징거더블다운맥스/1"
6,K F C 핫윙 맛있어요~~,"오리지널치킨 1조각/1,핫윙박스 10조각/1,핫윙 4조각/1,환타오렌지/1"
7,배달도 빨라서 음식 항상 따뜻하게 도착해서 좋네요!,"트위스터세트/1(사이드변경(통오징어바이트 5조각교환),음료변경(콜라)),NEW 징거버거/1,트위스터/1"
8,맛있게 잘 먹었어요!,"블랙라벨폴인치즈버거세트/1(사이드변경(후렌치후라이),음료변경(코크제로교환)),NEW 타워버거/1"
9,배달빠르고 맛있어요 KFC최고~~~,"핫크리스피치킨 4조각/1,핫크리스피치킨 1조각/1,후렌치후라이（M）/1,스위트칠리소스/2"
10,요기요에서 처음 배달해봤어요. 편하게 잘 먹었습니다.,"갓양념치킨 1조각/2,블랙라벨치킨 1조각/1,핫크리스피치킨 1조각/1,오리지널치킨 1조각/2"
11,무난합니다. 햄버거 땡길때 추천,"Best 버거팩/1,닭똥집튀김/1"
12,잘먹었습니다 덕분에 살았습니다,핫크리스피치킨 1조각/6
13,맛있었습니다 또 주문할게요^^,"블랙라벨치킨 4조각/1,닭똥집튀김/1,코카-콜라 245mL/1"
14,맛있게 잘먹었습니다 잘먹었습니다,블랙라벨치킨 버켓 8조각/1
15,맛있게 잘먹었습니다 잘먹었습니다,"블랙라벨폴인치즈버거/1,블랙라벨 에그타워버거/1"
16,다리나 날개를 선택할수 있으면 좋겠어요.몸통은 싫어한답니다,"갓양념치킨 1조각/2,블랙라벨치킨 4조각/1"
17,배달은 45분 정도 걸렸구요 맛있게 잘 먹었습니다~!,"NEW 타워버거세트/1(사이드변경(후렌치후라이),음료변경(콜라)),올쉐킷치즈/1,롱치즈스틱/2"
18,닭이진짜 너무 작은거 아닙니까? 배달도 예상시간보다 30분늦고. 배달오신분은 친절하시네요.,"오리지널치킨 6조각/1,버터/3"
19,총알 배달이 와서 정말 맛있게 잘먹었어요!,"갓양념치킨 1조각/2,핫크리스피치킨 1조각/2,오리지널치킨 1조각/1"
20,최곱니다 시킬때마다 놀라워요,핫크리스피치킨 1조각/5
