,리뷰,메뉴
0,배달해주신분이 친절하셔서 더 맛있었네요 ^^,"갓양념치킨 1조각/2,오리지널치킨 1조각/2,에그타르트/2"
1,배달빠르고 맛있게 왔어요 역시 치킨은 오리지날,"블랙라벨치킨 1조각/1,오리지널치킨 1조각/2,NEW 징거버거세트/1(사이드변경(치킨너겟 4조각교환),음료변경(콜라))"
2,맛있배달친절 빠름,"Best 버거팩/1,닭똥집튀김/1"
3,음식이 좀 식어서 왔어요 평소보다 눅눅하고 ㅎ;;;,"핫크리스피치킨 1조각/2,텐더스트립스 2조각/1,에그타르트/1,후렌치후라이（L）/1,코카-콜라 500mL/1"
4,이번엔 치킨도 바삭하고 따뜻했어염 ㅋㅋ 번창하세염,"갓양념치킨 1조각/1,핫크리스피치킨 1조각/2,닭똥집튀김/1,비스켓/2,딸기잼/1"
5,아무리 마감시간 가까이에 주문했지만 치킨은 눅눅하고 감자튀김은 다 식은 걸 가져오고...잔돈준비도 안하고 영 언짢네요,"핫크리스피치킨 4조각/1,후렌치후라이（M）/1,코카-콜라 245mL/1"
6,배달 메세지 넣으면 안 보시는 분 많으신데..이번에 배달 해주신분은 다 지켜주셨어요! 감사합니다~~,"갓양념치킨 1조각/1,트위스터세트/1(사이드변경(텐더떡볶이교환),음료변경(환타오렌지교환)),닭똥집튀김/1"
7,치킨은 역시 맛있죵,"블랙라벨치킨 1조각/1,핫크리스피치킨 1조각/1,오리지널치킨 1조각/1,콘샐러드/3"
8,치킨 먹는데 치킨이 아닌 다른 맛?.. 뭐라 설명할 수 없는 맛이 났어요 일단 먹기는 했는데 반 정도는 버렸습니다. 그리고 너무 식어서 왔어요ㅜㅜ,"블랙라벨치킨 1조각/2,핫크리스피치킨 1조각/2,스위트칠리소스/1,코크제로/1"
9,배달은 좀 느렸지만 맛좋아요,"핫크리스피치킨 1조각/1,오리지널치킨 1조각/1,NEW 핫치즈징거버거/1,비스켓/1,콘샐러드/1"
10,존맛 !!! 역시 KFC,"NEW 핫치즈징거버거세트/1(사이드변경(치킨너겟 4조각교환),음료변경(환타오렌지교환)),NEW 징거버거세트/1(사이드변경(치킨너겟 4조각교환),음료변경(스프라이트교환)),롱치즈스틱/1"
11,잘머거써영 ㅎㅎㅎㅎ,Best 버거팩/1
12,배달 50분 예상이었는데 90분만에 옴 제로 콜라 배달됨 치킨 두 조각은 비린내가 너무 심해서 도저히 못 먹을 정도 다른 분들 평이 안 좋아서 고민했었는데 역시는 역시 후회하게 되네요. 다시는 홍대점에 안 시켜 먹을 듯합니다.,"New 치킨도버거도팩/1,블랙라벨치킨 1조각/1"
13,안주로 먹었어요 굿 ㅎ,"갓양념치킨 1조각/2,블랙라벨치킨 1조각/2,핫크리스피치킨 1조각/1,코울슬로/1"
14,배달최고 맛도최곸ㅋ,"핫크리스피치킨 1조각/4,닭똥집튀김/1"
15,배달빠르고맛있읍니다,"핫크리스피치킨 1조각/1,핫윙 8조각/1,통오징어바이트 5조각/1,스위트칠리소스/1"
16,새벽에 시켰는데 음식도 차고 눅눅하고 양도 너무 별로 였어요...ㅠㅠ 배달은 빨리 왔지만..,"닭똥집튀김/1,통오징어바이트 5조각/1,치킨너겟 4조각/1,텐더떡볶이/1,후렌치후라이（L）/1"
17,",근데 Best 버거팩 콜라는 없습니다",Best 버거팩/1
18,잘먹었어요 먹느라 사진은 못찍었네요 담엔사진꼭찍을깨요,"갓양념치킨 1조각/1,핫크리스피치킨 1조각/1,오리지널치킨 1조각/1,닭똥집튀김/1,롱치즈스틱/1"
19,예상배달완료시간 지난지 한참이다,핫크리스피치킨 1조각/7
