,리뷰,메뉴
0,완전 좋아요~~^^,교촌콤보/1(세트 선택(웨지감자（세트）))
1,굿굿 따끈하니 맛나내요,"허니콤보/1,무우/1"
2,배달도 빠르고 넘 존맛,"허니콤보/1,레드디핑소스/1"
3,맛있어서 먹다가 리뷰 까먹었어요 ㅠㅠ 먹다가 사진 찍었네요,허니콤보/1
4,바싹바싹 너무너무 맛있어요👍👍👍,교촌콤보/1
5,배달이 1시간 반이나 걸렸네요 그래도 맛은 있었어요,"허니콤보/1(세트 선택(웨지감자（세트）)),레드디핑소스/1"
6,맛있어여 다음에 또 먹을게여,허니콤보/1(세트 선택(선택안함))
7,맛있게 잘 먹었습니다,허니콤보/1(세트 선택(선택안함))
8,맛있습니다! 다음에 또 시킬게요!,허니콤보/1(세트 선택(선택안함))
9,완전 맛있어요~~~~^^,허니콤보/1(세트 선택(선택안함))
10,반반시켰었는데 핫으로만 왔어요 그냥 먹는다고는 했어요 18000원에 비해 박스가 너무 작았어요.. 허니콤보 다른지점에서 많이 시켜먹었었는데 박스 크기가 너무 달랐어요 가격은 똑같은데 2/3크기정도였네요 레드윙이었는데 생각보다 많이 맵지 않아서 좋았네요 양이 너무 작아서 아쉬웠습니다,반반윙/1(세트 선택(선택안함))
11,하니콤보 처음 먹어봤는데 끌맛이었어요! 인생중에 한번은 먹어야하는 치킨 인정😊👍,허니콤보/1
12,진짜 너무 맛있어요!!!,"허니콤보/1,레드디핑소스/1"
13,배달도 빠륵ㅎ 맛있어요~~~~~~,허니오리지날/1
14,배달도 빠름 맛도 맛있음,레드오리지날/1
15,맛있어여굿굿맛있러려,허니콤보/1(세트 선택(선택안함))
16,명지대점 맛있어요 강추에요 아이들은 역시 허니콤보가 진리인듯요,허니콤보/1
17,여잔히 맛있습니다.ㅎㅎㅎ,"반반콤보/1,교촌후라이드/1"
18,"허니콤보가 먹고싶어서 시켰는데, 너무 맛있습니다~~^^ 다음에도 꼭 !!! 여기서 시켜야겠어용 ㅎㅎ",허니콤보/1(세트 선택(웨지감자（세트）))
19,맛있어요 ㅋㅋㅋㅋㅋ,"레드스틱/1(세트 선택(웨지감자（세트）)),크림치즈소스/1"
20,교촌치킨의 단점이 가끔 너무 바삭하게 타서 배달온다는 건데.. 적당히 조리되어 와서 맛있게 잘 먹었습니다:) 다음에 또 주문할게요~!,반반스틱/1(세트 선택(선택안함))
21,비가 와서 그런지 배달은 좀 늦었지만.. 맛은 좋아요..감사합니다..,허니콤보/2
22,맛있어요 굿이에요 굿굿,허니순살[R]/1(세트 선택(선택안함))
23,양도 많고 너무 맛있었어요!!!,허니콤보/1
24,아주 맛있게 잘 먹었습니다,허니콤보/1(세트 선택(선택안함))
25,태풍때문에 배달 전부 막혔는데 해주셔서 감사합니다,반반오리지날/1
26,먹기 편한 교촌 레드는 역시 맵다,반반콤보/1
27,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,반반오리지날/1
28,항상 주문해요.맛있어요,허니오리지날/1
29,정확한 시간내 배달과 맛도 짱,"허니콤보/1,무우/1"
30,맛있게 잘 먹었습니다,레드콤보/1
31,항상 주문해요.맛있어요,반반오리지날/1(세트 선택(허니순살[S]))
32,제가 먹어본 교촌치킨중 최악이네요. 배달 45분 넘게 걸렸구요. 너무짜고 신선도는 별로..이건 전문가가 아니니.. 하여간 시키실때 고려하세요.,반반콤보/1(세트 선택(선택안함))
33,아주 꿀맛띠이〰️〰️〰️〰️,허니콤보/1(세트 선택(선택안함))
34,역시 교촌이다 가격빼곤 다 괜춘,반반콤보/1
35,비가 엄청 오는 날이라 배달 걱정 했는데. 비닐에 싸서 젖지 않게 잘 갖다주셨어요~,허니콤보/1(세트 선택(선택안함))
36,맛있어요 ㅎㅎㅎ따끈딱ㄲㄷㄴ,"허니콤보/1,레드디핑소스/1"
37,배달시간이 좀 걸리고 양도 적어서 좀 안좋았지만 맛은 있습니다,반반윙/1(세트 선택(선택안함))
38,항상 먹던 맛이예요^^ 맛있어요,허니콤보/1(세트 선택(허니순살[S]))
39,잘먹었어요 굿이에요,허니콤보/1
40,라이스치킨 바삭한게 맛있어요. 허니만 먹었었는데 이젠 다른것도 먹어봐야겠어요,교촌라이스세트/1(세트 선택(허니순살[S]))
41,배달도 오래걸리지 않았구~ 바삭바삭하며 맛있었어요~ 금방 클리어해버렸네요^^,반반오리지날/1(세트 선택(웨지감자（세트）))
42,반반 오리지널 시켰는데 정말 맛있습니다~ 근데 마늘 간장맛이 안나요..,반반오리지날/1(세트 선택(선택안함))
43,리뷰는 진짜 안쓰는데..맛이 원래 이랬나요? 양도 작아지고..반반콤보 시켰는데 간장맛은 이맛도 저맛도 아니고 매운맛도 마찬가지네요..담엔 안시킬거같아요..먹고 나서 이렇게 찜찜한 기분 오랫만이에요,반반콤보/1
44,괜찮아요 맛있네요 ㅎㅎ,교촌콤보/1
45,무빼고달라했는데무가왔네요 웨지감잔케첩이없나봐요 근데맛은역시교촌,반반콤보/1(세트 선택(웨지감자（세트）))
46,역시 교촌이다 이말이야,레드콤보/1(세트 선택(선택안함))
47,ㅇㅇㄹㄹㄹㄱㄹㄹㄱㄱㄹ,"허니콤보/1(세트 선택(선택안함)),레드디핑소스/1"
48,예상시간보다 훨씬 일찍왔고 맛있게 잘먹었습니다!,허니오리지날/1
49,맛있고 배달도 빠르고 최고! 넘 잘먹었습니당,허니오리지날/1(세트 선택(선택안함))
50,치킨이벤트로 배달 늦을 줄 알았는데 예상시간보다 빨리 와서 따뜻할 때 맛있게 먹었어요. ^^ 교촌은 배달팁도 있고 할인을 잘 안해서 이런 행사할 때나 먹어요. ㅋㅋ 오리지날 반반 잘 튀겨져서 와서 만족하며 먹었어요. 레드 많이 맵지 않아서 좋았어요. 리뷰이벤트 했으면 좋겠네요~ㅋㅋ,반반오리지날/1
51,양도 괜찮고 배달비 때문에 안먹었었는데 역시 맛은 굿이네요,반반오리지날/1
52,늦게옴늦게옴늦게옴늦게옴,"허니오리지날/1(세트 선택(선택안함)),레드디핑소스/1"
53,배달도 빠르게 오고 넘 맛있어요,"허니콤보/1,레드디핑소스/1"
54,적당하게 맛있어요,허니오리지날/1
55,바삭바삭 최고예요 조금 달아서 먹다가 살짝 질리는것도 있지만 친구와 함께 먹으니 질릴때쯤 끝났어요ㅋ,허니콤보/1
56,맛있습니다 만족해요,허니콤보/1
57,예상시간보다 빠르게 오신거 같아요~~ 잘 먹을께요,허니콤보/1
58,"닭이 너무 작아요! 완전 어린닭 쓰시나봐요.... 뼈가 짧고 얇은데다 약해요. 튀김옷에서 기름 쩐내가 쪼-금 났어요. 제겐 나쁘지는 않지만 좋지도 않은 치킨인 것 같아요. 배달 진짜 빨랐고, 일회용품 줄이고자 만든 패키지가 참 인상적이었어요.",허니오리지날/1(세트 선택(교촌샐러드（세트）))
59,더 이상 무슨 말이 어떤 의미가 있겠습니까. 맛.있.는.데.,레드콤보/1(세트 선택(선택안함))
60,버스에서 주문하고 집에 도착하고 가방내려놓는순간 띵동!,반반오리지날/1(세트 선택(웨지감자（세트）))
61,굿굿굿 하하하 마씨써요,살살치킨/1
62,허니콤보짱맛핵맛핵맛,"허니콤보/1,교촌후라이드/1"
63,역시 허니오리지날~~^^굳~,허니오리지날/1(세트 선택(선택안함))
64,아이가 좋아해요~ 전 샐러드 위에 잘라서 먹었는데 담백하고 좋네요,살살치킨/1
65,허니콤보 역시 맛있어요 양도 많았고 배달하시는 분도 친절하셨고 담에 또 먹을께요!,허니콤보/1
66,맛있게 잘 먹었어요~,허니콤보/1
67,허니콤보에 레드소스 존맛!,허니콤보/1(세트 선택(선택안함))
68,역시 허니콤보는 대박...! 급하게 먹어 사진이 없네용 ㅠ,허니콤보/1(세트 선택(웨지감자（세트）))
69,좋아요 goodgood,교촌오리지날/1(세트 선택(선택안함))
70,너무 잘받았어요 ~^^,허니오리지날/1(세트 선택(선택안함))
71,배달 빠르고 맛있어요~ 허니 콤보는 양도 많고 진리네요,허니콤보/1(세트 선택(선택안함))
72,많이는 못먹어요 느끼 해요,반반오리지날/1(세트 선택(선택안함))
73,맛있어요 맛있어요 맛있어요,허니콤보/1(세트 선택(선택안함))
74,맛있네요 역시 콤보가 진리,"교촌콤보/1(세트 선택(선택안함)),레드디핑소스/1,잠발라야소스/1"
75,맛도 좋고 배달도 빠르내요~,교촌라이스세트/1
76,늘맛나는취킨최고~~~~~,반반오리지날/1(세트 선택(선택안함))
77,닭이 점점 윤기없이 딱딱해지고 있는것갓아요..ㅜ 씹히는맛에 바삭함과 부드러움이 매력이었는데 ...왜일지모르게 아쉽네요,반반윙/1(세트 선택(선택안함))
78,잘먹었습니다 반반으로,반반윙/1
79,맛잇게먹엇어요!배달팁만없으면더좋을것같아요ㅜㅜ,허니콤보/1(세트 선택(선택안함))
80,허니순살 아이들이 너무 잘먹어요. 살도 촉촉하게 잘 튀겨져서 맛나네요,허니순살[R]/1(세트 선택(선택안함))
81,너무 짜당 ㅠㅠㅠㅠㅠㅠ,반반콤보/1(세트 선택(웨지감자（세트）))
82,맛있어요 추천추천 ㅎ,허니콤보/1(세트 선택(선택안함))
83,맛나요.......,허니콤보/1
84,맛있게 잘 먹었습니다!,허니오리지날/1
85,요즘빠진치킨 넘 맛있어요ㅎㅎ,살살치킨/1(세트 선택(선택안함))
86,근방에 있는 교촌 중에 젤 맛있어요~!!,교촌콤보/1(세트 선택(허니순살[S]))
87,허니순살이 이렇게 맛잇는지 몰랏내요! 짱짱!,교촌콤보/1(세트 선택(허니순살[S]))
88,배달도 빠르고 존맛,"허니콤보/1(세트 선택(선택안함)),레드디핑소스/1"
89,배달은 빠른데 무슨 양념을 묻히다 만것처럼 조각당 1/2정도만 묻어있네요 그닥,허니오리지날/1
90,Good as usual ^^,허니콤보/1
91,역으식 졸맛 ㅋㅋㅋ,반반콤보/1
92,좋아요,허니콤보/1(세트 선택(허니순살[S]))
93,역시 맛있습니당~~ 배달시간도 적당했어요!,허니콤보/1(세트 선택(선택안함))
94,맛있어요 배달은 조금 아쉽,허니콤보/1(세트 선택(선택안함))
95,간만에 시켰는데 개실망 튀김옷도 너무 튀겨지고 하여튼 다신 안시킬듯,허니콤보/1
96,바삭해서맛있습니다아,교촌오리지날/1(세트 선택(웨지감자（세트）))
97,배달 엄청 빨리왔어요 배가 고파서 그런지 맛있네요,"교촌오리지날/1(세트 선택(웨지감자（세트）,선택안함))"
98,또 침고여요 존맛탱이..,반반윙/1
99,언제나 맛잇어여 양은 좀더 많았음 하는데 오늘은 더군다나 조각이 좀 작은거 같았어요 ㅠ 그래도 맛있는 교촌치킨 교촌콤보~,교촌콤보/1(세트 선택(선택안함))
100,가끔시켜먹는 지점인데 행사때는 시키면안됨 2시간30분 만에.옴,교촌오리지날/1
101,맛있어요 매운맛도나름맛있네요,반반윙/1
102,항상 변함없고 맛있어요,반반콤보/1
103,무난해요~~ ㅎㅎㅎㅎㅎㅎ,"허니콤보/1(세트 선택(선택안함)),레드디핑소스/1"
104,이벤트가 있어서 그런지 배달이 오래 걸렸지만 맛도있고 양도 많았어요!,"허니콤보/1,레드디핑소스/1"
105,배달이너무늦음 맛은있어요,허니오리지날/1(세트 선택(선택안함))
106,교촌명지대점 항상 맛잇구 이번에는 배달도 빨리왔어요!,허니콤보/1(세트 선택(선택안함))
107,맛있어요 ㅎㅎㅎㅎㅎ,"허니콤보/1(세트 선택(선택안함)),교촌후라이드/1(세트 선택(선택안함))"
108,배달이 조금 아쉽...,허니콤보/1
109,항상 맛있습니다 혼자 먹으면 나중에 좀 물려요,허니콤보/1
110,배달도 빠르고 맛있어요,반반콤보/1(세트 선택(선택안함))
111,맛있어요! 소스가 더 발렸으면 더 좋았을거 같아요,반반오리지날/1(세트 선택(선택안함))
112,교촌은 교촌이죠 ㅎㅎ 맛있게 잘먹었습니다~~~^^,허니오리지날/1
113,순식간에 사라졌네요ㅎㅎ 완전맛있어용,교촌윙/1(세트 선택(선택안함))
114,교촌은 사랑입니다. 주 2회 교촌치킨. 윙반반.요것만 먹어요. 오늘은 더 맛있네요.바삭바삭,반반윙/1
115,맛있어요 또 주문할께요,허니콤보/1(세트 선택(선택안함))
116,반반콤보가 최고~ 단짠단짠 또 먹고 싶다..,반반콤보/1
117,맛나요 하지만 양이 조금 아쉽다는..,허니콤보/1(세트 선택(웨지감자（세트）))
118,교촌 맛집으로 요 굿굿,반반오리지날/1(세트 선택(웨지감자（세트）))
119,배달도 빠르고 엄청 맛있어요,허니콤보/1(세트 선택(선택안함))
120,예상시간보다 빠르게 도착했습니다,교촌오리지날/1
121,항상 맛있어서 만족합니다.,반반콤보/1
122,실패할수 없는 레드윙!,레드윙/1
123,늘 맛있네요. 아이들이 좋아해서 잘 먹어요.,허니콤보/1(세트 선택(선택안함))
124,맛있게 잘 먹었습니다~~~,교촌라이스세트/1
125,요즘 계속 레드윙만 먹는듯,레드윙/1(세트 선택(선택안함))
126,소이살살이 좀 너무 바싹튀긴것같은? 그래도 맛있어서 잘먹었어요~,소이살살/1(세트 선택(선택안함))
127,맛있어요 또 시킬게요,허니콤보/1(세트 선택(웨지감자（세트）))
128,잘먹었습니다 맛있어요~~,반반오리지날/1
129,맛있어욤 맛있어욤!!,반반콤보/1(세트 선택(선택안함))
130,아이들도 완전잘먹어요. 맛있어용,교촌윙/1(세트 선택(선택안함))
131,오랜만에 허니콤보먹었는데 역시 맛있네요!!,허니콤보/1
132,항상 맛있고 배달도 빠르고만족합니다,반반콤보/1
133,스트레스 받을땐 레드윙 먹어줘야함,레드윙/1
134,맛난다 교촌 말해뭐해 ~,허니콤보/1
135,잘먹었습니다. 번창하세요~,허니오리지날/1
136,생각보다 빨리와서 깜놀했어요 역시 진리,허니콤보/1(세트 선택(선택안함))
137,간장치킨 완전 좋아요~~ 거기다 빠른 서비스까지~👍👍👍,반반콤보/1(세트 선택(웨지감자（세트）))
138,???????????????,교촌윙/1(세트 선택(웨지감자（세트）))
139,배달빠르고 양많고 좋아요 근데 메뉴 진짜 별로에요. 허니콤보나 교촌콤보 시킬껄 괜한 호기심에... 습... 감자만 먹고 버릴려고요. 웬만하면 맛없어도 먹는 저인데 이건 진짜 ㅋㅋ 안되겠어요. 나중에 교촌콤보로 먹어야징,교촌라이스세트/1(세트 선택(선택안함))
