,리뷰,메뉴
0,매번 오리지날이나 볼케이노만 주문하다가 딸아이가 마라맛을 너무 좋아해 마라 볼케이노 첨 시켜봤어요. 맵지만 너무 맛있네요~ 담번에도 마라로 주문할거 같아요. 잘먹었어요~^^,굽네 마라 볼케이노 순살/1
1,너무 맛나네요. 소스랑 찍어먹으면 더 맛나네요. 특히 로제맛나는 소스 찍어멱으면 엄청 맛나네요.치킨이름대로 조금만 더 바사삭 했으면 좋겠어요,굽네 고추 바사삭 순살/1
2,따뜻한 치킨 잘 먹었습니다!,굽네 고추 바사삭/1
3,맛있게 잘 먹었습니다,굽네 오리지널/1
4,한시간정도 걸렸지만 배가 고팠어서 둘이서 10분만에 해치웠어요ㅋㅋㅋㅋㅋㅋ바로먹느라 사진은 없는데 맛있어요👏,굽네 고추 바사삭/1
5,배달 너무 늦어요~ 닭 한마리 주문했는데.. 1시간 10분 걸려 배달 되네요~,굽네 갈비천왕 순살/1
6,정말 만족!!!!!,굽네 고추 바사삭/1
7,요새 굽네에 꽂혀서 4연속으로 굽네 먹고 있는데 질리지 않네요. 타지점에서만 시켜먹다가 처음으로 북가좌점에서 시켰는데 맛있네요. 앞으로도 종종 시켜먹겠습니다~!,굽네 스윗 볼케이노 순살/1
8,좋아요ㅗㅗㅗㅗㅗㅗㅗㆍ,반반C）볼케이노 반＋갈비천왕 반/1
9,고추 바사삭 꿀맛,"굽네 고추 바사삭/1,추가-마그마소스/1,핫 왕중왕 소스 추가/1"
10,맛있어요ㅎㅎㅎㅎ 볼케이노 모짜렐라 치즈 시키는거 까먹었어요 ㅠㅠ 집에있는 슬라리스 치즈로 그냥 해먹었는디 맛있었습니다 ㅎㅎㅎ,"굽네 볼케이노/1,굽네 오리지널/1"
11,배달 맛 퀄리티 모두완벽합니다. 북가좌1호점이 최고입니다.,굽네 고추 바사삭/1
12,역시 맥주 안주로는 고추바사삭 순살,굽네 고추 바사삭 순살/1
13,야추사삭 순살 최고!,"굽네 고추 바사삭 순살/1,고블링 소스 추가/1"
14,맛잇게먹엇습니당콜라도좋아요,굽네 스윗 볼케이노/1
15,전화받아주시는분이 친절하고 치킨도 맛있습니다.,굽네 볼케이노/1
16,"배달빠르고, 쿠폰이랑 할인으로 저렴하게 먹었는데 뭐 양이적다거나 이런거 전혀 없었고, 리뷰 이벤트로 코카콜라 1.5L까지 확실하게 받았습니다^^bb 굿,,, 소스도 잘 비벼져있어서 여분으로 주신 소스가 무색할정도였네요 ㅎㅎㅎ 번창하세요",굽네 볼케이노/1
17,맛있어요 고추바사삭,"굽네 고추 바사삭/1,핫 왕중왕 소스 추가/1"
18,빠른 배달 감사합니다,굽네 고추 바사삭 순살/1
19,잘먹었습니다 맨날 고추바사삭만시켜유,굽네 고추 바사삭/1
20,배달시간이 90분이라했는데 60분걸려서 괜츄^^맛 도 맛나게 잘 먹었어요^^,굽네 갈비천왕 순살/1
21,잘먹었습니다 감사합니다 굽네피자는 처음 먹어보는데 생각보다 맛있네요 ㅎㄹ,고추바사삭＋허니멜로 피자/1
22,매콤하고 마라향이 넘좋네요,굽네 마라 볼케이노/1
23,굿 이에요 고추맛이 강렬해요,굽네 고추 바사삭/1
24,어젯밤에 시켜서 다 못먹고 오늘 또먹었는데 식어도 맛있습니다,굽네 고추 바사삭 순살/1
25,갈비천왕은 진짜 갈비맛나네욬ㅋㅋㅋ,반반C다리）볼케이노 반＋갈비천왕 반/1
26,굽네 첨 시켜봣어여 원래 튀긴거 좋아해서 구운치킨은 안먹는데 갈비천왕이맛잇엇어요,굽네 고추 바사삭 윙/1
27,맛있고 배달도 빠르고 좋았습니다,굽네 오리지널/1
28,좋아요~ 피자 맛이 조금 더 좋으면 좋을것 같아요~ 나쁘지는 않아요~,갈비천왕치킨＋갈비천왕피자/1
29,배달하시는분이 친절했음.음식은 다들 알좌나,두마리）오리지널＋갈비천왕/1
