,리뷰,메뉴
0,맛있게 잘먹었습니다.,"굽네 볼케이노/1,각무 추가/2,추가-마그마소스/3,쌀떡볶이/1,굽네 구운계란 2개 추가/1"
1,마시써요~~~~~~~,굽네 볼케이노 윙/1
2,웬만하면 리뷰안쓰는데 넘 맛있었어요 ! 앞으로 굽네는 여기서만 먹을거같아용,"굽네 고추 바사삭 순살/1,추가-마그마소스/2"
3,너무 맛잇는데 저는 좀 맵네요,굽네 볼케이노＋쌀떡볶이/1
4,치즈 올리고 전자렌지에 1분정도 돌리면 꿀! 중간에 덜녹은거는 온기때문에 알아서 녹음 ㅇㅇ 존맛탱,"굽네 스윗 볼케이노 순살/1,모짜렐라치즈/1"
5,지인짜 바삭하고 맛잇어요.수색점짱,굽네 고추 바사삭/1
6,할인 제일 많이해서 자주 먹습니단,갈비천왕치킨＋볼케이노피자/1
7,맛도 좋고 배달도 좋아요^^,두마리）오리지널＋갈비천왕/1
8,양도충분하고 넘 맛있게 먹었어요,굽네 마라 볼케이노 통다리/1
9,항상 맛있게 잘 먹고 있어요~,반반A）오리지널 반＋볼케이노 반/1
10,양도괜찮고 맛있게먹었습니다 혼치킨,반반B순살）오리지널 반＋갈비천왕 반/1
11,맛있어요 마라향이 나면서 뒤에 오는 매운맛좋네요,굽네 마라 볼케이노/1
12,맛나게 잘먹었습니더 피자는 빵이 너무 두껍.....,오리지널＋허니멜로 피자/1
13,고추바사삭이 이렇게 맛있는지 몰랐어여 신선해서 육즙이 뚝뚝 흐름... 굽네는 이 지점이 최곤듯 해여 배달기사분도 친절하시구 최고에여..,굽네 고추 바사삭 순살/1
14,언제나 굿 입니다.,"굽네 고추 바사삭/1,마블링 소스 추가/1"
15,굽네 스윗볼케이노 역시 맛있어요 빨리 배달해 주셔서 따뜻하게 잘 먹었습니다^^,굽네 스윗 볼케이노/1
16,양도많고 볼케이노라 맵고 스트레스 풀엇어여 기사님도 친절하셔서 기분 더 좋앗네요,굽네 볼케이노 통다리＋쌀떡볶이/1
17,빨리 도착해서 좋음,굽네 갈비천왕/1
18,이사가서고 맛있게 잘 시켜먹고있습니다,굽네 볼케이노 순살/1
19,배달👍👍 양도 푸짐👍👍 맛은 최고👍👍👍 첫 주문인데 완전 만족하고 맛있게 먹었어요 !!,"굽네 볼케이노 윙/1,굽네 케이준 감자¸/1"
20,역시 굽네는 고추바사삭이 진리!!,굽네 고추 바사삭/1
21,맛나요 담에 또 먹을게요,굽네 고추 바사삭 순살/1
22,고추바사삭 첨먹어봤는데 맛나요 소스가 최고에요,"굽네 고추 바사삭/1,배달생맥주 1000ml¸/2"
23,빨리와서잘먹엇습니다,"굽네 마라 볼케이노/1,굽네 갈비천왕/1"
24,바삭하게 잘 구워주심 너무 맛있고 다음에 또시킬 예정,굽네 고추 바사삭 순살/1
25,바삭하게 잘먹었어요~~~,"굽네 고추 바사삭/1,달콤 소스 추가/1"
26,맛있어용 ~,"굽네 오리지널/2,사이즈업 콜라 1.25 L ¸/1"
27,고추바사삭 맛잇어요,굽네 고추 바사삭 순살/1
28,피클 추가해서 치킨이랑 같이 먹으니까 더 좋네요 ^-^,"굽네 볼케이노/1,추가-마그마소스/1,피클/2"
29,배달 친절히 해주셔서 감사드려용ㅋㅋㅋㅋ 요청사항 잘지켜주셔서도 감사하구용ㅋㅋㅋ,굽네 오리지널/1
30,배달기사분 너무 친절하시고 예전동네는 계란 안들어있었는데 오랜만에 계란도 넣어주시니 좋네요 소스넉넉하고 좋아요,반반D윙）오리지널 반＋허니멜로 반/1
31,배달 엄청빠르고 뜨거울때 먹었어요 양은 좀 적지만 엉청 맛있어요,굽네 오리지널/1
32,양념이 좀 쎈것같아요. 하지만 맛있게 먹었어요.,굽네 고추 바사삭/1
33,구드드드드드드드드ㅡ듣ㄷ,"굽네 고추 바사삭/1,추가-마그마소스/1"
34,맛있고 배달도 빨랐어요ㅎㅎ,굽네 고추 바사삭/1
35,맛있습니다~ 볼케이노 순살은 진리,반반A순살）오리지널 반＋볼케이노 반/1
36,크ㅠㅠ완전마싯어요ㅠㅠ또 시켜먹을게요!,굽네 고추 바사삭 순살/1
37,역시 굽네 볼케👍👍👍,굽네 볼케이노 순살/1
38,제가 주문한건 사이다였는데 콜라가왔네요ㅎㅎ 다음엔 확인부탁드립니다,"굽네 갈비천왕/1,사이즈업-사이다（스프라이트）¸/1"
39,넘넘맛잇게잘먹었습니닷,두마리）오리지널＋볼케이노/1
40,감사합니다 잘먹었어요 !,"두마리）오리지널＋볼케이노/1,매콤치즈소떡소떡/1"
41,잘 먹었습니다.ㅎ.,굽네 고추 바사삭/1
42,잘먹었습니다 ㅎㅎㅎㅎ,굽네 고추 바사삭 순살/1
43,굽네굽네 굽굽네네네 맛나여 갈비천왕 존맛 인생치킨 등극~!,"굽네 갈비천왕 순살/1,굽네 볼케이노 순살＋모짜렐라 치즈/1,각무 추가/2,마블링 소스 추가/2,왕중왕 소스 추가/2,피클/2,사이즈업 콜라 1.25 L ¸/1"
44,잘목었습니다 감사합니다,갈비천왕 피자/1
45,맛잇쩌염 배송빨라요 근데 양념이 좀 부족하게 느껴집니다ㅠ 치밥은 포기ㅜ,굽네 볼케이노/1
46,방금 고추바사삭 순살 주문해서 먹는 중인데 치킨이 살짝 덜 익은 것 처럼 붉은 살이 보이네요 ㅠ 맛은 있는데 많이 찝찝해서 올립니당.. 먹던 도중에 발견한거라 더 그렇네요..,"굽네 고추 바사삭 순살/1,사이즈업 콜라 1.25 L ¸/1"
47,너무배고파서 먹고 사진찍었어욬ㅋㅋㅋ 존맛,굽네 고추 바사삭 순살/1
48,맛있어요 먹다가 찍어서 좀 비었네요,"굽네 고추 바사삭 순살/1,각무 추가/1,마블링 소스 추가/1,고블링 소스 추가/1,코카 콜라 500ml/1"
49,정말 맛나요 지금 또 먹고 싶네용,굽네 볼케이노/1
50,좋아요 좋아요 좋아요 좋아요 좋아요,오리지널＋갈비천왕 피자/1
51,맛있어서 먹다 찍었네요 ㅋ,"갈비천왕치킨＋허니멜로 피자/1,굽네 케이준 감자¸/1,사이즈업-사이다（스프라이트）¸/1"
52,좋아요 굿굿 잘 왔어요 따뜻했어요,허니멜로 피자/1
53,맛있게 잘먹었습니다.,오리지널＋허니멜로 피자/1
54,치킨도 맛있는데 피자까지 맛있는 굽네,허니멜로 피자/1
55,치킨도 맛있는데 피자까지 맛있는 굽네,갈비천왕 피자/1
56,갈비맛 처음인데 아주좋았어요 근데 같이 딸려오는 소스는 설탕넣은 불고기맛이라는게 함정. 결국 너무 달아서 소스없이 먹었네요 없어도 갈비맛 잘 납니다 환갑넘으신 부모님들도 부담없이 잘 드셨습니다 나중에 생각나면 충분히 재구매 의사있어요!,두마리）오리지널＋갈비천왕/1
57,맛있게ㅣ자럭었습니다,갈비천왕 피자/1
58,사진 지워져서 인스타올린거 써먹네요 맛있어욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,오리지널＋갈비천왕 피자/1
59,달달하니 맛있네요~,허니멜로 피자/1
60,Gooooooood,"갈비천왕 피자/1,볼케이노 피자/1,굽네 폭립/1,사이즈업 콜라 1.25 L ¸/1"
61,피자는 저한텐 색다른 맛이었고 갈비치킨이 맛있네요~ 요청 사항도 잘들어 주시고 친절햇습니다 배달도 엄청 빠르고요~! 전단지 3장 얼릉 모아서 감튀 받아야겟음요 ㅎ,갈비천왕치킨＋허니멜로 피자/1
62,밤늦은시간에도 배달해주셨어요 감사합니다,굽네 오리지널/1
63,맛있게 잘먹었습니다 근데 도우가 너무 두꺼워요...,갈비천왕 피자/1
64,양이 작긴했지만 맛나게 잘먹었어요~~,반반C윙）볼케이노 반＋갈비천왕 반/1
65,역시 고추바사삭 순살 최고ㅎㅎ,굽네 고추 바사삭 순살/1
66,잘먹었습니다~~~~,굽네 오리지널/1
