,리뷰,메뉴
0,배달도 완전빨리왔고 맛도최고에용,어니언치킨/1(추가 선택(순살로 변경))
1,추석이였지만 배달시간 정확히1시간16분 걸렸고 치킨무 국물 다 새서 치킨상자 밑바닥 다 젖어서 터지기 직전 상태로 왔고 치즈는 다 마르고 눌러붙어서 종이를 먹는건지 치즈를 먹는건지 모르겠네요,"반반/1(메뉴 선택(골드치즈치킨 반,양념치킨 반))"
2,😃🤣😀😅😁😂😄,"카레치킨/1,모듬튀김/1,생맥주 1000CC/2"
3,밋있습니다 감사합니다^^,후라이드치킨/1(추가 선택(무 추가))
4,아직도 안 도착네?????,"반반/1(메뉴 선택(후라이치킨 반,골드치즈치킨 반))"
5,서비스까지 아주 잘먹었습니다,"양념치킨/1(추가 선택(순살로 변경),추가 선택(콜라 1.25L로 변경))"
6,.....제가 치킨맛을 잘못 선택한탓이겠죠..? 다른건 맛있을꺼에요 아마도..,골드치즈치킨/1
7,다른 지점과 달리 치킨에도 떡을 듬뿍 넣어주시네요! 대신 튀김옷이 다 조금 눅눅해서 아쉬웠어요.,"반반/1(메뉴 선택(골드치즈치킨 반,양념치킨 반)),귀고리보다 큰 어니언링 （5개）/1"
8,최고에용 떡꼬치도잘먹었습니다^^,골드치즈치킨/1(추가 선택(순살로 변경))
9,맛있었어요. 감사합니다 :),후라이드치킨/1(추가 선택(순살로 변경))
10,조금 느끼하지만 맛있고 양많아요,골드치즈치킨/1(추가 선택(순살로 변경))
11,양도 많고 맛도 괜찮았습니다,"어니언치킨/1(추가 선택(순살로 변경),추가 선택(양념치킨 소스 추가))"
12,배달은 약속한 시간때이왔지만 치즈가 너무굳고 치킨살도 너무딱깍했습니다ㅠㅠ 맛은있습니다,"골드치즈치킨/1(추가 선택(순살로 변경),추가 선택(양념치킨 소스 추가))"
13,오늘에서야 인생치킨을 맛보게됬습니다..대박👍🙏,매콤쫄닭/1(추가 선택(순살로 변경))
14,여자 셋이서 술안주 겸 야식으로 시켰는데 양도 적당히 푸짐하고 엄청 맛있었어요! 자주 주문할게요!,두명다배터짐세트（순살반마리＋국물떡볶이＋주먹밥＋콜라 1.25L）/1(추가 선택(양념치킨 소스 추가))
15,맛있는데 가격이 비싸네요... 가격에 비해선 그렇게 맛있는것 같지 않습니다.,"반반/1(메뉴 선택(양념치킨 반,치즈퐁당치킨 반))"
16,양이 많고 맛있고 좋았어요,"반반/1(메뉴 선택(후라이치킨 반,골드치즈치킨 반),추가 선택(순살로 변경),추가 선택(무 추가))"
17,맛있게 잘먹었습니다~~,"반반반/1(메뉴 선택(후라이치킨 반,양념치킨 반,어니언치킨 반),추가 선택(콜라1.25L로 변경))"
18,"깜놀했습니다. 바삭하지도 않았고, 기름에 절여져서 눅눅하고, 기름 냄새도 심했고 다른 집 순살들과 달리 살 비율도 엄청 적은 싸구려 냉동 치킨 강정 튀긴 걸 더시 전자렌지에 돌린 맛이었습니다. 그래서 간도 안 배여서 전반적으로 엄청 짰고요. 사진 보시면 아시겠지만, 박스 열자마자 식욕 뚝 떨어짐, 2만원 가까이 주문한 거라서 어쩔 수 없이 3분1쯤 먹다가 도저히 못 먹겠어서 다 버림. 절.대.여.기.서.안.시.킵.니.다","마늘간장치킨/1(추가 선택(순살로 변경),추가 선택(무 추가)),떡꼬치/2"
19,오징어튀김을 사이드로 주문했는데 고구마튀김으로 바꿔달라했는데 고구마 치즈스틱을 주셨네요 그래도 맛있게 잘먹었습니다. 주문을 어니언 치킨+양념치킨을 했는데 이것도 어니언치킨은 잘 왔는데 양념치킨대신 치즈 치킨이 왔습니다.... 그렇지만 별을 많이 드린이유는 친절하게 교환해주셔서 그랬습니다. 그리고 치킨이 따뜻하고 맛있었어요 저희가 웬만해서 그냥 먹으려고했는데 촌스런입맛이라 느끼해서 양념치킨이 꼭 필요했습니다. 힘드셨을텐데 교환 감사해요 다음에 또 주문하겠습니다,"반반/1(메뉴 선택(어니언치킨 반,양념치킨 반)),오징어튀김（2개）/1"
20,존맛배달개빠르고 맛있어요,"파닭/1(추가 선택(순살로 변경),추가 선택(콜라 1.25L로 변경))"
21,맛있게 잘먹었습니당,"반반/1(메뉴 선택(후라이치킨 반,양념치킨 반))"
22,맛있습니다. 언제나 맛있게먹어요,"반반/1(메뉴 선택(홍초불쪽닭 반,치즈퐁당치킨 반),추가 선택(순살로 변경),추가 선택(콜라1.25L로 변경))"
23,맛있어요 잘 먹었어요~,"어니언치킨/1(추가 선택(순살로 변경),추가 선택(콜라 1.25L로 변경))"
24,하..진짜 도저히 못먹겠어서 먹다말고 리뷰써요 너무 늦은시간에 시켜서 기름때문인지 닭 염지를 잘못하신건지 둘다 너무 짜서 못먹겠어요 원래 이정도 짤수가없어요 정말 제가 많이 고심하다가 리뷰남겨요.. 무언가 잘못조리되서 배달온것같아요 너무 짜요 너무...,"반반/1(메뉴 선택(골드치즈치킨 반,마늘간장 치킨 반),추가 선택(순살로 변경))"
25,전체적으로 괜찮았어요 하지만 주먹밥이 너무 딱딱하네요 밥이 오래된 느낌이었어요 신경 좀 써주셨으면 합니다,두명다배터짐세트（순살반마리＋국물떡볶이＋주먹밥＋콜라 1.25L）/1
26,배달도 정확하고 맛있었어요,"골드치즈치킨/1(추가 선택(콜라 1.25L로 변경)),미니 국물떡복이/1(추가 선택(치즈 추가))"
27,순살을먹었는대 담에는 뼈로한번 먹어보고싶네요,"반반/1(메뉴 선택(복고치킨 반,매콤쫄닭 반),추가 선택(순살로 변경),추가 선택(콜라1.25L로 변경)),오뎅튀김（5개）/1,오징어튀김（2개）/1,오리지널핫도그/1"
28,양념다맛잇는데치킨에서 냄새나요 ㅜㅜㅜㅠ,
29,11111111111111,
30,양념 많이 주시고 찍어먹고 맛있고 배달도 빠르고 잘 먹었습니당!!^^ 감사합니다~!^^,"반반/1(메뉴 선택(양념치킨 반,마늘간장 치킨 반),추가 선택(콜라1.25L로 변경))"
31,순살 치킨을 주문했는데 보통 치킨 받았어요..,"후라이드치킨/1(추가 선택(순살로 변경),추가 선택(콜라 1.25L로 변경,양념치킨 소스 추가)),국물떡복이/1(추가 선택(치즈 추가)),고구마튀김（2개）/1,만두튀김（2개）/1,김말이튀김（2개）/1"
32,1인분 주문 가능했으면 좋겠어요..양이 너무 너무 많다ㅠㅠ,"반반/1(메뉴 선택(양념치킨 반,매콤쫄닭 반))"
33,요청사항 좀 봐 주십시오....ㅠㅠ,"반반/1(메뉴 선택(양념치킨 반,매콤쫄닭 반),추가 선택(순살로 변경))"
34,조금 식었지만 맛있어요!!!간장맛 강추!,"반반반/1(메뉴 선택(골드치즈치킨 반,어니언치킨 반,마늘간장 치킨 반),추가 선택(순살로 변경)),미니 국물떡복이/1(추가 선택(치즈 추가,메추리알 추가))"
35,그냥 시키세요 무조건 맛있으니까,b.3~4人 야식세트（순살후라이드한마리＋국물떡볶이＋핫도그오리지널＋핫도그치즈）/1
36,새벽에 주문했는데 배달도 빠르고 치킨이 따뜻하고 맛있었어요 또 시켜먹을거에요,후라이드치킨/1
37,역시 세젤맛 ㅠㅠ 우리 자취생들에게 강추합니다,"반반/1(메뉴 선택(골드치즈치킨 반,허니갈릭치킨 반))"
38,서비스 좋았습니다ㅏㅏㅏㅏㅏ,골드치즈치킨/1
39,맛있는데 배달이 늦어서 좀식은게 아쉽네요.,"골드치즈치킨/1(추가 선택(순살로 변경),추가 선택(콜라 1.25L로 변경))"
