,리뷰,메뉴
0,후라이드는 살짝 덜 바삭해서 아쉬웠고 양념도 적은듯하니 그나마 간장치킨은 괜찮았어요 담엔 케이준치킨으로 시켜 먹어보려구요,불변의 법칙 두마리 3가지맛（후라이드＋양념＋간장）/1(치킨 선택(오리지널))
1,맛있어서 또시켰어요~ 떡볶이 매운도 못먹는 사람도 잘 먹네용 셋이 먹으면 딱이에요,만땅 떡볶이세트（순살후라이드＋모듬 해산물＋떡볶이）/1(음료 사이즈 업(콜라 1.25L로 변경))
2,헐대박 여기너무 괜찮아요 떡볶이와 치킨을 드뎌 같이 먹을수있게 되고 튀김 또한 퀄리티 개쩜 자주시켜먹을듯!!!!!!깨악 떡볶이 진짜 핵 존맛탱,만땅 떡볶이세트（순살후라이드＋모듬 해산물＋떡볶이）/1(음료 사이즈 업(콜라 1.25L로 변경))
3,지난번에는 또띠아세트 먹었는데 오늘 쉬림프케이준세트도 역시 맛있네요. 특히 후라이드가 맛있어요. 먹기전에 찍었어야하는데 다 먹고서야 생각이 났네요. 사업 번창하세요.,쉬림프케이준 두마리 3가지맛（후라이드＋케이준샐러드＋양념새우）/1
4,따봉 오만 개.....,"쉬림프케이준 두마리 3가지맛（후라이드＋케이준샐러드＋양념새우）/1,불변의 법칙 한마리 2가지맛（후라이드or양념 or 간장）/1(맛 선택(간장,후라이드),치킨 선택(오리지널))"
5,처음 시켰습니다. 너무 맛있어서 사진 찍지도 못하고 거의 먹었네요^^ 맛있게 잘 먹었습니다.,멕시코리따（순살후라이드＋순살양념＋샐러드＋또띠아）/1
6,맛있었어요 구스구스,요거베리굿 두마리 3가지맛（후라이드＋요거트샐러드＋오징어깐풍）/1
7,배달 진짜 엄청 오래걸리네요 배달원은 거의 던지듯 주고가고 기분 참.. 오래 기다려서 그런가 맛도 더럽게 없게 느껴지네요 다시는 안시킵니다.,"쉬림프케이준 한마리 2가지맛（후라이드or케이준샐러드 or 양념새우）/1(맛 선택(케이준샐러드,양념새우))"
8,이집 맛나네 괜찮네 굿,불변의 법칙 두마리 3가지맛（후라이드＋양념＋간장）/1(치킨 선택(오리지널))
9,굿굿굿굿굿굿굿굿굿굿,"불변의 법칙 두마리 3가지맛（후라이드＋양념＋간장）/1(치킨 선택(오리지널)),치즈시즈닝/1,양념소스/1"
10,깐풍치킨이랑 떡볶이 시켰어요. 튀김옷도 바삭하고 맛있었어요~^^,"북경깐풍치킨/1(치킨 선택(오리지널)),국물떡볶이/1"
11,양은 많은대 소스가 별로라 다음에 시킬 의향 없네요,쉬림프케이준 두마리 3가지맛（후라이드＋케이준샐러드＋양념새우）/1(음료 사이즈 업(콜라 1.25L로 변경))
12,깔끔하고 맛있어요.,만땅 떡볶이세트（순살후라이드＋모듬 해산물＋떡볶이）/1
