	리뷰	메뉴
0	It is so good	"반반치킨（후라이드반＋양념반or간장반）/1(치킨 선택(양념반)),콜라 500mL/1"
1	간장치킨이 굉장히 짭니다... 나머지는 그냥 평범한 맛이었어요. 하지만 양과 배달속도는 정말 굳!!	순살3마리（후라이드＋양념＋간장）/1
2	맛잇게 먹어요~ 가성비 좋습니다~	순살2마리（후라이드＋양념）/1
3	3마리 순살 시켰는데.. 셋다 맛이 그닥이라 슬펐어요 순살이라 먹기편하긴 했고 콜라와서 좋았어요	순살3마리（후라이드＋양념＋간장）/1
4	"맛이나 배달은 평타는 치는곳인데, 양이 꽤 많습니다. 심야에 먹을만한 치킨집이 별로없으니 그럴땐 여기두 자주 찾아먹기 괜찮을거같아용"	반반치킨（후라이드반＋양념반or간장반）/1(치킨 선택(양념반))
5	정말 자주 시켜먹었는데 이건 아닌거같아서 남겨요 배달 1시간10분 걸리고 양념도 잘 안묻어있고 비린내며 쓴맛 최악이였어요	"순살3마리（후라이드＋양념＋간장）/1,콜라 1.25L/1"
6	맛잇어요 배달도빠르고 좋아요	순살3마리（후라이드＋양념＋간장）/1
7	오래된 닭인지 원래 이런 맛인지 처음이라 좀 당황스럽네요. 누린맛? 아무튼 이런 불쾌한맛은 치킨 먹으면서 첨입니다. 맛이 있고없고 차이가 아닙니다...	순살3마리（후라이드＋양념＋간장）/1
8	매번마다주문하면빨리옴늦게오면안시키는디 그냥빨리와줘서시키거닜어욤	순살3마리（후라이드＋양념＋간장）/1
9	잘 받았습니다^^ 먹는 도중에 찍었는데 맛도 좋아요! 잘 먹고있어요!	순살반반치킨（후라이드반＋양념반or간장반）/1(치킨 선택(양념반))
10	맛있게 잘 먹었습니다.	"순살3마리（후라이드＋양념＋간장）/1,콜라 1.25L/1"
11	닭이 작은 건지 살이 없네요ㅠㅠ 처음 시켰는데...... 배달은 약속시간보다 10분 빨리 왔어요	반반치킨（후라이드반＋양념반or간장반）/1(치킨 선택(양념반))
12	간장은 간장맛이 잘안나요...소스부족인듯합니다	순살3마리（후라이드＋양념＋간장）/1
13	배달이 늦는거야 그렇다 치고 아 짜...	순살2마리（양념＋간장）/1
14	양은많음 맛은 별루	순살3마리（후라이드＋양념＋간장）/1
15	감사합니다 잘먹었습니다	순살2마리（후라이드＋양념）/1
16	자주 시켜먹습니다. 맛나요. 다만 요새 한창 이슈였던 배달음식 빼먹기에 좀 매우 많이 취약한 것 같습니다. 의심을 할 수 밖에 없어요. 사진처럼 옆으로 쉽게 박스가 열리고 바로 빼먹기도 쉽네요. 이거 좀 포장에서 고쳐주셨으면 합니다.	"순살2마리（양념＋간장）/1,콜라 1.25L/1"
17	양많고 맛은 그럭저럭합니다	순살치킨/1
18	항상.잘 먹었었는데 오늘은 양이 전보다 적어졌네요 배달도 예상 시간보다 늦었구요 그리고 배달하시는 분이 과격하게 배달하시는지 쏠리고 찌그러져있고 그랬어요 맛은 괜찮았는데 다른 부분이 쫌 아니였습니다 신경 좀 써주세요	순살2마리（후라이드＋후라이드）/1
19	너무 짜고 튀김은 눅눅하거나 딱딱함..	순살2마리（후라이드＋양념）/1
20	잡내가 심하고 맛도 좋은편이 아니었습니다.	"순살2마리（후라이드＋간장）/1,양념소스/1,콜라 1.25L/1"
21	맛. 평범 배달1시간30분 양 좀많음 간장짬	순살3마리（후라이드＋양념＋간장）/1
22	한개먹고 맛있어서 리뷰 남깁니다 조만간 아이들간식으로 5개정도 주문해야하는데 이곳으로 해야겠습니다	순살반반치킨（후라이드반＋양념반or간장반）/1(치킨 선택(간장반))
23	괜찮아요괜찮아요괜찮아요	순살3마리（후라이드＋양념＋간장）/1
24	뭔가 소스가 좀 부족한 느낌?? 간 약한거 원하시는 분들한텐 좋을듯	순살3마리（후라이드＋양념＋간장）/1
25	가격대비 양도 많고 맛도 조우다 배달도 빠르다 강추입니다 ㅋ	순살3마리（후라이드＋양념＋간장）/1
