,리뷰,메뉴
0,하얀색 양념에 찍어먹으니까 더 맛있네요!! 배달도 빠르고 만족했어요,"반반치킨/1(반반 선택(양념치킨 반,치토스치킨 반))"
1,굿ㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅ,멕시윙반반（후라이드＋양념）/1
2,맛나요..맛나요..,양념치킨/1
3,맛있네요 부드럽고 양념이 맛있어요,"순살세트/1(순살선택 1(순살양념치킨),순살선택 2(순살후라이드),추가메뉴(멕시감자))"
4,배달 이렇게 일찍 몰랐네요. 멕시카나는 땡초치킨이 정말 맵고 맛있어요 최고입니다😭😭😭,땡초치킨/1
5,다 좋은데 양념이 골고루 안 묻어있어요. 콜라 큰거 증정이벤트중이라고 치킨박스에 대문짝만하게 광고중이던데 작은거 주시네요,"반반치킨/1(반반 선택(골드（간장） 반,치토스치킨 반),추가메뉴(콜라추가500ml,무추가))"
6,맛있게 잘먹었습니다 후라이드 맛있어요,"투마리세트/1(치킨선택 1(양념치킨),치킨선택 2(후라이드))"
7,주문한지 1시간30분만에 식어버린 치킨을 받았네요.. 좀일찍 왔으면 좋았을텐데..그럼 별5갠대.. 너무하셨어요..ㅠㅠ,양념치킨/1
8,잘먹었습니다.....,멕시윙반반（후라이드＋양념）/1
9,양념치킨 조쿠먼유~,양념치킨/1
10,윙이라 적을거라 생각은 했는데 진짜 닭자체가 작나봐여..손이작은편인데도 적말작아요 ㅎㅎ,멕시윙반반（후라이드＋양념）/1
11,다른데서 먹은거는 맛있었는데 식기도 식고 너무 딱딱했어요 맛이 별로라서 다시는 안사먹을거 같아요,"반반치킨/1(반반 선택(후라이드 반,강정치킨（뼈） 반))"
12,배달시간 딱 맞고 맛있어요!!!!,치토스치킨/1
13,진짜 오늘 치킨 짱이었습니다!,"반반치킨/1(반반 선택(후라이드 반,양념치킨 반))"
14,너무 맛나요. 중간10추가할인으로 재결제 요청 들어주셔서 더 싸게 잘먹었습니다.,순살땡초치킨/1
15,자주 시켜먹었지만 이렇게 실망스럽긴.. 배달은 40분이라고 안내가 왔지만 1시간10분만에 도착 치킨은 평소와 다르게 식어있고.. 배달이 늦어서 전화했더니 여자분이 전화 받아서 우리집 주소 말하더니 출발했으니 기다려 보란다.. 배달 오신분이 늦은 부분에 대해 말했다고 하지만..상한 맘에 열은 박스에 처음 집은 치킨에 머리카락이라니.. 전화로 따지려다 그냥 참고 먹었다,"투마리세트/1(치킨선택 1(후라이드),치킨선택 2(양념치킨))"
16,순살로 재주문하려고 취소했는데 본인들은 취소가 안 된다고 본사에 연락하라고 안내하고 바로 조리를 시작해버리네요 맛을 떠나서 다시는 주문하지 않을 겁니다,양념치킨/1
17,맛있게 잘먹었어요ㅎㅎㅎㅎ,순살양념치킨/1
18,날씨가 안 좋은 와중에 배달시키기 미안해서 평소보다 한마리 더 시켰습니다. 배달원분한테 고맙고 미안하네요. 언제나처럼 맛있었습니다,"치토스치킨（콘스프맛）/1(추가메뉴(멕시감자)),치토스치킨/1"
19,후라이드는 치킨업게중 최고라 하고싶네요. 잘먹었습니다..^^,후라이드치킨/1
20,언제나 최고입니다 최고,치토스치킨/1(추가메뉴(멕시감자))
21,맛있게 잘먹었습니다 양념 달달하니 맛있네요,양념치킨/1
22,맛있네요ㅇㅇㅇㅇㅇㅇ,"반반치킨/1(반반 선택(후라이드 반,양념치킨 반))"
23,맛있게 잘 먹었어요 !!,"반반치킨/1(반반 선택(후라이드 반,마늘치킨 반))"
24,배달은 늦었지만 맛있어요~,오징어짬뽕치킨/1
25,맛있게 잘 먹었습니다,"순살반반/1(순살반반 선택(순살후라이드 반,순살양념치킨 반))"
26,잘먹었습니다~~~~~,"순살반반/1(순살반반 선택(순살후라이드 반,순살양념치킨 반))"
27,치토스치킨 ㄹㅇ맛있음,"투마리세트/1(치킨선택 1(눈꽃치즈치킨),치킨선택 2(치토스치킨),추가메뉴(콜라추가1.25L))"
28,맛잇음 배신하지 않음,골드치킨（간장）/1
29,치토스맛은 첨이었는데 가루나 너무 날렸어요ㅠㅠ,"반반치킨/1(반반 선택(후라이드 반,치토스치킨 반))"
30,땡초치킨 넘 맛있어요^^,"땡초치킨/1,무추가/1,사이다 1.25L/1"
31,배달도빠르고 맛이뛰어났어요!,"반반치킨/1(반반 선택(후라이드 반,양념치킨 반))"
32,배달빨랐고 잘튀겨주셔서 맛있게 잘먹었어요~!!,양념치킨/1
33,양념친먹어봄 땡초시킬거임 흥,양념치킨/1
34,잘먹엇습니딘 감사합니다,양념치킨/1
35,이벤트기간이라 그런지..배달도 맛도 이전보다 못하네요.. 그리고 맥주피처가 1L 짜리인지는 메뉴이름에 같이 적어주시면 좋겟습니다..,"순살반반/1(순살반반 선택(순살후라이드 반,순살양념치킨 반),추가메뉴(체다치즈볼)),맥주 피쳐/1"
36,빠른 배송 감사합니다:) 튀김옷이너무두꺼워서 별로였지만 양념소스도 맛있고 살도 많아서 좋았습니다!,"반반치킨/1(반반 선택(후라이드 반,양념치킨 반))"
37,맛있게 잘 먹었습니다,순살오징어짬뽕치킨/1
38,역시 맛있어요ㅋㅋㅋ,강정치킨（뼈）/1
39,행사기간이었지만 배달 오분늦었어요 이정도면 선방 치킨은 맛있게 먹었답니다,"반반치킨/1(반반 선택(땡초치킨 반,치토스치킨 반),추가메뉴(콜라추가1.25L))"
40,잘먹엇습니다 가격비싼거빼곤..ㅎㅎ,치토스치킨/1
