,리뷰,메뉴
0,맛있었어요~ 도우가 아주 두껍지 않고 쫄깃해서 부담없이 먹을수 있었네요,"쉬림프골드 피자 M/1(도우 선택 M(추가 안함)),버팔로윙 5개/1"
1,피자 도우가 맛있었어요 새우자체는 칵테일 냉동새우 같아서 별로였어용,쉬림프골드 피자 L/1(도우 선택 L(추가 안함))
2,밤에 시켰는데도 배달도 빠르고 크러스트도 완전 제대로라서 넘 맛있게 잘 먹었습니다,"핫치킨 피자 M/1(도우 선택 M(골드（스트링치즈, 고구마무스,체다치즈）추가))"
3,깨끗한맛이에요 굿 잘먹엇습니다,"불고기 피자 L/1(도우 선택 L(치즈크러스트 추가),토핑 추가 선택 L(치즈 추가,버섯 20g 추가,페퍼로니 8개 추가,베이컨 8개 추가)),치즈오븐스파게티/1,미트소스스파게티/1,핫소스 1개/3,콜라 1.25L/1"
4,여기서 피자 처음시켜봤는데 생각보다 맛있고 푸짐했어요. 1인1피 가능할줄 알았는데 결국 친구와 나눠먹었습니다. 맛있게 잘 먹었어요!,불고기 피자 M/1(도우 선택 M(추가 안함))
5,매우매우 맛있었습니다. 치즈피자 위에 토핑으로 치즈 올렸는데 맛있어요~~ 빨리 먹어버려서 사진은 없습니다ㅜㅜ,"명품 반반피자 M/1(반반 피자 선택(페퍼로니피자,치즈피자),반반 도우 선택 M(추가 안함),토핑 추가 선택 M(치즈 추가))"
6,마시써요 배달이 좀 늦기는 했지만,"SET2（명품오리지널피자 L＋버팔로윙 5개 or 치즈스틱 5개＋치즈오븐스파게티＋콜라 1.25L）/1(SET메뉴 피자선택(스위트고구마피자L),도우 선택 L(골드（스트링치즈, 고구마무스,체다치즈）추가),추가 선택(버팔로윙5개))"
7,버팔로윙이 안와서 전화드렷더니 너무너무 죄송하다 하시면서 다시 해서 주시겠다고 말씀도 이쁘게 해주셨어여! 맛은 짜지도 않고 자극적이지 않아서 너무 좋고 또 다른 사이드메뉴도 맛있어서 추천해요! 더 자주 시켜먹을께여~,"SET2（명품오리지널피자 L＋버팔로윙 5개 or 치즈스틱 5개＋치즈오븐스파게티＋콜라 1.25L）/1(SET메뉴 피자선택(슈퍼슈프림피자L),도우 선택 L(치즈크러스트 추가),추가 선택(버팔로윙5개)),치즈스틱 5개/1"
8,진리입니다 파인애플피자 ㅎ,하와이언 피자 M/1(도우 선택 M(추가 안함))
9,항상 맛있게 먹고 있습니다.,"하와이언 피자 L/1(도우 선택 L(추가 안함)),야채 피자 L/1(도우 선택 L(추가 안함)),콜라 1.25L/1"
10,원래 시키던 집이 안해서 시켜봤는데 맛있어요 근데 버섯 빼달라고했는데 안빼주셔서 슬펐어요 영수증에 버섯××× 적힌거 보니 신경써주셨는데 조리하다 깜빡 잊으셨나봐요 열심히 골라먹었어요!,"베이컨포테이토골드 피자 M/1(도우 선택 M(치즈크러스트 추가)),갈릭디핑소스/1"
11,새벽시간대라 기대 5 밖에 안했는데 몇몇 리뷰와 조금 다르게 맛있게 먹었습니다 ㅎ 기본에 충실한 딱 피자였던거 같네요 ^^,"명품 반반피자 M/1(반반 피자 선택(슈퍼슈프림피자,페퍼로니피자),반반 도우 선택 M(추가 안함)),콜라 1.25L/1"
12,씬 도우는 비추에요 도우 자체가 맛이 없고.. 치즈가 오래됐는지 냄새가 나서 먹다가 그만 먹었어요 ㅠ,"명품 반반피자 M/1(반반 피자 선택(하와이언피자,옥수수피자),반반 도우 선택 M(씬도우 추가),토핑 추가 선택 M(블랙 올리브20개 추가)),스프라이트 1.5L/1"
13,파인애플피자 존맛b,"스위트고구마 피자 M/1(도우 선택 M(치즈크러스트 추가)),하와이언 피자 M/1(도우 선택 M(치즈크러스트 추가)),콜라 1.25L/1"
14,배달 빠르고 맛도 좋았습니다,"싱글세트（오리지널크러스트M＋치즈오븐스파게티＋콜라 500mL）/1(오리지널크러스트 선택(페퍼로니 피자),도우 선택(골드（스트링치즈, 고구마무스,체다치즈）추가))"
15,잘먹었습니다!!!!,쉬림프골드 피자 L/1(도우 선택 L(추가 안함))
