,리뷰,메뉴
0,친절하고 맛있어요,"스위트고구마 피자 L/1(도우 선택 L(추가 안함),토핑 추가 선택 L(파인애플 8개 추가)),치즈스틱 5개/1"
1,포테이토 피자를 시켰는데 감자가 염지가 잘됐고 피자가 아주 맛있어요,포테이토 피자 L/1
2,치즈 추가가 정말 조금밖에 안 되는 거 제외하고는 만족스러웠습니다,"숯불갈비 피자 L/1(도우 선택 L(치즈크러스트 추가),토핑 추가 선택 L(치즈 추가))"
3,요구사항도 잘 반영해주시고 짱맛!!!,스위트고구마 피자 L/1(도우 선택 L(추가 안함))
4,맛있네요 생각보다 배송도 빠르게와서 놀랬어요,불고기 피자 M/1(도우 선택 M(치즈크러스트 추가))
5,먹느라 사진을 못 찍었는데... 하와이안 피자는 파인애플 제일 많았었어요..유명브랜드보다 갑입니다.최고요..,"명품 반반피자 L/1(반반 피자 선택(슈퍼슈프림피자,하와이언피자),도우 선택 L(추가 안함)),콜라 1.25L/1"
6,빨리오구 항상 잘 만들어주세요~,"스위트고구마 피자 M/1(도우 선택 M(추가 안함)),콜라 1.25L/1"
7,모든게 완벽해요. 피자도 존맛이고 배달도 빠르고 굿굿,"싱글세트（오리지널크러스트M＋치즈오븐스파게티＋콜라 500mL）/1(오리지널크러스트 선택(페퍼로니 피자),도우 선택 M(추가 안함))"
8,늘 먹던 포테이토 말고 고구마시켰는데 이것도 진짜 맛있어요!,"스위트고구마 피자 M/1(도우 선택 M(추가 안함)),콜라 1.25L/1"
9,배달도 빠르고 맛도 좋았어요! 처음 시켜봤능데 만족합니다,슈퍼슈프림 피자 L/1(도우 선택 L(치즈크러스트 추가))
10,버섯좀 빼달라고 요청사항에 남겼는데 시원하게 무시하고 그냥 왔네요 조리 특성상 뺄 수가 없는건지 실수인지 아무 노티도 없고 맛도 별로네요,"명품 반반피자 L/1(반반 피자 선택(불고기피자,갈릭스테이크피자),도우 선택 L(추가 안함))"
11,배달도빠르고 맛있었어요,"베이컨포테이토골드 피자 L/1(도우 선택 L(치즈크러스트 추가),토핑 추가 선택 L(고구마 무스 추가))"
12,완전 맛있었어요 또 시킬게요~,"명품 반반피자 M/1(반반 피자 선택(슈퍼슈프림피자,페퍼로니피자),도우 선택 M(추가 안함))"
13,맛있었어요 항상 맛있어요,
14,너무너무 맛있어서 매주 시켜먹는곳입니다!! 대박나세요~~,"슈퍼슈프림 피자 L/1(도우 선택 L(추가 안함)),콜라 500mL/1"
15,진짜 맛있어요. 스파게티도 맛있고,"대박세트（오리지널크러스트 L＋치즈오븐스파게티＋콜라 1.25L）/1(명품 오리지널크러스트 선택(페퍼로니 피자L),도우 선택 L(추가 안함))"
16,very good!,슈퍼슈프림 피자 M/1(도우 선택 M(추가 안함))
17,술과 함께 딱입니다!,"치즈 피자 M/1(도우 선택 M(치즈크러스트 추가),토핑 추가 선택 M(페퍼로니 8개 추가))"
18,좋네요.여기. 마음에 들어요,"페퍼로니 피자 L/1(도우 선택 L(추가 안함)),콜라 500mL/1"
19,피자소스인지 도우에 발려진게 넘 많아서 좀 그랬네요. 케첩맛만 가득했어요. 그래도 먹어보려고 애썼는데 ...평이 좋아서 시켜봤는데 제입맛엔 그래요. 많이 탄듯한 느낌도 좀 아쉬운듯,페퍼로니 피자 L/1(도우 선택 L(치즈크러스트 추가))
20,오...처음인데 맛잇네요...일단 오늘 한번 더,"SET3 （명품오리지널피자 L＋치킨텐더 6개＋치즈오븐스파게티＋콜라 1.25L）/1(SET메뉴 피자선택(페퍼로니피자L),도우 선택 L(추가 안함))"
21,항상 잘 먹고 있습니다.,"SET2（명품오리지널피자 L＋버팔로윙 5개 or 치즈스틱 5개＋치즈오븐스파게티＋콜라 1.25L）/1(SET메뉴 피자선택(슈퍼슈프림피자L),도우 선택 L(추가 안함),추가 선택(버팔로윙5개))"
22,맛있게 잘 먹었습니다,"대박세트（오리지널크러스트 L＋치즈오븐스파게티＋콜라 1.25L）/1(명품 오리지널크러스트 선택(슈퍼슈프림 피자L),도우 선택 L(추가 안함))"
23,잘먹었습니다 ㅎㅎㅎ,슈퍼슈프림 피자 L/1(도우 선택 L(추가 안함))
24,피자 도우도 얇고 마싯습니다!!!,페퍼로니 피자 L/1(도우 선택 L(추가 안함))
25,👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻✈️✈️✈️✈️,페퍼로니 피자 L/1(도우 선택 L(추가 안함))
26,맛있고 배달 아주 빨리 왔습니다! 다음에 또 주문하겠습니다!,"페퍼로니 피자 M/1(도우 선택 M(추가 안함)),스프라이트 1.25L/1"
27,맛있어요~~잘먹었습니다,슈퍼슈프림 피자 L/1(도우 선택 L(추가 안함))
28,맛잇엇어요 또 시켜먹겟슴다,"스위트고구마 피자 M/1(도우 선택 M(추가 안함)),치즈오븐스파게티/1,스프라이트 500mL/1,스프라이트 1.25L/1"
29,맛있아요 ㅋㅋㅋ 양도 많아요,"불고기 피자 M/1(도우 선택 M(추가 안함),토핑 추가 선택 M(고구마 무스 추가))"
30,✌🏻✌🏻✌🏻✌🏻✌🏻✌🏻✌🏻✌🏻✌🏻✌🏻,"싱글세트（오리지널크러스트M＋치즈오븐스파게티＋콜라 500mL）/1(오리지널크러스트 선택(불고기 피자),도우 선택 L(추가 안함),토핑 추가 선택 M(페퍼로니 8개 추가))"
31,맛있게 잘먹었습니다~,"슈퍼슈프림 피자 M/1(도우 선택 M(추가 안함)),핫소스 1개/1"
32,여느때처럼 맛있어요~~,슈퍼슈프림 피자 L/1(도우 선택 L(추가 안함))
33,트리플 따봉 드리겠습니다.,슈퍼슈프림 피자 M/1(도우 선택 M(추가 안함))
34,치즈크러스트로 시켰는데 빵쪽에 있는 크러스트가 생각보다 적어서 조금 아쉬웠어요... 전체적인 맛은 무난했습니다,"핫치킨 피자 L/1(도우 선택 L(치즈크러스트 추가)),갈릭디핑소스/3"
35,도우도 얇고 맛잇어요,SET1（명품오리지널피자 L＋치즈스틱 5개＋버팔로윙 5개＋콜라 1.25L）/1(SET메뉴 피자선택(불고기피자L))
36,맛있었어요 ㅎㅎㅎㅎㅎㅎㅎㅎ,페퍼로니 피자 M/1(도우 선택 M(치즈크러스트 추가))
37,베이컨체다치즈프라이 꿀맛 입니다. 강추합니다,베이컨체다프라이 피자 L/1(L사이즈 추가선택(치즈크러스트 추가))
38,맛있네요 토핑좋고 도우도 쫄깃해서 퍽퍽하지 않아요 잘먹었습니다 앞으로 피자는 여기서 주문해야겠네요,"슈퍼슈프림 피자 L/1,갈릭디핑소스/2"
39,피자는 임실치즈피자지요~ 진짜 맛있어요~^^,"페퍼로니 피자 L/1(L사이즈 추가선택(골드추가,치즈추가),추가선택(고구마무스 추가))"
40,다맜있게 먹고 있어요!,"페퍼로니 피자 L/1(L사이즈 추가선택(치즈크러스트 추가)),치즈 피자 L/1"
41,도우도 특이하고 토핑도 푸짐하고 정말 맛있습니다 ♡♡,포테이토 피자 M/1
42,쏘오쏘해씀다 갠찬슴네다,"SET4（명품프리미엄피자L＋버팔로윙 5개＋치즈스틱 5개＋콜라 1.25L）/1(명품 프리미엄피자 선택(숯불갈비 피자),L 추가 선택(골드추가,치즈크러스트 추가))"
43,"전화받는 분도, 배달하시는 분도 친절하고, 피자도 맛있어요.",SET A（명품오리지널피자L＋훈제치킨＋콜라 1.25L）/1(SET메뉴 피자선택(하와이언피자L))
44,ㅎㅎㅎㅎ 늦은시간까지 항상 감사합니당,"베이컨체다프라이 피자 L/1,갈릭디핑소스/2,스프라이트 1.25L/1"
45,맛나게 잘 묵었어요... 좀 남아서 담날 먹었는데도 맛나요.. ㅋ,허니버터 포테이토 피자 L/1
46,항상 맛있어요~~~ ㅎ,"SET1（명품오리지널피자 L＋치즈스틱 5개＋버팔로윙 5개＋콜라 1.25L）/1(SET메뉴 피자선택(불고기피자L),L 추가 선택(치즈크러스트 추가),추가선택(파인애플 8개 추가))"
47,맛있고 배달도 빠릅니다 근데 제가 생각했던 포테이토피자가 아니었네요 맛은 있었습니다,허니버터 포테이토 피자 M/1
48,담백하고 맛있어서 피자는 항상 여기서 시켜용ㅋㅋ,"SET5（명품프리미엄피자L＋버팔로윙 5개 or 치즈스틱 5개＋치즈오븐스파게티＋콜라 1.25L）/1(명품 프리미엄피자 선택(갈릭스테이크 피자),L 추가 선택(치즈크러스트 추가),추가 선택(버팔로윙5개))"
49,피자 너무 맛있어용!!!!!,"쉬림프골드 피자 L/1,콜라 1.25L/1"
50,토핑 풍부하고 맛있네요,불고기 피자 M/1
51,아이가 먹기에는 참 맵군요ㅠㅠㅎㅎㅎ 그래도 맛나요,"치킨바베큐 피자 L/1(L사이즈 추가선택(치즈크러스트 추가)),치즈스틱 5개/1,스프라이트 1.25L/1"
52,배달부름 사람은 음식물을 땅바닥에 놓다가 돈을 받아서 뛰어갔어요 ..태도 엉청 싫다고,SET3 （명품오리지널피자 L＋치킨텐더 6개＋치즈오븐스파게티＋콜라 1.25L）/1(SET메뉴 피자선택(불고기피자L))
53,너무너무너무너무너무 맛. 있습니다.,스위트고구마 피자 M/1
54,잘묵었습니다~~~~~,"대박세트（오리지널크러스트 L＋치즈오븐스파게티＋콜라 1.25L）/1(명품 오리지널크러스트 선택(스위트고구마 피자L)),갈릭디핑소스/3"
55,치즈가 진짜 맛있어요!,슈퍼슈프림 피자 L/1(L사이즈 추가선택(치즈추가))
56,그냥 먹기에 무난했습니다,"갈릭스테이크 피자 L/1(L사이즈 추가선택(치즈크러스트 추가)),치즈스틱 5개/1,핫소스 1개/1,허니머스타드소스/1,피클/1,콜라 1.25L/1"
57,맛있었습니다!!^^,"슈퍼슈프림 피자 M/1(M사이즈 추가선택(치즈추가)),치즈오븐스파게티/1"
58,맛있어요^^ 바비큐 치킨 짱!,"SET1（명품오리지널피자 L＋치즈스틱 5개＋버팔로윙 5개＋콜라 1.25L）/1(SET메뉴 피자선택(치킨바베큐피자L),L 추가 선택(치즈추가))"
59,항상 너무 잘 시켜먹고있습니다~,"SET1（명품오리지널피자 L＋치즈스틱 5개＋버팔로윙 5개＋콜라 1.25L）/1(SET메뉴 피자선택(슈퍼슈프림피자L),L 추가 선택(치즈크러스트 추가)),핫소스 1개/4"
60,맛있게잘먹었습니다 감사합니다,쉬림프골드 피자 L/1(L 피자 치즈 추가(치즈크러스트 추가))
61,시간도 딱맞게도착하고 맛있었어요,"불고기 피자 M/1(M사이즈 추가선택(치즈크러스트 추가,치즈추가))"
62,고르곤졸라 피자 맛있어요!!!,고르곤졸라피자 M/1
63,항상 맛있게 잘 먹고있어요 피자가 땡길때는 여기서..,슈퍼슈프림 피자 M/1
64,처음 시킨곳인데 생각보다 도우도 쫄깃하면서 치즈도 많이 들어가있어서 맛이 좋았습니다~ 사장님도 친절하시고 앞으로 피자 생각나면 여기서 시켜먹을게요 번창하세요^^,슈퍼슈프림 피자 L/1
65,피자시켰는데 배달도 이딴식으로 오고 갈릭소스 하나더 추가했는데 안와서 다시 갔다달라고했는데 마지막에 전화끊으시면서 들으란식으로 있는짜증을 다내시네요 다들렸어요~^^ 손님대하는 태도를보면 음식또한 어떻게 만들지 안먹어도 보이겠네요~ 기분잡쳐서 다버리고 다른데서 다시 시켰습니다,"페파로니 피자 M/1(M사이즈 추가선택(치즈크러스트 추가)),갈릭디핑소스/2"
66,맛있게 잘 먹었습니다~~~,"슈퍼슈프림 피자 L/1(L사이즈 추가선택(치즈크러스트 추가)),치킨텐더 6개/1"
67,올리브가 많이들어가서 신맛이 강했습니다,슈퍼슈프림 피자 L/1
68,웅디응디응데시티~~~~~,"쉬림프골드 피자 M/1,버팔로윙 5개/1,스프라이트 500mL/1"
