,리뷰,메뉴
0,바삭바삭 맛있네요. 배달도 빨리 와서 따뜻하게 먹었습니다.,"크리스피치킨/1,양념 순한맛/1"
1,가감없이 말하지만 그냥 별로에요. 부어치킨 맛있다는 얘기듣고 크리스피 양념 간장 세가지맛 세트 시켜 먹어봤는데 일단 크리스피 첫입부터 닭내 확 나구요 양념은 무슨 소주를 탔는지 시큼한 맛 투성이여서 치킨이 맛없을 수도 있다는 걸 깨달았어요. 그나마 간장은 보통 이었어요. 부위가 너무 큼직하게 나눠져 있어서 불편했지만 둘이 먹기에 양은 넉넉했구요. 다리가 세개에 목살도 없고 부위도 엉망이던데 이미 체념한 터라 그냥 안따지고 먹었네요. 개인적으로 비추합니다.,세트1（크리스피 ＋ 양념 ＋ 델리간장＋콜라 500ml ）/1
2,잘먹었습니다....,크리스피치킨/1
3,맛있긴한데 양념에 무언가가 생강?인가 모르겠는데 맛이랑 향이 좀 쌘거같네요,양념치킨/1(추가 선택(순살로 변경))
4,양념이 땡겨서 시켜먹었는데 맛있었어요 생각했던 것보단 좀 특이한 맛이었은데 나쁘지 않았어요 치킨무만 시원한걸로 주시면 더 좋을듯!!,양념치킨/1(추가 선택(순살로 변경))
5,맛! 비교거부입니다. 정말 바삭바삭 최고중의 최고지요. 매장에서도 맛있게 먹고 배달로도 맛있게 먹고 정말 추천입니다. 오늘도 정말 맛있게 먹었답니다. 감튀 서비스 감사합니다. 남김없이 먹었어요.,세트3 （크리스피 ＋ 어니언 ＋ 맛쇼킹＋콜라 500ml）/1
6,할인이벤트해서 배달은 조금 오래걸렷어요 소스가 누락되서 다시 전화드렷더니 바로 다시갖다주셧어여 배달하시는분도 친절하시구 치킨은 머 언제나 맛잇습니당,"땡초치킨/1(추가 선택(순살로 변경)),갈릭/3"
7,저한텐 좀 매웠지만 좋았어요,땡초치킨/1
8,배달도 빠르고 맛있어요! 매운소스 따로요청드렸는데 가져다 주셔서 감사합니다. 부어치킨 가성비라고 얘기하지만 그냥 맛있어요. 다른 말 필요없습니다 ㅎㅎ 앞으로도 많이 이용할게요~^^,세트2 （크리스피 ＋ 양념 ＋ 맛쇼킹＋콜라 500ml）/1
9,양도 가격도 최고였습니다! 배달도 27분 만에 문 앞으로 도착! 치킨은 살짝 텁텁했지만 (부어 치킨은 처음 먹어봐서 원래 그런건지는 잘 모르겠습니다) 담백하게 건강한 맛으로 생각하고 그런대로 잘 먹었습니다! 감사합니다!,크리스피치킨/1
10,여기 맛있네요 자주시켜먹을게요,"양념치킨/1,추가 무/1,콜라 1.25L/1"
11,후라이드는 정말 단백해요ㆍ,크리스피치킨/1
12,매운게 당겨서 소스 넉넉히 요청드렸는데 제대로 반영해주셔서 감사해요. 바삭한 것도 당기는데 반반 메뉴가 없는게 좀 아쉽네요. 담번엔 후라이드로 도전! 깔끔한 매운맛에 기름냄새도 안나고 맛있어요. 잘 먹겠습니다^^,"땡초윙봉/1,어니언/2"
13,맛있습니당ㅎㅎㅎㅎㅎ,"델리（간장）치킨/1,콜라 500mL/1"
14,맛있네요~ 배달해주신분도 친절하시고 잘먹었습니다!,세트1（크리스피＋양념치킨＋콜라 500ml）/1
15,맛있었어요!!! 가격짱,크리스피치킨/1
16,"처음 주문을 해봤는데, 짭조름하면서 부드러우며 바삭하고 맛있네요. 가족들도 만족해 합니다. 덕분에 기분좋게 배부르게 잘 먹었습니다.",세트2（크리스피＋델리간장치킨＋콜라 500ml）/1
17,무난하게 맛있어요 소스가 다양해서 좋네요,"크리스피치킨/1,양념 매운맛/1,어니언/1,갈릭/1"
