,리뷰,메뉴
0,맛있고 다른데랑 다르게 감자튀김과 샐러드도주지만 치킨 양이 값에 비하여 너무적어요 진짜 적은것도 아니고 너무 적어요,반반（양파어니언치킨 반＋양념치킨 반）/1
1,치킨생각나면 가장 먼저 시켜먹는 치킨!!!!!!,A세트（후라이드치킨＋간장치킨＋마늘치킨＋감자튀김＋어니언소스＋파채＋치킨무＋콜라500mL）/1
2,잘 먹었습니다. 감튀 절반정도 먹었을때 양념떡 발견해서 맛있게 먹었어요.,A세트（후라이드치킨＋간장치킨＋마늘치킨＋감자튀김＋어니언소스＋파채＋치킨무＋콜라500mL）/1
3,사진을 못찍어서 아쉽지만 평이 좋아서 시켜봤는데 평 좋은데 치고 첨 맛있는 곳 이었네요 재주문 의사 1000%입니다,A세트（후라이드치킨＋간장치킨＋마늘치킨＋감자튀김＋어니언소스＋파채＋치킨무＋콜라500mL）/1
4,배송 빠르고 사장님 친절해요~~ 옛날통닭같고 맛있어요!!,A세트（후라이드치킨＋간장치킨＋마늘치킨＋감자튀김＋어니언소스＋파채＋치킨무＋콜라500mL）/1
5,치킨 한 마리 시켰는데 뭐가 이리 많이 오는지 잘못배달온줄 알았네요ㅋㅋㅋㅋ 튀김옷 없이 튀기는 건가요 담백해서 좋네요,마늘치킨/1
6,치킨이 보드람이랑 비숫합니다. 너무 깔끔하고 맛있었어요. 개인적으로는 보드람 보다 더 맛있네요,반반（후라이드치킨 반＋양념치킨 반）/1
7,"장점 1. 브라운치킨만의 그 특유의 맛이있습니다 2. 서비스가 정말 풍부합니다 3. 치킨맛을 여러가지 한번에 맛 볼수있습니다 아쉬운점 1. 파, 샐러드가 오는데 나무젓가락이라도 있었음 좋겠습니다 2. 무가 치킨양에비해 조금 부족해보여요",A세트（후라이드치킨＋간장치킨＋마늘치킨＋감자튀김＋어니언소스＋파채＋치킨무＋콜라500mL）/1
8,감자튀김도 맛있고 치킨도 맛있어요..,마늘치킨/1
9,메뉴구성이 혜자해요,후라이드치킨/1
