,리뷰,메뉴
0,생각보다 매웠는데 맛있게 먹었습니다. 다만 젓가락과 숟가락이 안보이더군요. 그래서 배달 별 하나 뺏어요ㅎ 그 외는 별5개,무뼈닭발＋계란찜/1
1,！...........,무뼈닭발＋계란찜/1
2,맛있어요 닭발이 쫄깃 하고 배달해 주신분도 친절 하셨구요 계란찜도 맛있어요,무뼈닭발＋계란찜/1
3,치킨도 너무 맛있고 닭발도 너무 맛있어오 ㅠㅠㅠㅠ 양이 너무 많아서 남겼네오ㅜㅜ,"세트메뉴2（무뼈닭발＋옛날치킨＋계란찜＋콜라）/1,김가루밥/1"
4,지금까지 먹어본 닭발집 중에 제일 맛있어요 다음에도 또 시켜 먹을게요 배달원 분께서 진짜 친절하셨어요 계란찜이랑 주먹밥이 진짜... 레전드,"무뼈닭발＋계란찜/1,김가루밥/1,콜라1.25L/1"
5,맛있었습니다 좀더 감칠맛나는 매운맛 원츄,불닭발＋계란찜/1
6,예상시간 내 배달되고 양도 괜찮은데 가대했던 치즈불닭이 아니네요 매운양념치킨에 그냥 치즈올린 느낌... 양념치킨생각하면 맛있는데 매운거 땡겨서 시킨거라 실망이 크네요,순살치즈불닭＋계란찜/1
7,맛있어요! 적당히 맵구 쫄깃쫄깃 또 먹고 싶은 맛!!,무뼈닭발＋계란찜/1
8,닭도리탕은 여기만 먹어요!! 너무 맛있어요,즉석닭도리탕/1
9,잘먹었습니다ㅋㅋ생각보다 쫌 달았어요ㅋㅋ담엔매운닭발로시켜봐야겠네요ㅋ다만아쉬운점이 배달음식에 수저 젓가락을 안주시네요?설거지귀차나서 시킨건데ㅜㅜ,무뼈닭발＋계란찜/1
10,물엿이너무많이들어가서그런지달요,불닭발＋계란찜/1
11,죤맛탱 담에 또 시킬께용,"무뼈닭발＋계란찜/1,동대문떡볶이/1,김가루밥/1"
12,불 향이 솔솔 나고 파채가 위에 올려져 있어서 더욱 맛있어요 ~~ 양도 많네요 배부름!,"무뼈닭발＋계란찜/1,김가루밥/1,콜라1.25L/1"
13,먼거리인데 직접 배달해주셔서 고맙습니다! 양두 많구 맛도 좋아서 식구들이 칭찬하네요~ 종종 주문하겠습니다! 번창하세요!!,세트메뉴1（불닭발＋옛날치킨）/1
14,이번주만 3번 주문하는거 같아요!!! 너무 맛있어요,무뼈닭발＋계란찜/1
15,맛있어요~~배송도 빠르네요 성인남자둘이 먹으면 딱 배부를양 ..? 여잔데 혼자먹으니까 1/3만 먹어도 배부릅니다 ㄷㄷ양 엄청 많아요,"무뼈닭발＋계란찜/1,김가루밥/1"
16,2주에 한번씩 먹다가 엄청 오랜만에 시킴 여전히 맛있음 근데 좀 덜 매워진 느낌 생각해보면 확실히 덜 매워진거 같음 헥핵 거리면서 먹고 다음날 난리났는데 그런게 없었음 그래서 별 하나 뺌,순살땡초불닭＋계란찜/1
17,역시나 맛나게 먹었어요!!!,"심청이세트1（불닭발＋무뼈닭발＋계란찜）/1,김가루밥/1"
18,역시나 맛있었습니다~!,세트메뉴5（불족발＋옛날치킨）/1(콜라 사이즈 변경(콜라 1.25L 변경))
19,요기서 통닭발이랑 옛날치킨 세트시켰어요.. 닭발은 언제 먹어도 핵맛.. 옛날치킨도 맛나요~ 양도 넉넉하고.. 서비스도 좋구요.. 넘 친절하세용~ 담에 또 시킬께요~,"세트메뉴1（불닭발＋옛날치킨）/1,김가루밥/1"
20,매번 맛있게 잘먹었습니다 ^^,세트메뉴2（무뼈닭발＋옛날치킨）/1(콜라 사이즈 변경(콜라 1.25L 변경))
21,오랜만에 먹어도 한결같은 맛! 맛있게 잘 먹었어요! 닭발은 언제나 뺑덕어멈 ♥ 번창하세요!!! 배고파서 먹다가 아 사진! 찍어야지하며 중간에 찍었어요 히히,무뼈닭발＋계란찜/1
22,계란찜 서비스로주시고 양도많고 존맛탱,세트메뉴3（오돌뼈＋옛날치킨）/1
23,닭발맛있어요. 자주주문할께요,무뼈닭발＋계란찜/1
24,주문한지 1시간 30분만에 배달 왔네요 어플에는 한참전부터 배달완료 처리돼있고 기분좋게 시켜먹으려고 했더니 괜히 기분만 상하네요 배달 신경쓰세요,심청이세트4（불닭발＋불족발＋계란찜）/1(불닭발 무뼈닭발로 변경 선택(콜라 1.25L 변경))
25,정말 맛있게 먹었어요 치킨도 맛나네요,세트메뉴1（불닭발＋옛날치킨）/1
26,정말 맛있었어요. 제가 찾던 맛!!! 배달은 좀 늦었지만 워낙 친절하셔서 만점입니당,즉석닭도리탕/1
27,배달빠르네요 양은적은듯,무뼈닭발＋계란찜/1
28,너무 맛있습니다 잘먹었습니다,무뼈닭발＋계란찜/2
29,두번째 시켜 먹어요!!! 닭발도 맛있었는데 똥집도 매콤하니 맛있었어요!!! 화학적인 매운맛이 아니라 다음 날 배도 안아푸고!! 자주 시켜 먹을게용!,세트메뉴7（매콤양념똥집＋옛날치킨）/1(콜라 사이즈 변경(콜라 1.25L 변경))
30,대박 ㅜㅜ 진짜 맛있어요! 다음번엔 꼭 치킨이랑 오돌뼈를 먹어볼게요!! 번창하세요!!,무뼈닭발＋계란찜/1
31,역시나 맛있습니다! 또 시켜먹을게요,세트메뉴5（불족발＋옛날치킨）/1(콜라 사이즈 변경(콜라 1.25L 변경))
