,리뷰,메뉴
0,맛있네요ㅠㅠ 소불고기덮밥.. 달달고기 맛깔고추장 조합 짱좋,소불고기 비빔밥/1
1,"진짜 맛,양 하나도 빠짐없이 최고.. 맨날 시킬까 고민만 했었는데 매주 한번씩은 시켜먹을듯 ㅠㅠ 감동의 맛입니다..",궁중식 순살찜닭/1
2,역시 저의 최애 샐러드ㅠㅠㅠㅠ,"허니갈릭 닭가슴살 시저샐러드/1(사이드메뉴 추가(마늘간장 새우튀김 M,계란말이 6조각))"
3,맛있었어요 비빔밥ㅎㅎ,소불고기 비빔밥/1(사이드메뉴 추가(명란마요소스 가라아게 5조각))
4,너무 맛있게 잘먹었습니다,영양부추무침과 대패삼겹덮밥/1
5,맛있습니다. 역시 셰플리,영양부추무침과 대패삼겹덮밥/1(사이드메뉴 추가(트러플향 감자튀김 M))
6,넘 맛있었어요 기대이상이요~!! 왕갈비맛..? 보다 걍 간장닭강정맛이긴한데 존맛.. 양도 많고 포장이 깔금해서 좋아요!,수원왕갈비 치밥/1
7,일단 배달이 예상 시간보다 더 늦게 왔어요. 전화번호도 없어서 문의도 안되고 셰플리나 요기요 고객지원 서비스는 최악인듯합니다. 양은 적당하고 다양한 재료로 요리된 것은 좋았습니다.,궁중식 순살찜닭/1
8,샐러드 구성은 매우 좋은데 조금 비싼 감은 있어서 프로모션 자주 했으면 좋겠어요:),허니갈릭 닭가슴살 시저샐러드/1
9,닭가슴살이 양념이 되어있어서 맛있네요. 피타 브레드 빼고 가격을 조금 낮췄으면...,허니갈릭 닭가슴살 시저샐러드/1
