,리뷰,메뉴
0,맛은 쏘쏘였는데 치킨 상태보고 놀랐습니다...형태가 온전이 없는 껍질들의 향연... 배달은 1시간 10분~20분 걸렸고요ㅎㅎ;,"두명 다 배터짐 세트（국물떡볶이中＋뽀얀속살치킨＋주먹밥 2개＋콜라245ml 2개 ）/1(떡볶이 맛 선택(보통맛),치킨 선택(양념 치킨으로 변경))"
1,맛있어요 !!!!!!!,"신춘 국물 떡볶이/1(사이즈 선택(中),떡볶이 맛 선택(보통맛)),삶은 계란/2,고구마튀김 2개/1"
2,양 맛 가격 다잡았당,"신춘라볶이 /1(사이즈 선택(中),떡볶이 맛 선택(순한맛))"
3,맵지는 않았어요 안에들어있는 중국당면?이 맛있었어요,"신춘 국물 떡볶이/1(사이즈 선택(大),떡볶이 맛 선택(순한맛))"
4,사장님 인심만큼 양도 넉넉하고 맛있게 잘먹었어용~!! 서비스로 주신 떡꼬치도 잘먹었습니다!!,"신춘 국물 떡볶이/1(사이즈 선택(大),떡볶이 맛 선택(매운맛)),원펀치 쓰리강냉이 셀프주먹밥/2,넙적 당면/1"
5,아는밋 배안터짐 치킨은 기름은 좋은거 쓰시는듯,"두명 다 배터짐 세트（국물떡볶이中＋뽀얀속살치킨＋주먹밥 2개＋콜라245ml 2개 ）/1(떡볶이 맛 선택(순한맛),치킨 선택(변경 안함))"
6,ㄱㄱㄱㄱㄱㄱㄱㄱㄱㄱㄱㄱㄱㄱㄱㄱㄱ굿,"신춘 국물 떡볶이/1(사이즈 선택(中),떡볶이 맛 선택(순한맛)),떡볶이는 내 친구 모둠튀김/1"
7,떡볶이 떡이 굉장히 크고 쫄깃하네요 ㅎㅎㅎ 진한 국물의 떡볶이 그 자체였습니다. 조금만 먹었는데도 엄청 배부르더라구요!!! 잘먹었습니다❤️,"신춘 국물 떡볶이/1(사이즈 선택(中),떡볶이 맛 선택(보통맛)),깻잎/1,콜라 1.25L/1"
8,배달은 예상시간보다 빨리왔어요 맛있네요!!! 잘먹었어요~ ㅋㅋ,"만두튀김 2개/1,고구마튀김 2개/2,오뎅튀김 5개/1,김말이 2개/3,고구마 치즈스틱 5개/1"
9,맛잇김햇지만... 튀김을 떡볶이에 넣어서 보내시다니... 잇을 수 없는 일이엇네요,"신춘 국물 떡볶이/1(사이즈 선택(中),떡볶이 맛 선택(보통맛)),삶은 계란/1,만두튀김 2개/1,김말이 2개/1"
10,맛도 있고 아주 좋습니다.,"두명 다 배터짐 세트（국물떡볶이中＋뽀얀속살치킨＋주먹밥 2개＋콜라1.25L）/1(떡볶이 맛 선택(순한맛),치킨 선택(양념 치킨으로 변경))"
11,맛있었어요!♡♡ 떡꼬치도 맛있고 떡볶이도 달달매콤하니 정말 제 입맛에 딱입니다^^,"신춘 국물 떡볶이/1(사이즈 선택(中),떡볶이 맛 선택(보통맛)),원펀치 쓰리강냉이 셀프주먹밥/1,고구마튀김 2개/1"
12,만족스런맛! 대박내세요~,"신춘라볶이 /1(사이즈 선택(中),떡볶이 맛 선택(매운맛)),떡볶이는 내 친구 모둠튀김/1"
13,우왕 떡볶이 넘 맛있어요! 양념이 달달하니 제 입에 딱 맞네요ㅋㅋ 깻잎도 많이 들었고 숙주도 아삭아삭 씹히는맛이 있어 좋아요. 당면도 젤 맛있는 당면이구요. 튀김은 만두나 김말이는 보통이고 오뎅튀김이랑 치즈스틱이 맛있네여. 서비스로 주신 떡꼬치도 꿀맛이에요. 양은 둘이 먹으니 딱 배부르고 좋아요.,"신춘 국물 떡볶이/1(사이즈 선택(中),떡볶이 맛 선택(순한맛)),떡볶이는 내 친구 모둠튀김/1"
14,껫잎들어가 향이좋아요 양은 보통 튀김도 보통,"신춘 국물 떡볶이/1(사이즈 선택(中),떡볶이 맛 선택(보통맛)),고구마튀김 2개/2"
15,맛있어요. 솔직히 제가 좋아하는 떡 타입이 아니라서 좀 아쉽긴 했지만 양념 과하지 않고 깔끔해서 국물 막 퍼먹었어요.ㅎ 깻잎이 맛있네요. 근데 고구마튀김은 좀 사이즈도 작고 약간 딱딱한 느낌... 김말이는 아주 맛있었어요. 전체적으로 만족스럽게 잘 먹었어요.,"신춘 국물 떡볶이/1(사이즈 선택(中),떡볶이 맛 선택(순한맛)),깻잎/1,고구마튀김 2개/1,김말이 2개/1"
16,배송도 빠르고 조아요,"신춘 국물 떡볶이/1(사이즈 선택(中),떡볶이 맛 선택(순한맛)),떡볶이는 내 친구 모둠튀김/1"
17,흠 그닥 내 입맛에는 그값만큼 맛있지 않더라,"신춘 국물 떡볶이/1(사이즈 선택(中),떡볶이 맛 선택(보통맛)),원펀치 쓰리강냉이 셀프주먹밥/1,깻잎/1"
18,새벽에 급 야식이 땡겨서 처음으로 배달 시켜봤는데 배달도 빠르고 무엇보다 라면도 양이 많고 어묵은 추가했는데 푸짐 해서 정말 좋아요! 체다 치즈는 같이 안와사 좀 아쉽긴했는데 양과 맛도 좋아서 다음에 또 시켜먹으려구요!☺️,"신춘라볶이 /1(사이즈 선택(中),떡볶이 맛 선택(보통맛)),생리얼체다치즈/1,어묵/1,깻잎/1"
19,맛있게 먹었어요 고구마튀김이 특히 맛있네요,"신춘 국물 떡볶이/1(사이즈 선택(中),떡볶이 맛 선택(순한맛)),만두튀김 2개/1,고구마튀김 2개/1,김말이 2개/1"
20,떡도 달고 소스도 짜고달고... 양과 배달은 정말 좋았어요,"신춘 국물 떡볶이/1(사이즈 선택(中),떡볶이 맛 선택(보통맛)),떡볶이는 내 친구 모둠튀김/1"
21,좀 달아욘 ㅠ 떡이 좀 덜익어서 아숩 전체적으로 맛있어용~~,"네명 다 배터짐 세트（국물떡볶이大＋핫도그4개＋뽀얀속살치킨＋주먹밥 1개＋콜라1.25L）/1(떡볶이 맛 선택(순한맛),치킨 선택(변경 안함)),떡볶이는 내 친구 모둠튀김/1,넙적 당면/1"
22,배달은 1시간20분 정도 걸렸어요. 잘먹었습니다.,"신춘 국물 떡볶이/1(사이즈 선택(中),떡볶이 맛 선택(보통맛)),떡볶이는 내 친구 모둠튀김/1"
23,빠른 배송 맛은 먹을만 해여~~ 배불러요~,"신춘 국물 떡볶이/1(사이즈 선택(中),떡볶이 맛 선택(순한맛)),떡볶이는 내 친구 모둠튀김/1,원펀치 쓰리강냉이 셀프주먹밥/1"
24,맛있음 급해서 안뜯고 찍음 여튼 맛있음,"신춘 국물 떡볶이/1(사이즈 선택(中),떡볶이 맛 선택(보통맛)),뽀얀 속살 치킨/1(치킨 선택(양념 치킨으로 변경))"
25,두번세번다섯번시켜먹을거임,"신춘 국물 떡볶이/1(사이즈 선택(中),떡볶이 맛 선택(보통맛)),떡볶이는 내 친구 모둠튀김/1,넙적 당면/1"
26,떡볶이 너무 내 입맛...주먹밥이랑 먹으니까👍🏻,"신춘 국물 떡볶이/1(사이즈 선택(中),떡볶이 맛 선택(순한맛)),원펀치 쓰리강냉이 셀프주먹밥/1,삶은 계란/1"
27,숙주와 깻잎 때문에 자꾸 생각나서 찾게 됩니다. 이번에는 치즈 일부러 안 넣었는데 깔끔하고 맛있었어요. 또 생각나면 먹을게요. 요청사항 항상 읽어주시고 만들어주셔서 감사합니다.,"신춘 국물 떡볶이/1(사이즈 선택(中),떡볶이 맛 선택(순한맛)),깻잎/1,자꾸 손이가는 감자튀김/1"
28,진짜 두명다 배터짐요~ 맛도 있고 치킨도 엄청 바삭하고 맛있구요~ 양도 엄청 나요~~ 서비스로 주신 떡꼬치도 맛있어용~,"두명 다 배터짐 세트（국물떡볶이中＋뽀얀속살치킨＋주먹밥 2개＋콜라1.25L）/1(떡볶이 맛 선택(순한맛),치킨 선택(변경 안함)),떡볶이는 내 친구 모둠튀김/1"
29,처음시켜봤는데 진짜 맛있어요! 치킨은 기대안했는데 .. 대박! 다른 치킨집과 비교해도 맛있습니다! 나중에 또 먹을것같아요!,"두명 다 배터짐 세트（국물떡볶이中＋뽀얀속살치킨＋주먹밥 2개＋콜라1.25L）/1(떡볶이 맛 선택(보통맛),치킨 선택(변경 안함)),깻잎/1"
30,매번 맛있게 잘 먹었습니다,"신춘 국물 떡볶이/1(사이즈 선택(中),떡볶이 맛 선택(보통맛)),어묵/1,깻잎/1,삶은 계란/1,떡꼬치 /1"
31,맛도 있고 어묵추가를 했는데 양도 많이 주셨네요. 보통으로 시켰는데 약간 맵네요.,"신춘 국물 떡볶이/1(사이즈 선택(中),떡볶이 맛 선택(보통맛)),어묵/1,김말이 2개/1"
32,뭐라 말하기 힘든데... 암튼 밋남,"두명 다 배터짐 세트（국물떡볶이中＋뽀얀속살치킨＋주먹밥 2개＋콜라1.25L）/1(떡볶이 맛 선택(매운맛),치킨 선택(변경 안함)),깻잎/1,고구마튀김 2개/1"
33,맛있어요. 배달도 빠르고ㅎㅎ,"신춘 국물 떡볶이/1(사이즈 선택(中),떡볶이 맛 선택(순한맛)),삶은 계란/1,만두튀김 2개/1,오뎅튀김 5개/1"
34,순한맛으로 주문했는데 미친듯이 맵네요. 배달이 잘못된게 아니면 매운맛은 사람이 먹을 음식이 못될거 같아요. 배달은 60분 겅린다고 하고 25분만에 왔고 애들 자니까 벨 누르지 말아달랬는데 그냥 누르시더군요. 이럴거면 배달비 왜 받나 했는데 영수증 붙어있는거에 배달요구사항이 안써있었어요. 이럴거면 뭐하러 요구사항 쓰라고 하며 배달비는 왜 따로 받는건지.....,"신춘라볶이 /1(사이즈 선택(中),떡볶이 맛 선택(순한맛)),김말이 2개/1"
35,👍👍👍👍👍👍,"신춘 국물 떡볶이/1(사이즈 선택(中),떡볶이 맛 선택(보통맛)),떡볶이는 내 친구 모둠튀김/1"
36,갑자기 떡볶이가 급 땡겨서 주문했어요~ 라볶이 먹었는데 면이 하나도 안뿔어서 넘좋았구 정말 맛있었어요!!!,"신춘라볶이 /1(사이즈 선택(中),떡볶이 맛 선택(순한맛)),원펀치 쓰리강냉이 셀프주먹밥/1"
37,맛있게 잘 먹었습니다.... 너무 배고파서 바로 막 먹어서 사진을 못찍었네요ㅜㅜ 배달도 빠르고 맛있어요 양도 푸짐하고!! 다음에 또 먹을께요 ~~!!,"신춘 국물 떡볶이/1(사이즈 선택(中),떡볶이 맛 선택(보통맛)),어묵/1,만두튀김 2개/1,김말이 2개/1"
38,"깻잎 추가하십셔,, 제일 매운맛 리뷰는 아직 없는것 같은데 만족스러웠어요! 매운걸 엄청 잘먹는 편은 아니지만 맵게 잘 먹었습니다","신춘 국물 떡볶이/1(사이즈 선택(中),떡볶이 맛 선택(매운맛)),깻잎/1,김말이 2개/1,콜라 245mL/1"
39,떡꼬치 따로 준비했는데 양도 많이 주시고 너무 맛있게 잘 먹었습니다,"신춘 국물 떡볶이/1(사이즈 선택(中),떡볶이 맛 선택(보통맛)),어묵/1,깻잎/1,삶은 계란/1,떡꼬치 /1"
40,맛있게 잘먹었습니다. ~~^^,"신춘 국물 떡볶이/1(사이즈 선택(中),떡볶이 맛 선택(순한맛)),떡볶이는 내 친구 모둠튀김/1,더블치즈/1"
41,양도엄청많고 맛있어요. 잘먹었습니다.,"두명 다 배터짐 세트（국물떡볶이中＋뽀얀속살치킨＋주먹밥＋콜라1.25L）/1(떡볶이 맛 선택(순한맛),치킨 선택(변경 안함)),김말이 2개/1"
42,엄청빨리와서 잘 먹었어요! 양도 많아서 반도 못먹었네요 다만 너무 빨리와서 그런지 떡볶이를 엄청 기대했는데 양념이 덜된느낌..? 덜 쫄은 느낌이라 아쉬웠어요. 리뷰남긴다고해서 떡꼬치 대신 얼음컵 두개왔던데 더운 여름에 시원하게 잘 먹었습니다~,"두명 다 배터짐 세트（국물떡볶이中＋뽀얀속살치킨＋주먹밥＋콜라1.25L）/1(떡볶이 맛 선택(순한맛),치킨 선택(변경 안함))"
43,맛있게 잘 먹었습니다 근데 리뷰 이벤트 신청 한다고 했는데 떡꼬치가 안 왔네요 어묵 추가 했는데 많이 주셔서 감사합니다,"신춘 국물 떡볶이/1(사이즈 선택(中),떡볶이 맛 선택(보통맛)),떡/1,어묵/1,삶은 계란/1"
44,문방구떡볶이맛에 깻잎향 첨가된 맛이에요 매운거 진짜 못먹는데 보통맛도 맛있게 먹었네요 당면 조금들어갈줄알고 사리추가했는데 넘 많아서 후회되네요.. 그돈으로 튀김어묵이나 추가할걸ㅜㅜ 속이 부담스럽지 않게 가볍게 즐길만한 맛이에요 추천💕,"신춘 국물 떡볶이/1(사이즈 선택(中),떡볶이 맛 선택(보통맛)),넙적 당면/1,오뎅튀김 5개/1"
45,깻잎도 많이 넣어주시고 당면을 못먹어서 빼달라고 했는데ㅠㅠ 너무 감사하게 빼주셨어요ㅠㅠ 엄청 맛있어요 깻잎이랑 떡볶이랑 너무 잘 어울려요~ 맛있게 잘먹었습니다~ 떡꼬치 진짜 따뜻할때 먹으니까 천국이더라구요~,"신춘 국물 떡볶이/1(사이즈 선택(中),떡볶이 맛 선택(순한맛)),더블치즈/1"
46,"다른 걸 안 먹어봐서 모르겠지만, 더블치즈 치킨이 그냥 후라이드 같긴 했고 맛은 좋았습니당 그보다 일단 떡볶이가 인기가 많아서 기대 했는데 정말 깻잎 넣어보라고 리뷰 해준 사람 감사합니다. 봉투 칼로 째는 순간 깻잎 냄새가 식욕을 자극하더라구요 그리고 처음 딱 받을 때 열심히 올라와 주신 배달하신 분도 서비스 정신에 감동 했고, 양에서도 대만족 했습니다. 가성비 출중한 것 같네요 정말 우우오오..","두명 다 배터짐 세트（국물떡볶이中＋뽀얀속살치킨＋주먹밥＋콜라1.25L）/1(떡볶이 맛 선택(보통맛),치킨 선택(골드 치즈 치킨으로 변경)),더블치즈/1,깻잎/1"
