,리뷰,메뉴
0,너무 좋다 👍🏻👍🏻👍🏻👍🏻,（뼈） 양념＋간장/1(추가 선택(계란찜))
1,흐윽흐을.....배고프아으ㅏ,（순살）후라이드＋양념/1
2,잘 받아서 맛있게 먹었습니다.,（뼈） 후라이드＋양념 /1
3,넘맛잇어요유또시킬게용,후라이드 치킨 /1
4,태풍오는날에 시켯습니다. 2시간30분이걸리긴했지만 그러려니했습니다. 감사히잘먹었습니다. 양념은 캐첩냄새가조금났고 간장은 좀 짜네요.,（순살）양념＋간장 /1
5,🌹🧡😁😨🥳👲🏿😢💙😭😢🧚‍♀️💞,순살 양념치킨 /1
6,굉장히 금방와서 놀랐는데 닭껍질튀김시킨줄 알았네요 게다가 푸석푸석했습니다,（순살）후라이드＋간장/1
7,맛았게 잘 먹었습니다. 감사합니다.,후라이드 치킨 /1
8,새벽에 젤ㄹ 맛남ㅎ ㅎ,순살 양념치킨 /1
9,맛있게 먹었어요!,（뼈） 후라이드＋간장/1
10,맛도 양도 그냥 쏘쏘,（순살）양념＋간장 /1(추가 선택(계란찜))
11,너무 맛있습니다ㅎㅎㅎ,（뼈） 후라이드＋간장/1
12,"치킨이 맛없기 힘든데,,,,, 간장은 맛있었는데 양념이 좀 심각한편 양은 진짜 존나많긴해요",（순살）양념＋간장 /1
13,새벽시간인데 배달이 좀 늦었던것같아요 치킨 다 식어서 왔습니다 치킨에서 기름 역겨운맛이 너무 많이나서 얼마 안먹고 다 버렸네요,（순살）후라이드＋간장/1
14,진짜 맛있고 양망고,（순살）후라이드＋간장/1
15,맛있어요~ 이 조합으로 한번 더 시켜야겠어요^^!,（순살）양념＋간장/1
16,역시 빠른 배달쵝오! 새벽에 이만한 집이.없죠! 항상 잘먹고있습니다,（순살）후라이드＋양념/1
17,맛도 괜찮고 시간도 생각보다 안늦게 오네요 잘먹었습니다,（뼈） 양념＋간장/1(추가 선택(주먹밥（셀프）))
18,맛있어요오!!!!!!,（순살）후라이드＋양념/1
19,맛있게잘먹넜급니당ㄹㄹ,（뼈） 후라이드＋양념/1
20,그냥 그렇게 맛있진않았어요,（순살）양념＋간장 /1
21,잘먹넜습니다 늦은시간에도 맛있었네요!,（순살）후라이드＋간장/1
22,혼자 먹으려고 시켰는데 양도 많고 좋았어요. 아쉬운건 똥집은 안 질기고 냄새도 안났지만 튀김이 날씨 때문인지 살짝 눅눅하고 밀가루 맛이 확 나더라고요ㅜ,닭 똥집 튀김/1
23,맛있습니다~!잘먹었어요,（순살）양념＋간장 /1
24,맛있게 잘먹었어용ㅎㅎ,순살 파닭 /1
25,아침에 치킨주문할곳이 없었는데 너무 좋아요오~대신 좀 오래튀기거나 기름이 오래된것같아요~약간 탄맛이 나요 그거빼고는 다 괜찮았어요^^ 잘먹었습니다^^,후라이드 치킨 /1
26,맛있었고 양도 많아서 만족합니다. 다만 한시간 십오분이나 걸려서 조금만 더 빨랐으면 하네요.,（순살）양념＋간장 /1
27,꺄오오오올꾸애애애아긱이이익,（순살）양념＋간장 /1
28,뭐야 항시간이라며 왱케빨리어ㅏ 암짝이야어ㅏ 와 대박존나맛있음심지어,（순살）양념＋간장 /1
29,진짜 짱 맛잇는곳입니다,（순살）후라이드＋간장/1
30,배달 60분 떳는데 35분정도만에 오신거같에요 맛도 괜찮구 종종 시켜먹을거같네요,（순살）후라이드＋간장/1
31,어...이거 잘못왔나봐요ㅠ,（순살）양념＋간장 /1
32,간장은 맛있는데 후라이드는 너무 밍밍하네요,（순살）후라이드＋간장/1
33,튀김옷이 좀 두꺼워요. 근데 맛있어요!!!,（순살）후라이드＋간장/1(추가 선택(계란후라이 3개))
34,배달은 빠르고 맛있어여!!!,（뼈） 후라이드＋양념/1
35,닭비린내가 심했어요,후라이드 치킨 /1
36,상태 좋고 괜찮은데 양념이 많이 물려서 아쉽네요,（뼈） 양념＋간장/1
37,친절함의 끝판왕ㅜㅜ 시간계산을 잘못해서 사장님께 연락드렸더니 배려 정말 잘해주셨음ㅜㅜ 치킨도 바삭하고 소스도 훌륭함. 다른 프랜차이즈랑 비교하면 소스랑 콜라까지 주는데 가격도 착하고 배송도 빨랐음. 24시간이라고 해서 기대 많이 안했는데 그냥 평소 저녁에도 시켜먹을 예정!! 번창하세요ㅎㅎㅎ,（뼈） 후라이드＋양념/1
38,소스가 뿌려져서 오니까 눅눅하고 너무 달아요,순살 파닭 /1
39,처음시키는데 상당히 맛좋군요,（순살）후라이드＋간장/1
40,새벽에 시켰는데 배달도 빨리오네요 ㅎㅎ,순살 파닭 /1
41,잘먹었습니다. 배부르게 맛있게 먹었어요 ^~^,순살 후라이드 /1
42,늦은시간에도 맛있는 치킨먹을수있어서 좋아요,（순살）후라이드＋간장/1
43,간장치킨 맛있네요 개인적으로 양념보다 나은듯,순살 간장치킨 /1
44,새벽에 치킨 시켜먹는거라 기대안하고 있었는데 엄청맛있어요!!!!!감사합니다^^,후라이드 치킨 /1
45,음식주문한지 1시간30분만에 옴. 바쁜시간대도 아니고 새벽에시켰는데 1시간30분만에 오는게 말이되나? 게다가 전화도 안받음. 이딴식으러 할거면 장사 그냥 접으세요 쌍욕 박아주고 싶은데 전화도 안받네. 고객님들~ 1시간30분만에 배달 받고 싶으면 여기서 주문하세요~,（순살）후라이드＋양념/1(추가 선택(계란후라이 3개))
46,맛도 양도 배달도 만족해요,순살 간장치킨 /1
47,깔끔한 맛입니다. 양념이 맛있음요.,순살 양념치킨 /1
48,새벽 늦게 주문해서 맛있게 먹었습니다 바삭하고 깔끔합니다 자주 애용하겠습니다,（순살）후라이드＋양념/1
49,배달이 조금 느리네요,（순살）후라이드＋양념/1
