,리뷰,메뉴
0,제가 좋아하는 족발이얐어요! 근데 쟁반국수는 아쉬웟어요,왕족발/1(사이즈 선택(中))
1,치즈까스 오랜만에 먹고싶어서 시켰는데 좋았어요ㅎ,치즈까스/2
2,식당위치가 어딘지 모르겠는데 배달은 좀 걸렸어요. 좀 양념이 많긴 하지만 맛있었어요.,무뼈닭발＋계란찜/1(사이즈 선택(小))
3,맛있게 잘먹었어요,"된장찌개/1,제육볶음정식도시락/1,계란찜/1"
4,양이 많고 맛있어요~~,"치즈까스/1,김치볶음밥/1"
5,"김치찌개 맛있어요, 고구마돈까스도 맛있네요.","고구마까스/1,김치찌개/1"
6,맛있게잘먹었습니다~,"생선까스/1,제육볶음덮밥/1"
7,야식 정말 푸짐하고 맛있게 잘 먹었습니다.,"치즈까스/1,물냉면/1(추가 선택(곱빼기 추가))"
8,잘 먹었습니다 많이 파세요,왕족발/1(사이즈 선택(小))
9,맛있게 잘먹었어요,"소불고기볶음정식/1,계란찜/1,콜라 500mL/1"
10,잘 먹었습니다 많이 파세요,왕족발/1(사이즈 선택(小))
11,국물이 정말 끝내줘요.,"김치만두전골/1(사이즈 선택(小)),물냉면/2"
12,김치볶음밥이 조금 밍밍... 치킨은 맛있어요~~~~~~~~~,"반반치킨（후라이드치킨 반＋양념치킨 반）/1(추가 주문(콜라 1.25L로 변경)),치즈김치볶음밥/1"
13,양도 많았고 맛도 좋았습니다 상추랑 쫄면 등 세트로 와서 맛있게 잘먹었습니다,왕족발/1(사이즈 선택(大))
14,..........,순살후라이드치킨/1
15,치킨이 은근 맛있는 집. 호프집 안주치킨이 생각나네요,후라이드치킨/1
16,맛있게 묵엇네요 양념 맛좋음,순살양념치킨 반＋순살간장치킨 반/1(추가 주문(콜라 1.25L로 변경))
17,할인 이벤트로 먹었는데 맛있었어요,"치즈까스/1,새우볶음밥/1"
18,"고구마돈까스는 너무 맛있어요, 그런데 부대찌개에 들어간 콩너물은 이런걸 쓰나요..... 줄기는 질기고 저거는 썩어서 허옇게 비위상해 죽는줄, 결국 버렸어요. 식자재 신겨 쓰셔야죠.","부대찌개/1,고구마까스도시락/1"
19,저렴하게 쿠폰써서 잘먹었음,"베이컨볶음밥/1,제육볶음덮밥/1"
20,떡이쫌많아서별로지만가성비는괜찮고맛도괜찮아요,닭도리탕/1(닭도리탕 사이즈 선택(1.5마리))
21,맛있습니다. 추천해요. ㅋㅋㅋㅋㅌㅌㅋ,"양념치킨/1,육개장/1"
22,양 많고 반찬도 다양하네요. 배달 기사님도 친절하시구요. 잘 먹었습니다,"오징어볶음덮밥/1,부대찌개/1"
23,"의외로 치킨이 맛있는 집. 야식집 치킨의 기름쩐내, 튀김70%, 역겨운고기맛이 없다",순살후라이드치킨＋순살양념치킨/1
24,가성비 괜찮아요 양도많고 맛도 괜찮습니다.,왕족발/1(사이즈 선택(中))
25,정말 너무 배달도 빠르고 맛있어요,"새우볶음밥/1,치즈까스도시락/1"
26,맛있게 잘 먹었습니다,"수제등심돈까스/1,김치찌개/1"
27,so good and fast,"순살치킨까스/1,새우볶음밥/1,계란찜/1"
28,양도 그냥 그랬구..맛도 그냥..,부대찌개/2
29,곱창 주문시 냄새나지 않게 해달라했는데 남편은 이정도 냄새라면서 괜찮다하는데 전 냄새가 많이나서 먹지 못했고 순대곱창인데 순대가 5개만 들어가서 아쉬웠어요~ 계란찜도 국물이 하나도 없네요ㅠ,"순대곱창볶음/1(사이즈 선택(小)),계란찜/1"
30,기대를 너무 해서 그런지 맛이 좀 아쉬웠어요,고등어조림/1(사이즈 선택(小))
31,족발보단 맛있음 김치찌개 국물은 많으나 고기는 별로 없음ㅋ,"수제등심돈까스/1,김치찌개/1"
32,두번째 주문인데 배달도 빠르고 양도 많고 맛도 좋아요,알탕/1(사이즈 선택(小))
33,볶음밥에서 새우비린내가 약간 나긴했지만 감수할 수 있을 정도였어요! 양도 많고 엄청 맛있었습니다,"새우볶음밥/1,김치찌개/1"
34,가족들이 다 싸먹는거 좋아해서 상추 많이 부탁드린다고 메모 남겼는데 딱 하나 가져다 주셨네요 배달도 꽤 오래걸렸어요 한시간 정도,왕족발/1(사이즈 선택(小))
35,배달도 빨리오고 양도많고 다 맛있어요,"생선까스/1,부대찌개/1"
36,"새벽에 해장용으로 시켜봤는데 양도 많고, 맛도 좋았어요 근데 배달이 예상시간보다 15분 더 늦어서 기다리는데 좀 힘들었네요 ㅎ 그래도 맛있어서 다음에도 주문할래요~","수제등심돈까스/1,김치찌개/1,물냉면/1"
37,김치볶음밥이맛있게생겼음.,김치볶음밥/1
38,"어제새벽에 주문했는데 간이세지않고맛있어서 제입맛에좋았어요 특히김치볶음밥이랑 반찬들도! 양은다른곳비해서, 엄청푸짐해서놀랐고요^^ 그래서바로오늘또 재주문하고기다리는중~","김치볶음밥/1,제육볶음덮밥도시락/1"
39,맛있게 먹었던 집!,"제육볶음덮밥/1,뼈해장국/1,사이다 500mL/1"
40,"맛은 음.. 그냥, 늦게 먹을게 없어서 시켰어요,","새우볶음밥/1,오징어볶음덮밥/1"
41,맛있어요 ~!!!!!!!!!!!!,"（물,비）냉면＋석쇠불고기/1(메뉴 선택(물냉면))"
42,양도많구 맛두잇구 제가 매운거 못먹어서 싱겁지않을정도로만 안매웁게 부탁드렸는데 딱 알맞게 맞춰서 요리해주셔서 감사했습니다,소곱창전골/1(사이즈 선택(中))
43,진짜 맛있어요 잘 먹었어요~,"뼈해장국/1,제육볶음정식도시락/1"
44,정말 맛있어용!! 또 먹고 싶은 맛!,돼지고기김치전골/1(사이즈 선택(小))
45,늘 맛나게 먹고있습니다^^,"수제등심돈까스/1,스팸햄볶음밥/1"
46,엄청 맛있고 가성비입니당,순살후라이드치킨＋순살간장치킨/1(추가 주문(콜라 1.25L로 변경))
47,배달시간 문자온대로고요. 맛도 괜찮았고. 찌개는 양이 무척 많았어요. 재주문 의사 있습니다,
48,맛있어요.아자아자이,함박스테이크/2
49,완전 좋아용 배달도 빠르고 가성비입니당,순살간장치킨 두마리/1(추가 주문(콜라 1.25L로 변경))
50,김치볶음밥이랑 부대찌개 시켰는데 맛은 있었어요 근데 부대찌개가 너무 걸쭉해서 좀 별로인점있었습니다,"김치볶음밥/1,부대찌개/1"
51,다맛있다 치킨과 만두,"순살양념치킨＋순살간장/1(추가 주문(콜라 1.25L로 변경)),（고기,김치）왕만두/1(만두 선택(고기만두))"
52,그냥 무난한. 냉면은 맛있었어요,"수제등심돈까스/1,비빔냉면/1"
53,역시 맛은 짱이네여,양념치킨＋간장치킨/1(추가 주문(콜라 1.25L로 변경))
54,냉면이랑 돈까스 맛잇어요,"치즈까스/1,물냉면/1"
55,맛있겠습니다. 아,생선까스/2
56,양이좀적구....맛은갠차나욤~,후라이드치킨＋간장치킨/1(추가 주문(콜라 1.25L로 변경))
57,맛있어요! 배달도빠르고ㅋㅋ 번창하세요,"두부김치/1(사이즈 선택(小)),계란찜/1"
58,진짜 가격도 착하고 엄청 잘 먹었습니당!!,양념치킨 2마리/1(추가 주문(콜라 1.25L로 변경))
59,So so good!!,치즈까스/2
60,So so good!!,"치즈까스/1,제육볶음덮밥/1"
61,"콜라를 비닐안에 같이 넣은채 눕혀져 배달와가지고 비닐바닥이 다샛네요? 한 4분의1정도 비어있는거 보이시나요? 이건 쫌 아닌거같네요. 롯데리아나 피자집에서 피자,햄버거랑 콜라도 같이주문해서 배달오면은 콜라는 따로 들고 오셔서 배달해주던데","베이컨볶음밥/1,주먹밥/1,콜라 1.25L/1"
62,맛있어요.아자아자임.,"수제등심돈까스/2,치즈까스/1"
63,두번째주문 배달은 20분전 도착 빨라서 좋았어요 새우. 스팸볶음밥 양 진짜 장난아님. 새우는 짜장이 있는걸보고 시켰는데 없네요... 도시락이 아니고 볶음밥을 시켰는데 반찬과함께 도시락처럼 보내주셨네요ㅎㅎㅎ 근더ㆍ 찌개두개는 얼큰하게 해달라했는데 못보신건지 좀 싱거웠어요ㅠㅠ,"새우볶음밥/1,스팸햄볶음밥/1,김치찌개/1,스팸김치찌개/1"
64,아 배송빠르고 튀김도 마음에 듭니다 제가 좋아하는 스타일의 후라이드에요,후라이드치킨 2마리/1
65,생각보다 2마리의 양이 적고 치킨 튀김이 기름을 많이 먹어서 아쉽습니다.,순살양념치킨 두마리/1(추가 주문(콜라 1.25L로 변경))
66,매번 감사히 먹어요!! 굿굿,"수제등심돈까스/1,만두김치찌개/1,공기밥/1"
67,맛있게생겼습니다.아,수제등심돈까스/3
68,배달은 시간안에도착 육개장은 오빠가 맵긴한데 맛있다하더라고요 치킨양은 순산인데 좀 커서그런가 많아보이진않았지만 먹다보니 배부르더라고요. 근데 먹다 중간중간 냄새가 좀 나고 기름이 좀 많았던거같아요. 그거빼곤 괜찮았어요^^,"순살후라이드치킨 2마리/1(추가 주문(콜라 1.25L로 변경)),육개장/1"
69,맛은 그냥그냥 냉면 육수 스프맛이 넘 나서 ㅠㅠ,"치즈까스/1,비물냉반반/1"
70,맛있게 잘 먹었어요!배달도 엄청 빨라요!,"양념치킨 반＋간장치킨 반/1(추가 주문(콜라 1.25L로 변경)),새우볶음밥/1,계란찜/1,사이다 1.25L/1"
71,포장도 깔끔하고 짜지도 않으며 양도 많아 여러가지로 감사합니다,육개장/2
72,맛잇게잘먹었습니다!,해물탕/1(사이즈 선택(小))
73,배달 빠르고 돈가스 정말 사랑입니다.,"치즈까스/1,육개장/1,계란찜/2"
74,배달이 생각보다 빠르고 치킨 너무 맛있고 맘에 들어요!계란찜도 추운 겨울에 하나의 행복인 것 같애요 ㅎㅎ,"양념치킨 반＋간장치킨 반/1,주먹밥/1,계란찜/1,콜라 1.25L/1"
75,양이 너어어무 많았네요. 좀 줄여주셔도 괜찮을 것 같아요!,"순살치킨까스/1,김치볶음밥/1,해물볶음밥/1,김치찌개/1,부대찌개/1"
76,존맛탱이예요!!!!!,순살간장치킨/1(추가 주문(콜라 1.25L로 변경))
77,곱창이 적지않아 좋았어요,소곱창전골/1(사이즈 선택(小))
78,후라이드보단 양념이나 간장이 맛있어요,양념치킨＋간장치킨/1
79,👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,"치즈까스/1,계란찜/4"
80,가격대비 양이 좀 아쉽지만 그래도 잘 먹었습니다.,"삼계탕/1(삼계탕 사이즈 선택(1마리)),공기밥/1"
81,김치찌개가... 좀 매웠어요 ㅋㅋㅋㅋㅋㅋ 어휴.... 담날 응꼬좀아파뜸,"수제등심돈까스/1,김치찌개/1"
82,빠르고 맛있습니다!ㅎㅎ,"후라이드치킨＋양념치킨/1,스팸김치찌개/1"
83,돈까스는맛있는데 돼지갈비찜 포장 뜯고 뚜껑 여는순간 돼지냄새가......결국 그대로 가져다가 버렸네요 먹어보지도못하고 쓰레기통에 돈버린기분,"돼지갈비찜/1(사이즈 선택(小)),고구마까스/1,사이다 500mL/1"
84,맛도 양도 적당해요..,"치즈까스/1,함박스테이크/1,베이컨볶음밥/1"
85,고구마돈까스시켰는데 잘못배달왔네요,"고구마까스/1,부대찌개/1,사이다 500mL/1"
86,진짜 너무맛있네요 돈까스도 두툼하고 냄새도안나고 부대찌개 내용물이 많아놀랐어요!! 사진보다 양 더 많아용ㅎㅎㅎㅎ 자주 시킬게요,"수제등심돈까스/1,부대찌개/1"
87,배달도 빠르고 맛있어요,삼계탕/1(삼계탕 사이즈 선택(1마리))
88,배달 속도나쁘지않았고 맛도괜찮습니다,"생선까스/1,스팸김치찌개/1"
89,배달도빠르고 맛나오,"새우까스/1,물냉면/1"
90,소곱창전골에 김치 마니달라고했는데 이렇게 마니주실줄 몰랐어요 ㅋㅋ감사해요ㅋ 오자마자 곱창 머겄는데 맛있네요ㅎ 바로 해서 갖다주셔서 완젼 뜨겁고 조아요 담에 또 시킬게요ㅎ,소곱창전골/1(사이즈 선택(小))
91,양도푸짐 배달도빠르고 맛도 만족,"김치볶음밥/1,제육볶음정식도시락/1"
92,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,수제등심돈까스/2
93,ㅌㅊㅌㅌㅊㅊㅌㅊㅊㅊ,수제등심돈까스/2
94,맛있어요.아자아자자,물냉면/3
95,맛있어요.ㅋㅇㅋㅇㅇ,수제등심돈까스/3
96,맛있게잘먹었습니다~~,"생선까스/1,부대찌개/1"
97,배달도 빠르고 맛있어요,"수제등심돈까스/1,부대찌개/1"
98,옛날엔 맛있었는데 뭔가 맛이 떨어진 느낌이에요;;;개선 부탁드려요;;;,"참치김치찌개/1,새우까스도시락/1"
99,넘 나 맛 이 있 습 니 다 아,"수제등심돈까스/1,김치볶음밥/1"
100,치즈돈까스 겁나맛있음 제육볶음은별로,"치즈까스/1,제육볶음덮밥/1"
101,김치찌개 다신안먹습니다 다버렸어요 제육볶음은 계속보고싶은 맛이내요 잘먹었습니다.,"제육볶음덮밥/1,김치찌개/1"
102,배달은 빨라서 좋았는데 부대찌개 맛이없음,"치즈까스/1,새우볶음밥/1,부대찌개/1"
103,여기서 오랜만에 시켜보네요 김치볶음밥 너무 싱거워요 돈가스는 넘 맛있어용....,"수제등심돈까스/1,김치볶음밥도시락/1"
104,순두부..엄청 싱거워요...ㅠㅠ,"고구마까스/1,새우까스/1,해물순두부/1"
105,치킨도 파는줄 몰랐는데 맛있음,순살양념치킨 반＋순살간장치킨 반/1(추가 주문(콜라 1.25L로 변경))
106,ㅠㅠ 국물에서 벌레나왔어요.. 속 버렸어요..,"치즈까스/1,고구마까스/1"
107,맛과 양은 그냥 저냥 집 대발원은 굳,
108,자두시켜먹고싶은데 배달이안될때가ㅜ많네요 ㅠㅠㅠㅠ그래도 맛나게 잘먹엇네용!,"고구마까스/1,스팸햄볶음밥/1,김치찌개/1"
109,정말 맛있었요~~~짱,"（물,비）냉면＋석쇠불고기/1(메뉴 선택(비빔냉면))"
110,有中国人吗 好吃啊这个 点啊,"（물,비）냉면＋석쇠불고기＋야채세트/1(메뉴 선택(물냉면))"
