,리뷰,메뉴
0,이벤트기간인데 예정시간보다 빨리어거 기사님도 친절하셔서 맛있게 잘 먹었어요.,동물복지 후라이드 치킨/1(맛 선택(후라이드＋마늘))
1,언제나 존맛탱|~~~,"동물복지 후라이드 치킨/1(맛 선택(간장＋양념)),생맥주 500cc/1"
2,저번주에 첨 시켜먹었는데 존맛이라서 좀이따 또 시켜먹을겁니다,"순살 치킨/1(맛 선택(후라이드＋마늘),사이드메뉴 추가(사이다 사이즈 업,양념소스 추가))"
3,맛있고 매콤해서 2마리먹어도 느끼하지않아요,핫후라이드 치킨/2(맛 선택(동물복지 후라이드 한마리))
4,"한 달에 한 번, 치팅데이에 자담에서 시켜 먹는 게 제 삶의 낙입니다♡♡♡♡♡","순살 치킨/1(맛 선택(순살치킨),사이드메뉴 추가(무 추가))"
5,맛이좋습니다....,핫후라이드 치킨/1(맛 선택(동물복지 후라이드 한마리))
6,매콤하니 맛있습니다 !,핫순살 치킨/1(맛 선택(동물복지 후라이드 한마리))
7,역시 자담 치킨 맛있습니ㅣ다,"동물복지 후라이드 치킨/1(맛 선택(후라이드＋양념)),메가 크런치/1"
8,믿고 시키는 자담치킨!! 후라이드 시키니까 양념소스 따로 주시더라고요 정말 맛있세 잘 먹었습니다,"순살 치킨/1(맛 선택(후라이드＋간장),사이드메뉴 추가(매운양념소스 추가))"
9,나쁘지않아요 괜찮아요,"순살 치킨/1(맛 선택(후라이드＋허니버터),사이드메뉴 추가(콜라 사이즈 업))"
10,맛나요~~~~~~~~~~~,동물복지 후라이드 치킨/1(사이드메뉴 추가(콜라 사이즈 업))
11,자담치킨 진짜 너뮤 맛잇어요 바삭바삭하니 양도 많규 너무 좋아요,"핫순살 치킨/1(사이드메뉴 추가(양념소스 추가),맛 선택(동물복지 후라이드 한마리))"
12,진짜 맛있어요.. 후라이드 바삭하고 맛있고 ㅎㅎㅎ 감자튀김도 주셔서 잘 먹었어요!,핫순살 치킨/1(맛 선택(동물복지 후라이드 한마리))
13,배달예정시간보다 빨리받았고 기사님도 친절하셔서 더 맛있게 먹었어요.,핫후라이드 치킨/1(맛 선택(동물복지 후라이드 한마리))
14,치킨은 엄청 맛있어요 ㅎㅎ 감자튀김 서비스까지. 절인무는 좀 생 무? 맛이 나서 별로였어요 그래도 만족 ㅎㅎ,순살 치킨/1(맛 선택(후라이드＋허니버터))
15,자주 시켜먹어요 맛있게 먹고있어요,동물복지 후라이드 치킨/1
16,너무 마시쪙 ㅜㅜㅜㅜ,핫후라이드 치킨/1(맛 선택(동물복지 후라이드 한마리))
17,잘 먹었습니다 ㅎㅎ,순살 치킨/1(맛 선택(후라이드＋양념))
18,늘 여기서만 먹어요,순살 치킨/1(맛 선택(간장＋양념))
19,양 아주 푸짐하고 맛도 좋더라고요. 만족스러워요^^,"동물복지 후라이드 치킨/1(맛 선택(동물복지 후라이드 한마리)),순살 치킨/1(맛 선택(간장 한마리))"
