,리뷰,메뉴
0,배달 짱 빠르고 맵게 부턱드렸는데 고추 팡팡 너무 맛있어요 히히 지코바는 역시 치밥이 진리,순살양념（매운맛）/1
1,제일 매운맛 시켰는데 별로 안매워서 좀 아쉽네요 ~,순살양념（매운맛）/1
2,다른 지점에서도 먹어봤는데 여기가 더 좋아요 배달도 빠르고 맛있어요 떡 추가 햇반 추가는 진리입니당....,"순살양념（보통맛）/1,떡 추가/1,햇반/1,배달 생맥주 1000cc/1"
3,가족들이랑 같이 밥이랑 먹었어요 굿굿,순살양념（보통맛）/1
4,한강에서 먹으려고 주문했는데 1시간 걸리는거 감안하고 주문했는데 생각보다 배달이 빨리 왔어요! 뜨근뜨끈하게 갖다주셔서 쌀쌀한 한강공원에사 더 맛있게 먹을 수 있었어요^^ 밥 비벼먹으려고 햇반도 주문했는데 젓가락만 있어서 먹기가 힘들었어요ㅠ 햇반 주문하면 숟가락도 함께주시면 좋을것같아요! 처음먹는 지코바치킨이었는데 다들 맛있었다고 이야기하네요!,"순살소금구이치킨/1,순살양념（매운맛）/1,햇반/1"
5,배달도 매우 빨리오고 맛있어요!!! 너무 만족스럽게 잘 먹었습니다~!!,순살양념（매운맛）/1
6,"순살은 정말맛있었는데 뼈양념은 조금 싱겁고, 뻣뻣한느낌입니다 두마리나 시켰는데ㅠ",뼈 양념치킨（보통맛）/2
7,예상 배달시간보다 빠르게 와서 좋았어요! 지코바 보통맛 순살 짱입니당!!,순살양념（보통맛）/1
8,양념맛이 너무 맛있어요,뼈 양념치킨（보통맛）/1
9,"배달 빠르고, 맛있게 잘 먹었습니다.",뼈 양념치킨（순한맛）/1
10,생각보다 맛있었어요. 밥은 필수,순살양념（순한맛）/1
11,젓가락이 안와서 좀 아쉬웠지만 떡추가 하니 양도많고 맛있게 잘 먹었습니당,"순살양념（순한맛）/1,떡 추가/1,햇반/1"
12,말만 들어보고 처음 주문해서 먹어봤는데 이제 제 인생은 지코바치킨을 먹기 전과 후로 나뉘게 되었습니다... 꿈에 나올 지경입니다,"순살양념（순한맛）/1,떡 추가/1"
13,배달도 엄청 빠르게 왔구 배달 해주시는 분도 엄청 친절하셨구 고추 많이 넣어달라고 했는데 진짜 듬뿍 넣어주신 것 같아서 넘 좋아요ㅠㅠㅠㅠ💕 잘 먹었습니댱,뼈 양념치킨（매운맛）/1
14,뜨거울때 도착 맛있는데 떡 추가했는데 추가 안된 양 같았어요.,"순살양념（매운맛）/1,떡 추가/1"
15,왕맛있었어욤ㅜㅜ지코바쨩...,순살양념（보통맛）/1
16,배달 한 20분만에 온거같아요 엄청빠름 ㅠㅠ 그리고 넘 맛잇음 ㅠㅠㅠㅠㅠ,순살양념（매운맛）/1
17,지코바치킨이 왜 치밥이랑 찰떡궁합인지 알게 되었어용 ! 특유의 양념소스가 맛있게 어우러져서 잘먹었습니다~ 감사합니다,"순살양념（보통맛）/1,햇반/1,음료 중 변경/1"
18,오늘 다시시켜먹엇는데 오늘은 배달도 빠르고 맛은 여전히 좋네요 ㅋㅋ잘먹었습니다,"순살소금구이치킨/1,순살양념（보통맛）/1"
19,순한맛으로 시켰는데도 저한테는 매웠어요,순살양념（순한맛）/1
20,JMT 또 시켜먹을거야~~~,순살양념（보통맛）/1
21,진짜 치밥으로 딱이네요~,"순살양념（순한맛）/1,떡 추가/1"
22,맛나게 잘 먹었습니다,순살양념（보통맛）/1
23,배달이느린데 치킨은 진짜맛잇어요 ㅋㅋ,순살양념（보통맛）/1
24,비오는데다 축구하는날이라 늦을까 걱정했는데 배달시간 정확히 지켜주셨네요 ㅎ 처음시켜봤는데 맛있습니다!!,순살양념（매운맛）/1
25,치밥 잘 먹겠습니다,순살양념（보통맛）/1
26,뚝딱 한그릏 완료 뚝딱뚝딱,순살양념（보통맛）/1
27,양념 매운맛 먹으면 배가 조금 얼얼.. 그치만 맛있어서 자주 시켜먹고있어요ㅎㅎㅎ,"순살양념（순한맛）/1,순살양념（매운맛）/1"
28,양념이 좀 짜지만 밥과 먹으면 괜찮고 맵기도 적당해서 좋았어요!,순살양념（보통맛）/1
29,항상 최고입니다. 지코바 다른지점보다도 더 잘하시는듯해요,순살양념（매운맛）/1
30,졸구맛탱 벗 밥 없이는 못먹겠다 그냥 닭꼬치 맛이야오 맛있어요 네,"순살양념（보통맛）/1,햇반/1"
31,맛맀어요~~~~~!,순살양념（매운맛）/1
32,역시 지코바bbb 배달은 오래걸렸지만 존맛탱,순살양념（보통맛）/1
33,!? goooood,뼈 양념치킨（매운맛）/1
34,아 이래서 밥비벼먹기 좋은거구나,순살양념（보통맛）/1
35,맛있게 잘먹었습니다 ~,"순살양념（순한맛）/1,배달 생맥주 1000cc/1"
36,넘나맛있었어요ㅋㅋ 진짜루,순살양념（매운맛）/1
37,지코바는 가격빼고 흠잡을곳이 없음,"순살양념（보통맛）/1,햇반/1"
