,리뷰,메뉴
0,셰플리 맛있어요!! 다음에 또 시킬게요!!,"묵은지 김치찌개와 통삼겹살/1,묵은지 김치찌개와 유자된장삼겹살/1"
1,으으으으ㅡ으으으으으음,수원왕갈비 치킨 L/1
2,맛있습니다 좋네요굿굿,"육즙가득한 통삼겹/1(고기 추가 선택(추가 유자된장 삼겹살 200g),사이드 추가(묵은지 김치찌개),음료 추가 선택(코카콜라 제로)),춘천식 직화 닭갈비/1(고기 추가 선택(추가 춘천식직화닭갈비 250g),쌈 추가 선택(쌈 추가 친환경 계절쌈))"
3,국물이 땡길때 먹기 좋습니다 집밥 먹는 느낌이예요!,묵은지 김치찌개와 통삼겹살/1
4,이메뉴는 정말레전드인듯 통삼겹이 정말 통으로 두툼하고 숯불향도 나고 진짜 맛있어요,묵은지 김치찌개와 통삼겹살/1
5,맛있었습니다 또 생각나면시킵니당,점심 유자된장삼겹살/1
6,달짝 매콤 맛잇어요,점심 홍시고추장불고기/1
7,맛있게 먹었어요! 첨시켜먹었는데 맛있었네요ㅎ,육즙가득한 통삼겹/1
8,김치찌개가 메인인줄 모르고 씨켰는데 맛있어요,묵은지 김치찌개와 통삼겹살/1
9,제입맛에는 유자가 더 나은거같기도? 하지만 맛맛,점심 홍시고추장불고기/1
