,리뷰,메뉴
0,맛있게 잘 먹었습니다~~,순살 슈프림양념치킨/1
1,슈프림양념치킨 처음 먹어보는데 진짜 맛있어요 ㅎㅎ 이벤트중이라 늦게 배달된다는 카톡 받았는데 그것보단 빨리 왔습니다 잘 먹었습니다^^,순살 슈프림양념치킨/1
2,와야지 먹지요......ㅠ,순살 슈프림양념치킨/1
3,Excellent,반반（순살후라이드반＋순살올리고당양념반）/1
4,역시 슈 프림이 짜세 입니나요,슈프림 양념치킨/1
5,Really good and tasty,반반（순살후라이드반＋순살올리고당양념반）/1
6,배달 너무 빨라서 신기했음,순살 올리고당 양념치킨/1
7,양은 좀 적지만 넘 맛있어요!! 양념은 역시 처갓집이죠!! 이사오고 배달되는 처갓집이 없었는데 생겨서 넘좋네요^^ 자주 먹을게요,순살 슈프림양념치킨/1
8,다른 리뷰에는 양이 엄청 적다고하지만 저는 개인적으로 적지는 않다고 생각돼요! 물론 많은양도 아니지만 적당해요 ㅎㅎ,슈프림 양념치킨/1
9,양도 많고 맛있었어요ㅎㅎ,순살 슈프림양념치킨/1
10,정말 맛있게 먹었읍니다,순살 슈프림양념치킨/1
11,튀김옷이 너무 딱딱하고 가격에비해 양이적어요,반반（순살와락간장반＋순살핫슈프림양념반）/1
12,맛은 좋으나 배달이 매우 느린 편,순살 슈프림양념치킨/1
13,맛있게 먹었습니다.,순살 슈프림양념치킨/1
14,역시 양념치킨은 처갓집,"두마리세트（후라이드＋올리고당양념）/1,1.25L 판매 /1"
15,마시바리니ㅣ뮤ㅓ밐aa,반반치킨（후라이드반＋올리고당양념반）/1
16,양념치킨 중에 최고 맛집,슈프림 양념치킨/1
17,역시 처갓집은 순살이 jmt 너무 맛있습니다,반반（순살올리고당양념반＋순살슈프림양념반）/1
18,슈프림순살완전맛있어요!!,반반（순살슈프림양념반＋순살레몬파닭반）/1
19,너무 느끼하고 나랑은 안맞음,반반（순살후라이드반＋순살슈프림양념반）/1
20,10시에 주문했는데 12시에 오는..2시간만에 배달옴,두마리순살세트（와락간장＋슈프림양념）/1
21,바삭바삭하고 양념도 맛있는데 양이 다른치킨과 비교해 현저히 적습니다,반반（후라이드반＋올리고당양념반）/1
22,맛잇엇어요~~~~~~~~,순살 슈프림양념치킨/1
23,잘먹었습니다. 소스도 많이 뿌려주셔서 더 맛났어요~,두마리세트（슈프림양념＋와락간장）/1
24,빠른배달 감사드리며 맛있어요,매운불양념치킨/1
25,맛있어용~~~ 신촌점에선 처음 시켜보는데 맛있네용 다음엔 그냥 일반 슈프림도 먹어보려구요,슈프림골드 양념치킨/1
26,와 슈프림 처음먹어봤는데 대박이네요 핫슈프림도 별로 안매워서 좋았어요,두마리순살세트（슈프림양념＋핫슈프림양념）/1
27,좀 많이 늦게 왔어요.. 하도 늦게 와서 다른 음식도 시키고 그랬네요 맛은 괜찮았던거 같습니다,슈프림 양념치킨/1
28,맛있어용!!!@!@@@!!!!,슈프림 양념치킨/1
29,맛있옸습니다ㅎㅎㅎㅎ,순살 슈프림양념치킨/1
30,역시 처 GOD집 닭강정은 최고네요,닭강정/1
31,맛있었습니다 슈프림양념소스 맛있네요,순살 슈프림양념치킨/1
32,맛있는데 양이 좀 적음. 사진관련무,순살 반반치킨/1
33,처갓집 양념치킨은 옳아요,순살 슈프림양념치킨/1
34,아니 진짜 배달도 60분 걸린다면서 28분만에 오고 맛도 겁나 맛있고 양도 너무 적당한거 실화입니까 ㅠㅠ 그리고 겨자소스랑 양념소스 따로 넣어주셔서 너무 맛있게 잘 먹었어요 ㅎㅎ 다음에 또 먹을 의향 100%이고 친절하십니다 감사합니다,반반（후라이드반＋올리고당양념반）/1
35,처갓집 슈퍼슈프림 짱입니다,순살 슈프림양념치킨/1
36,20분만에 배달 와서 깜짝 놀랐어요ㅎㅎ 양은 두명 먹기 적당하고 생각보다 느끼했지만 맛있었어요 양념이지만 바삭해서 더 좋았습니다 :),순살 슈프림골드양념치킨/1
37,배달빨리오네용~~~,"The.화이트치킨（골드치즈）/1,사이다 1.25L 판매 /1"
38,순살시켰는데 맛있었어요!,순살 슈프림양념치킨/1
39,좀느끼하깅항대 첫맛환상,（순살）슈프림양념반＋핫슈프림양념반/1
40,아이들이 맛있다고 먹는데 양이 좀 적네요,반반（순살후라이드반＋순살슈프림양념반）/1
41,맛있게 잘 먹었어요~ 양념도 많이 주셔서 감사합니다!,순살 슈프림양념치킨/1
42,후라이드는 고소한맛이네요 연한거같고요 양념은 달달하고 맛있습니다. 순살만 먹어보다 뼈있는치킨으로 먹었는데 맛있네요 특히 양념이 맛있었고요,두마리세트（후라이드＋올리고당양념）/1
43,항상 맛있게 먹고 있습니다.,다리 슈프림양념치킨/1
44,튀김이 생각보다 너무 딱딱해요ㅠ 점바점인지 좀 아쉽네요..,두마리세트（후라이드＋슈프림양념）/1
45,맛은있는데 양은 적어요,반반（순살와락간장반＋순살슈프림양념반）/1
46,"치킨이 제스타일이 아니었을뿐, 친구는 맛있다구 다 먹었어요:) 고추가루? 느낌이 물씬 나는 매운 양념이라 제 취향은 아니었네요ㅠㅠ 가까운곳은 배달비도 없어서 좋았고, 치킨도 튀김은 진짜 잘 튀겨져서 왔어요! 닭도 중간사이즈 느낌으로 양도 많아서 좋았습니단ㅎㅎ 다음엔 그냥 슈프림으로 먹을거같아요!",핫슈프림 양념치킨/1
47,정말 정말 맛있네요 또시킬게요,반반（순살치폴레반＋순살슈프림양념반）/1
48,최고 맛있어요~~~~!!!!! 소스도!!!,반반（순살후라이드반＋순살슈프림양념반）/1
49,언제나 먹어도 맛있습니다,슈프림 양념치킨/1
50,맛있는데 1.5인분이에여!,The.화이트치킨（슈프림）/1
51,양은 부족하지만 달달하니 맛있네요^^,순살 슈프림양념치킨/1
52,"닭이 너무 질겨요 ,,,,",핫슈프림 양념치킨/1
53,잘 먹었습니다! 양이 적어보였던건 기분탓이겠죠ㅜ,순살 슈프림양념치킨/1
54,맛은 있습니다. 다만 배달이 누락돼서 두시간만에 먹었네요.,순살 슈프림양념치킨/1
55,짱 맛있어요 최고,"반반（후라이드반＋슈프림양념반）/1,사이다 1.25L 변경 /1"
56,와우...가격대비 양은 적긴적은거같아요 열어보고 좀 놀란 다른 치킨집에 비해 적어서,
57,역시 최고에요 ㅜㅜ 너무 맛있어요,"두마리순살세트（후라이드＋핫슈프림양념）/1,1.25L 변경/1"
58,핫도 달콤하네요 잘 먹었습니다,순살 핫슈프림양념치킨/1
59,예정시간보다 빨리 배달왔고 처음 시켜봤는데 맘에 들어서 재구매 의사 있어요!!,순살 핫슈프림양념치킨/1
60,말해서 무엇합니까,"반반（후라이드반＋핫슈프림양념반）/1,무 추가/1"
61,항상 처갓집 슈프림 양념은 옳은것같습니다 신촌 지점상당히 맛있습니다~~!!,순살 슈프림양념치킨/1
62,핫슈프림은 질리지도 않고 식어도 맛있어요!,"순살 핫슈프림양념치킨/1,무 추가/1"
63,핫슈프림 하얀 소스는 그렇다 쳐도 빨간 소스도 위에만 뿌려서 나오는건가요? 양념이 위에만 있고 아래는 하나도 없네요,"반반（후라이드반＋핫슈프림양념반）/1,겨자소스/1"
64,배송은 친절한데요 맛이 없어요 눅눅하고 너무 퍽퍽해요 소스맛으로 먹는 느낌,The.화이트치킨（슈프림）/1
65,배달 시간도 빠른 편이였고 요구사항도 잘 들어주심,"순살 슈프림양념치킨/1,처음처럼/2"
66,처갓집은 처음이라 반반 시켰는데 정말 너무 양이 적어서 놀랬네요.. 소스는 맛있어요,반반（후라이드반＋올리고당양념반）/1
67,치킨하면 처갓집이죠,반반（후라이드반＋슈프림양념반）/1
68,배달 빨라요 맛괜찮아요,반반（후라이드반＋올리고당양념반）/1
69,다른 점보다 양이 많고 밋있오요,슈프림 양념치킨/1
70,살이 진짜 거의없고 튀김옷만 먹은느낌이에요,"닭강정/1,두마리순살세트（후라이드＋슈프림양념）/1"
71,엄청빨리왔어요!!!,슈프림 양념치킨/1
72,소스 양도 많고 맛있었어요! 다음에도 또 시킬거예요,"슈프림 양념치킨/1,1.25L 변경/1"
73,배달빠르고 맛있어요 굿굿굿,
