,리뷰,메뉴
0,파닭이 땡기는 날 딱 먹고싶었던 그 맛이었어요!,"양념반＋양념반/1(맛 선택1(순살파닭치킨),맛 선택2(순살양념))"
1,맛있어요 ~감사합니다.,후라이드반＋양념반/1(맛 선택(순살양념))
2,배달 무슨 10분? 만에 온 것 같아욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 감사합니당,"마늘간장치킨/1,사이다 1.25L/1"
3,맛있게 잘먹었습니다,"양념반＋양념반/1(맛 선택1(양념),맛 선택2(마늘간장))"
4,배달빠르고 맛있네요,후라이드반＋양념반/1(맛 선택(양념))
5,빠르고 맛좋은집 추천 합니다!!,반반반세트1（후라이드반＋양념치킨반＋간장치킨반＋콜라500mL）/1
6,👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼,"후라이드치킨/1,두마리（양념＋양념）/1(맛 선택1(매운양념),맛 선택2(매운양념))"
7,👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼,후라이드반＋양념반/1(맛 선택(스노우치즈치킨))
8,양은살짝아쉬웠어요 배달진짜빠르네요 ㅋㅋㅋ,두마리（후라이드＋양념）/1(맛 선택(양념))
9,Gooooooood,"매운간장치킨/1,스노우치즈치킨/1,스노우웨지감자（치즈갈릭）/1,치즈스틱（7개）/1"
