,리뷰,메뉴
0,맛이나 다른건 괜찮았는데 모텔이라 일회용품 안쓴다고 누르지도 않았는데 젓가락안와서 참 그랬네요,"뼈 반반세트/1(반반 치킨 선택(양념치킨)),콜라 1.25/1,생맥주 1000cc/1"
1,양꼬치 맛 기대이상으로 잘만드신듯,쉑쉑양꼬치킨/1
2,다른 치킨집 찾아보다 알게된 이후로 여기서만 시키고 있어요 맛도 있고 튀김도 바삭하고 소스도 넉넉히 뿌려주고 그리고 치킨박스랑 포장지에 테이프 붙여서 보내주는것도 좋아요. 앞으로도 열심히 시켜먹겠습니다,크리미어니언순살치킨/1
3,비교적 안 느끼하고 바싹 튀귄 편이라 좋아요! 순싹!,바삭담백한 후라이드/1
4,떡볶이 주문요청에 말씀드렷는데 빠져서 아쉬웟어요ㅠㅠ,뼈 반반세트/1(반반 치킨 선택(마늘스태미나치킨))
5,모래집 튀김도 바삭하고 맛있어요 마늘스태미나 치킨 소스가 아주 듬뿍. 양도 많고 소스도 많고 절대 후회 안해요,"순살두마리세트/1(순살 두마리 치킨 선택 1(순살 바삭담백한 후라이드),순살 두마리 치킨 선택 2(순살 마늘스태미나치킨)),똥집튀김（소）/1"
6,기대이상이네여~닭발 매우면서 땡기는맛 주먹밥이 있어야 먹을수있는~^^ 치킨도맛있어여 튀기옷이바삭,"바삭담백한 후라이드/1,개매운국물닭발/1,강정소스/1"
7,떡볶이도 맛있게 잘먹었습니다,"순살두마리세트/1(순살 두마리 치킨 선택 1(순살눈맞은치킨),순살 두마리 치킨 선택 2(순살 핫쵸킹))"
8,"간장 후라 양념 떡볶이까지 먹어봤는데 오늘 양념 대박이었어여,, (감탄👍🏼) 치킨무에 국물 없는 것도 깔끔해서 좋구, 요구사항에 자필로 대답해주시는 정성이라뇨ㅋㅋㅋ🍑. 항상 맛있는 치킨 감사합니다! 건강하세요!!","뼈두마리세트/1(뼈두마리 치킨 선택 1(간장치킨),뼈두마리 치킨 선택 2(양념치킨))"
9,역시 치킨플러스 맛있습니다!,"순살 반반세트/1(순살 반반 치킨 선택(순살 양념치킨)),순살 반반세트（양념＋양념）/1(순살 반반 치킨 선택(순살 핫쵸킹,순살눈맞은치킨))"
