,리뷰,메뉴
0,양은많았습니다 양념이 달달구리한게맛나게먹었습니다,순살반반치킨（후라이드반＋양념반）/1
1,콜라 미지근하게 갖다주실거면 왜 갖다주시나요? 콜라 냉장고에 시원하게 할 동안 치킨은 기다렸다가 먹으라는 뜻인가요? 상식적으로 생각해서 배달해주시기 바랍니다..,두마리 순살（후라이드＋양념）/1
2,양은 진짜 많았다. 맛은 시켜본 곳 중 제일 별로였지만 맛이 없다는 건 아니고 상대적인 평가다.,"두마리 순살（후라이드＋양념）/1,치킨무/1"
3,순살 가격도 저렴하고 맛있게 잘 먹었습니다 다르메뉴도 주문해볼게요,"두마리 순살（후라이드＋양념）/1,사이다 500mL/1"
4,맛잇어여 무난쓰..,"순살반반치킨（후라이드반＋양념반）/1,치킨무/1"
5,바삭해욤 아침에도먹을수있어서좋아요,후라이드 치킨/1
6,시켜서 4조각밖에못먹었지만..,"순살반반치킨（후라이드반＋양념반）/1,콜라 1.25L/1"
7,배달시간이 다 되어서 전화를 했더니 앞으로 20분이나 더 걸린다네요 80만에 닭 받았습니다 죄송하다는 말도 없이 그냥 취소 해드린다고 하네요 정말 기분 안 좋게 배달 받았습니다,순살반반치킨（후라이드반＋양념반）/1
8,배달이 오래걸렸어요ㅠㅠ,반반치킨（후라이드반＋양념반）/1
9,말복 쿠폰 이벤트 때문에 원래 시키던 곳은 다 주문을 안받아 기대감 없이 시켰는데 맛있어서 뚜껑 열자마자 순삭했어요 순살 시킬때 또 주문할께요,두마리 순살（후라이드＋양념）/1
10,배달 빠르고 닭도 커서 가족들과 맛있게 잘 먹었습니다 감사합니다,"두마리 순살（후라이드＋간장）/1,콜라 1.25L/1"
11,맛있었습니다 아주! 근데 약간 닭강정 느낌ㅎㅎ,"두마리 순살（양념＋간장）/1,콜라 500mL/1"
12,두 말할 필요 없이 맛있었어요 근데 배달이 좀 많이 늦었네요,"순살반반치킨（후라이드반＋양념반）/1,치킨무/1,콜라 1.25L/1"
13,치킨은 역시 통큰두마리치킨에서 시켜야겠습니다 너무 맛있네용,"순살반반치킨（후라이드반＋양념반）/1,사이다 1.25mL/1"
14,셋이서 먹는데 적당한 양이었고 맛있었어요,"순살반반치킨（후라이드반＋양념반）/1,치킨무/1,콜라 500mL/1"
15,"배달 시간 및 주소 실수는 그럴 수 있다고 봅니다. 튀김의 상태는 양호했으나, 닭 비린내가 심하게 납니다. 두번은 안시켜먹을 것 같아요.",두마리 순살（후라이드＋양념）/1
16,후라이드가 양념보다 4개 정도 적던데 딱봐도 양이 다르게 왓어요.. 왜지ㅜ 전 후라이드 더 좋아하는데요,순살반반치킨（후라이드반＋양념반）/1
17,좋아요,두마리 순살（후라이드＋양념）/1
18,새벽배달되는곳치고 진짜 존맛,치킨뱅이/1
19,맛있게먹었어요. 단 양념치킨은 먹은 후에 입에서 양념맛이 많이 났어요.,"반반치킨（후라이드반＋양념반）/1,콜라 500mL/1"
20,치킨한마리 시킨거에 한시간 40분도 넘게 걸림 정말 개판이고 여기서 안시키는거 추천,반반치킨（후라이드반＋양념반）/1
21,새벽에 배고파서 주문했는데 깔끔하게 잘 먹었습니다.,순살반반치킨（후라이드반＋양념반）/1
22,맛있네요 양이 많지않지만,반반치킨（후라이드반＋양념반）/1
23,맛있어요~~~~~~~~,두마리 순살 양념/1
24,콜라 1.25리터 추가인데 왜 기본제공 콜라 사이즈가 작아지나용?ㅜㅜ,"순살반반치킨（후라이드반＋양념반）/1,콜라 1.25L/1"
25,적당해요! 근데먹다보면 조금 물리는거같아요,두마리 순살（후라이드＋양념）/1
26,새벽에 먹는치킨인데 맛있었네요 간장이 조금부족해서 후라이드 같았던것만빼면,두마리 순살（양념＋간장）/1
27,배달빨라요! 확실히 양념 맛이 독특하긴 하네요.. 뒷맛이 약간 느끼한 기분?,"두마리 순살（양념＋간장）/1,콜라 1.25L/1"
28,순살 양념 간장 시켰는데 순살 간장 옴. 왜이러지?,"두마리 순살（양념＋간장）/1,콜라 1.25L/1"
29,양도 넉넉하고 맛도 괜찮네요 종종 시켜먹어야겠네요!,두마리 순살（후라이드＋양념）/1
30,아따 마 맛있고로잉,"두마리 순살（양념＋간장）/1,사이다 1.25mL/1"
31,양도 많고 맛있어용 다만 소스가 조금 부족하다는 느낌이 아직도 있지만...,두마리 순살（양념＋간장）/1
32,맛도 조우다 양도 넉넉히 가격대비 감사합니다 담에 또 재주문 합니다,두마리 순살（양념＋간장）/1
33,냠냠 쩢쩝 호로롯 줜나맛있넹~!,"두마리 순살（후라이드＋양념）/1,사이다 1.25mL/1"
34,잘먹었습니다! 근데 순살 나갈때 직접소분하시는거면 비계 제거하면 더좋을거같아요 ㅎㅎ,두마리 순살（후라이드＋양념）/1
35,처음시켜먹어봤는데 양은 뭐 그럭저럭 괜찮았던거 같습니다. 배달시간이 길어 튀김이 눅눅한것도 뭐 그럭저럭 참을수있었습니다. 근데 양념치킨이 정말 심각하더군요. 뭐라해야하지 오래되서 상한 물약같은 맛이 나더군요. 웬만해서 가리지 않고 다 먹는사람이라 후라이드는 다먹긴 먹었는데 양념은 도저히 못먹겠더라구요. 진짜 어렸을때 감기걸려서 먹는 그런 물약인데 오래되서 이상한 상한 맛같은게 났어요,반반치킨（후라이드반＋양념반）/1
36,1시간 40분걸리고 너무 ....,두마리 순살（후라이드＋양념）/1
37,맛있네용!! 담번엔 두마리 시켜볼게용,"순살반반치킨（후라이드반＋양념반）/1,콜라 1.25L/1"
38,먹을만 합니다 먹을만해요,순살반반치킨（후라이드반＋양념반）/1
39,분명 간장소스가 후라이드같을까 걱정돼서 소스 넉넉히 주시면 감사하겠다고 요청사항에도 썼는데 후라이드같은 간장이 왔어요..,두마리 순살（양념＋간장）/1
40,양은 많은데 닭 냄새 오지게남 먹다가 닭 되는줄,순살반반치킨（후라이드반＋양념반）/1
41,저번에 간장소스 많이 듬뿍 넣어주셨는데 이번에 간장이 안묻어 있어서 그냥 후라이드로 왔어요.. 간장소스 앞으로 듬뿍 넣어주새요..,두마리 순살（양념＋간장）/1
42,양하난 ㅇㅈ.. 혼자 다 못먹음 최곱니다 갠적으로 전 존맛탱이였아요,두마리 순살（후라이드＋간장）/1
43,배달시킨지한시간반짼데 배달안왔는데 배달완료떠있고 전화는 안받으시네여..사장님 지금이거무슨상황인가요..,양념치킨/1
44,후라이드+양념을 시켰는데 간장+양념이 왔어요 ..... 후라이드 말고는 안먹는 사람이 있었는데 ㅜㅜ 그래도 평가는 좋게 드립니다.. 다음엔 실수하지 말아주세요,두마리 순살（후라이드＋양념）/1
45,맛있네요~~~~~~~~~~~~~~,두마리 순살（양념＋간장）/1
46,콜라를 1.25짜리 시켰는데 안왔네요...맛과 양은 좋았습니다,"두마리 순살（양념＋간장）/1,콜라 1.25L/1"
47,맛있어요!!!!!!,"순살반반치킨（후라이드반＋양념반）/1,콜라 1.25L/1"
48,늦은 새벽시간에 시켜봤는데 맛도 먹을만하구요 배달 시간도 적당하고 만족스러웠습니다!,두마리 순살（후라이드＋양념）/1
49,그냥 그럭저럭 그랬어요,두마리 순살（양념＋간장）/1
