,리뷰,메뉴
0,맛있어요~~ 항상즐겨먹는 페리카나 좋아요~,K세트（양념치킨＋마늘치킨＋콜라 1.25L）/1(추가 선택(떡 추가))
1,맛있게 잘먹었어요 수고하세요,B세트（후라이드＋양념치킨＋콜라1.25L）/1(추가 선택(떡 추가))
2,핵존맛에 가성비짱임 또시킬고임,I세트（양념치킨＋매운양념치킨＋콜라 1.25L）/1
3,"배달은빠릅니다.근데 진짜 닭이 다리,날개빼고 다퍽퍽하고 완전 한번튀겼다가 다시한번튀긴 닭같았습니다. 저만 재수없게 걸린지모르겠는데 정말 다리 날개먹고 반은버렸습니다. 다시는 주문하지않겠습니다",양념치킨/1
4,사진은 먹다보니 못 찍었습니다 배달치킨 막상 먹고싶어도 시켜서 먹고나면 후회하는 경우 많은데 맛있네요 특히 치킨 먹고 나면 소화 잘 되고 갈증 오래 가는 경우 많은데 그런것도 없어서 편하게 먹었습니다 겉바속촉에 배달 하시는 분도 한두마디 뿐이지만 친절이 베어나오시게 말씀하셔서 좋았어요 다음에도 여기서 시켜먹을것 같아요,순살매운양념/1
5,너무 맛남!!!!!!,후라이드반＋양념반/1
6,배달 빨라요ㅎㅎ 잘먹었습니다,간장치킨/1
7,배달원분 너무 친절하고 치킨도 완전 맛있음 최고,후라이드반＋양념반/1
8,맛있게먹었습니당 또시킬게요,"매운후라이드반＋매운양념반/1(추가／변경 선택(떡 추가,콜라 1.25L로 변경))"
9,항상 맛있어요~ 감사합니다,양념치킨/1(추가／변경 선택(떡 추가))
10,시킬때마다 맛있어요 극찬,C세트（후라이드＋간장치킨＋콜라1.25L）/1
11,페리카나는 항상 여기서만 시키네요,후라이드치킨/1
12,쿠폰이없내욜 다음에 두개주세용,A세트（후라이드＋후라이드＋콜라1.25L）/1
13,맛있게 먹었습니다.,후라이드치킨/1
14,좋았었어요~~~~~,후라이드반＋양념반/1
15,맛있는데 양이좀적어용,다리＋날개반반（후라이드반＋간장반）/1(추가／변경 선택(콜라 1.25L로 변경))
16,엉엉 양도 많고 맛도 있고 사장님 너무 친절해서 좋았어요! 앞으로 양념치킨 먹고 싶을때 자주 시켜먹을게요,순살양념치킨/1(추가／변경 선택(떡 추가))
17,바삭바삭! 맛있게 먹었습니다!!,후라이드반＋양념반/1(추가／변경 선택(콜라 1.25L로 변경))
18,맛남!!!!!!!’,후라이드반＋양념반/1
19,ㅋㅋㅋㅋ말익닽zzz,B세트（후라이드＋양념치킨＋콜라1.25L）/1
20,페리카나 양념에서 마늘향이 나는게 옛날 치킨맛ㅎㅎ신선하고 맛있어요~^^,후라이드반＋양념반/1
21,주문이 많이 밀려서 그런지 배달은 늦게왔지만 가성비 대비 맛이랑 뭐하나 떨어지는게 없음 !,B세트（후라이드＋양념치킨＋콜라1.25L）/1
22,마늘치킨 처음 시켰는데 맛있게 잘먹었어요,D세트（후라이드＋마늘치킨＋콜라1.25L）/1
23,배달도 빠르고 친절하십니다:-) 약간만 더 촉촉하면 짱일듯!!,C세트（후라이드＋간장치킨＋콜라1.25L）/1
24,맛있게 잘 먹었습니다!!,순살후라이드반＋순살마늘반/1
25,늦게오긴했지만역시맛있어요,순살양념치킨/1
26,페리카나는 언제나 추천,B세트（후라이드＋양념치킨＋콜라1.25L）/1
27,이벤트때문인가 배달이 쪼끔 늦었지만 배달해주시는분께서 넘 친절하셔서 다 까묵었어요 ㅋㅋㅋ 원래 프라이드 좋아하는데 오랜만에 페리카나 양념맛이 그리워서 시켜보았습니당 맛있게 잘 먹었습니당!!,순살양념반＋순살마늘반/1(추가／변경 선택(떡 추가))
28,양념 너무 맛있어서 또 시켰어요ㅠㅠ 정말 맛있어요,양념치킨/1
29,ㅋㅋㅋㅋㅋㅋ맛있닼ㅋㅋㅋㅋㅋ,B세트（후라이드＋양념치킨＋콜라1.25L）/1
30,"이번엔 간장치킨 맛이 일품이였어요. 그닥 짜지도 않고,맛있게 먹었어요 급히 먹느냐 사진을 못찍었는데. 양은 많아보이진 않았네요.",C세트（후라이드＋간장치킨＋콜라1.25L）/1
31,후라이드 잘 먹었습니다,후라이드치킨/1
32,매번 감사히 맛있게 잘 먹고 잇습니다 ^^ 감사합니다,B세트（후라이드＋양념치킨＋콜라1.25L）/1
33,손님이 오기로 해서 두마리 시켰었어요~ 잘 먹었습니다~,I세트（양념치킨＋매운양념치킨＋콜라 1.25L）/1
34,실수로 주소 잘못했는데... 저였으면 진짜 화냈을텐데 친절하게 맛있게 드세요 하시더라고요 정말 배달하시는 분 정말 친절하시고 치킨도 역시 너무 맛있네요 ~!,후라이드치킨/1
35,맛남!!!!!!!!!!,양념치킨/1
36,페리카나는 늘 옳습니다 배달도 예정시간보다 빨랐어요 양념 굿귯!!!,후라이드반＋양념반/1
37,맛있었습니다!!!!!,누꼬진짬뽕（뼈있는치킨）/1
38,맛남!!!!!!!!!,후라이드반＋양념반/1
