,리뷰,메뉴
0,맛있습니다! 그리고 배달 진짜 진심으로 빠르네요!,두마리치킨2세트（후라이드＋양념치킨＋콜라 1.25L）/1
1,타지점과 비교했을때 조금 실망스러웠어요~금방 튀긴느낌이 안들었어요~먹을만은 해요~배달은 빠릅니다.,양념치킨/1
2,맛 5점 양 5점 배달 5점 총합 100점 꾸울맛,반반치킨/1
3,항상 맛있습니다 닭이 조금 작아진거 같아요,반반치킨/1
4,요청사항 잘 들어주셧고 바싹하고 엄청 맛있게 먹엇어요~~,두마리치킨2세트（후라이드＋양념치킨＋콜라 1.25L）/1
5,삼박자가 좋네요 맛나게 잘먹었습니다,두마리치킨2세트（후라이드＋양념치킨＋콜라 1.25L）/1
6,처음은 바삭하고 맛있는데 먹다보니 느끼하네요. 양은 많아요. 가슴살만 있는지 퍽퍽해서 목에 걸렸어요.,순살 후라이드/1
7,jmt jmt jmt jmt,두마리치킨2세트（후라이드＋양념치킨＋콜라 1.25L）/1
8,다른지점보다 닭이좀큰거같아요,반반치킨/1
9,치킨 존맛임 두사람이 먹으면 충분할듯,페리윙/1
10,맛있게 잘먹었습니다 많이파세요,간장맛 페리윙/1
11,양짱 배달짱 퍽퍽살이 좀 많지만 마시씀,누꼬진짬뽕（순살）/1
12,최고에요~맛도 좋고 짱입니다왕입니다,후라이드치킨/1
13,맛있어요! 양도 많고 양념 소스도 같이 주시고.,핫후라이드치킨/1(콜라 변경(콜라 1.25L 로 변경))
14,맛있네요 치킨만 먹으면 약간 질리는데 그 때 면 한번 후룩 먹으면 ㄹㅇ,누꼬진짬뽕（뼈있는치킨）/1
15,패리카나는 순살보다는 뼈가 맛있는거 같네요 ㅎ 그래도 맛있게 먹었습니다 ㅎ,순살치킨B세트（순살양념＋순살후라이드＋콜라 1.25L）/1
16,배달빠르고 맛있어요!,양념치킨/1
17,맛잇어요 또 시킬 것 가타요,반반치킨/1
18,그럭저럭 맛있었어요 ㅎㅎㅎ 양념소스가 조금 묽은느낌이었어서 좀 아쉬웠지만 ㅎㅎ 옛날엔 꾸덕했던것같은데. 그래도 닭은 졸깃하고 촉촉해서 잘먹었습니다 ㅎㅎ,반반치킨/1(콜라 변경(콜라 1.25L 로 변경))
19,맛잇네요. 오늘 이벤트 날이라 배달은 빠르지는 않고 딱 예상시간으로 오셧습니다. 양은 넉넉하네요,반반치킨/1
20,배달도 빠르고 잘먹었습니다^^,반반치킨/1
21,처음 주문해서 먹어보니 정말 맛있어요,누꼬진짬뽕（순살）/1
22,맛있어요. 잘 먹었습니다^^,두마리치킨2세트（후라이드＋양념치킨＋콜라 1.25L）/1
23,중복 할인으로 잘먹었습니다! 맛있어요!,두마리치킨2세트（후라이드＋양념치킨＋콜라 1.25L）/1
24,양념 맛있어요! 누꼬치킨 !!근데 치킨이 너무 바싹 튀겨져서 딱딱하네오 ㅜㅜ,누꼬진짬뽕（뼈있는치킨）/1
25,후라이드 양념 모두 맛있습니다!!,후라이드치킨/1(콜라 변경(콜라 1.25L 로 변경))
26,1마리보다 닭은 작은 것 같지만 배송도 빠르고 양념도 살짝 맵게 해달라는 요청 들어주셔서 딱 맛있게 먹었어요~!!,두마리치킨2세트（후라이드＋양념치킨＋콜라 1.25L）/1
27,"처음 주문 해보는 페리카나 , 옛날엔 맛있는 치킨 하면 무조건 페리카나 였는데 안먹은지 참 오래됨 오랜만에 주문해서 먹어본 치킨은 옛날 느낌 나서 무척이나 좋았던치킨 퍽살부위가 조금 아쉬웠지만 그래도 앞으로 두마리치킨은 무조건 여기서 주문하는걸로",두마리치킨2세트（후라이드＋양념치킨＋콜라 1.25L）/1
28,양념소스 마늘 너무많이 들어갓어요.. 껍질도 좀 안뜯기고,순살치킨B세트（순살양념＋순살후라이드＋콜라 1.25L）/1
29,넘넘 맛있게 잘 먹었고요 역시 페리카나 닭고기 자체가 맛있음,반반치킨/1
30,그냥 그냥 그냥 그냥,두마리치킨3세트（양념치킨＋양념치킨＋콜라 1.25L）/1
31,생각보다 엄청 맛있어서 놀랬어요,후라이드치킨/1
32,맛있게잘먹었습니다~~^^,반반치킨/1(콜라 변경(콜라 1.25L 로 변경))
33,와 이거 맛있다고 하는 인간들 뭐냐??,누꼬진짬뽕（뼈있는치킨）/1
34,신메뉴 시켜봤는데 은근히 별미네요~ 서비스도 감사합니다^^,누꼬진짬뽕（뼈있는치킨）/1
35,"페리카나는 역시 양념치킨인거 같아요. 맛있고, 친절하셨어요",반반치킨/1
36,두마리닭사이즈..같ㅇㄷ,반반치킨/1
37,솔까 진짜 여기는 어떻게 시켜두 마싯엉,반반치킨/1
38,친절히 요청사항 들어주셔서 감사합니다,두마리치킨1세트（후라이드＋후라이드＋콜라 1.25L）/1
39,맛있습니다 어릴 때 먹던 추억의 맛입니다.,순살치킨C세트（순살양념＋순살양념＋콜라 1.25L）/1
40,굿ㅇ에요 굿 항상 맛나게 먹어요,순살치킨B세트（순살양념＋순살후라이드＋콜라 1.25L）/1
41,"일주일에 한번은 꼭 먹는 치킨~~ㅋㅋ 요번에는 신랑님이 좋아하는 페리카나~~ㅋㅋ 배달,맛 모두 짱입니다.","양념치킨/1,콜라 1.25L/1"
42,맛있어요ᆢ좋아요ᆢ좋아요ᆢ,순살치킨B세트（순살양념＋순살후라이드＋콜라 1.25L）/1
43,배달빨리오고 맛있습이다,반반치킨/1(콜라 변경(콜라 1.25L 로 변경))
44,아침에 눈 뜨자마자 치킨을 외친 후 페리카나가 이른시간에 열었길래 바로 시켰습니다 만족스러워요,반반치킨/1
45,너무맛았어요!!!!,양념치킨/1
46,영계를 튀겨주셨나봐요.. 포장박스가 너무 커보이네요,두마리치킨2세트（후라이드＋양념치킨＋콜라 1.25L）/1
47,후라이드 너무 빠싹튀기셔서 이빨 아파서 두어게 먹고 못먹었네요.......,두마리치킨2세트（후라이드＋양념치킨＋콜라 1.25L）/1
48,바쁘면 늦게 오실수도 있지만 박스는 다 물에 젖어있고 치킨은 다 식어서 눅눅해질려고 하고요 너무 실망이에요 ~ 오늘 증산점엔 무슨일이 있으신가여 ~ 재주문은 없습니다 ㅠㅠ,반반치킨/1
49,양 맛 다 괜찮은 곳!,누꼬/1
50,배달도 빠르고 맛있었습니다! 맛은 변함없네요~ 감사합니다!,반반치킨/1(콜라 변경(콜라 1.25L 로 변경))
51,인생치킨!!치킨은 페리카나가 답이다,반반치킨/1
52,3번째 시켜먹는데.. 이번엔 배달도 1시간지나서 전화하니까오고.. 와서는 일요일이었는데..오다 딱지뗐다고 하고.. 치킨상자는 찌그러져있고... 뭐 여까지는 다 그러려니 할수있는데... 가장중요한치킨이 남은거 재탕해서 튀긴것마냥 마르고 살도없고 질기고... 해서 거짐다버렸네요... 지난번엔 괜찮았는데... 앞으로도 이렇게올까봐 또시키기가 찝찝하네요..,두마리치킨2세트（후라이드＋양념치킨＋콜라 1.25L）/1
53,맛있어요 순살인데 부드럽고 맛나요,순살치킨B세트（순살양념＋순살후라이드＋콜라 1.25L）/1
54,티비에 광고 자주 나오길래 누꼬 시켜봤어요 ㅎㅎ 카레맛이고 양많고 배달도 빨랏어요,누꼬/1
55,페리카나는 좀 식어야 더 맛나는거같아용,반반치킨/1
56,"먹다가 너무 화가 나서 리뷰 씁니다. 맨 처음 사진은 요기요 할인 행사가 없는 날에 시킨겁니다. 그거랑 비교해서 오늘 온 치킨은 메추리를 튀겼나봅니다. 정말 이러실거면 왜 할인이벤트에 참여를 하시나 모르겠습니다. 더러 시켜먹던 곳이었고, 마침 오늘 할인하는 날이길래 시켰더니 완전 기분 상했습니다.",두마리치킨2세트（후라이드＋양념치킨＋콜라 1.25L）/1
57,양념통닭이 맛있어요 맵지않아서 아이듵 먹기에도 좋아요~,두마리치킨2세트（후라이드＋양념치킨＋콜라 1.25L）/1
58,맛있었어요 배달도빨랐습니다,두마리치킨2세트（후라이드＋양념치킨＋콜라 1.25L）/1
59,맛있게 잘 먹었어요.,반반치킨/1
60,1000원비쌈....,반반치킨/1
61,오랜만에 페리카나잘먹었어유,반반치킨/1
62,ㅉㅈㅈㅈㅈㅈㅈ ᆢᆢᆢᆢ,두마리치킨2세트（후라이드＋양념치킨＋콜라 1.25L）/1
63,음... 밤에 배달와서 벨을 누르면 될 것을 건물에 다른 사람들 자고 있는 것은 생각도 안하고 큰소리로 부르는 개똥같는 매너는 어디서 배운 건지.,순살 양념/1(콜라 변경(콜라 1.25L 로 변경))
64,쏘쏘~양이나 맛은 알고잇는만큼 그만큼임,순살 후라이드/1(콜라 변경(콜라 1.25L 로 변경))
65,닭 색이 거뭇거뭇하고 신선도가 떨어졌어요. 요청사항 안들어준것도 별로였어요,양념치킨/1
66,콜라가 안왔지만 빠른대책 도 좋구 맛도 좋구,반반치킨/1(콜라 변경(콜라 1.25L 로 변경))
