,리뷰,메뉴
0,인상적 배달피사의 편견을 깬집,"베이컨 체다치즈/1(사이즈 선택(L),도우 추가 선택(추가 안함),세트 변경 선택(변경 안함))"
1,맛있었습니다!! 사이드도 맛있고요 ㅎㅎ 포장이 깔끔한게 인상적이었습니다.,"인기세트M（피자＋사이드메뉴＋음료L）/1(인기세트 피자 선택(베이컨체다치즈),도우 추가 선택(추가 안함),사이드 메뉴 선택(핫윙&봉（10조각）),음료 선택(코카콜라L),소스 추가 선택(핫소스 2개))"
2,너무 맛나요 배달도 친절하고 빨리오네요,"하프&하프 피자 XL/1(하프앤하프 선택(콤비네이션,플레인치즈),도우 추가 선택 XL(추가 안함),세트 변경 선택(변경 안함))"
3,선물받는 느낌입니다 보온포장으로 뜨겁게 먹을수 있어서 좋았어요 유명 브랜드보다 훠얼씬 b,"페퍼로니/1(사이즈 선택(M（변경 안함）),도우 추가 선택(추가 안함),세트 변경 선택(변경 안함),음료 추가 선택(코카콜라 500mL))"
4,최고 부족한부분이 없음 추천하는 배달집,"하프&하프 피자 M/1(하프앤하프 피자 선택(베이컨체다치즈,하와이언),도우 추가 선택(추가 안함),세트 변경 선택(변경 안함))"
5,"치즈볼 못받았지만 리뷰는 남겨요 맛있게 옴뇸뇸은 했지만 왕감자는 치즈볼을 받지 못하였습니다,,,","인기세트M（피자＋사이드메뉴＋음료L）/1(인기세트 피자 선택(순수고구마),도우 추가 선택(추가 안함),사이드 메뉴 선택(핫윙&봉（10조각）),음료 선택(스프라이트L),소스 추가 선택(핫소스 1개,갈릭디핑소스 2개))"
6,맛있게 잘 먹었어여. 콤비네이션 맛있어요~~~!,"하프&하프 피자 L/1(하프앤하프 피자 선택(콤비네이션,베이컨체다치즈),도우 추가 선택(추가 안함),세트 변경 선택(변경 안함))"
7,배달해주시는분이 친절하세요 뜨거우니조심하세요 그러셨는데 ㅎㅎ 진짜 뜨거워서 식혀먹었습니다 가서 먹는거 같았구요 오늘도 정말 맛있게 먹었어요,"하프&하프 피자 L/1(하프앤하프 피자 선택(페퍼로니,베이컨체다치즈),도우 추가 선택(추가 안함),세트 변경 선택(변경 안함))"
8,..추석연휴에시켜서 그런가요 먹고 배탈심하게낫어요.... 빵이 두꺼운빵도아니규 얇은것두아니구 약간 오구피자?? 쌀피자빵이네요 참고하세요,"하프&하프 피자 M/1(하프앤하프 피자 선택(콤비네이션,플레인치즈),도우 추가 선택(추가 안함),세트 변경 선택(변경 안함),소스 추가 선택(갈릭디핑소스 2개,꿀 1개)),카스 350mL/1"
9,완전 맛나요ㅠㅠ 배달은 조금 느렸지만 맛있었습니당,"하프&하프 피자 M/1(하프앤하프 피자 선택(콤비네이션,베이컨체다치즈),도우 추가 선택(추가 안함),세트 변경 선택(변경 안함))"
