,리뷰,메뉴
0,피자랑 이벤트로 온 치즈볼까지 너무 맛있게 먹었어요! 소스도 제공돼서 너무 좋네용 다음에 또 시켜먹을게요~!,"베이컨 체다치즈/1(사이즈 선택(M（2~3인）),테두리 변경 추가 선택(추가 안함),세트 변경 추가 선택(추가 안함))"
1,엄청 맛있었어요! 또 시켜먹을게요~~~!,"1.인기세트/1(사이즈 선택(M（2~3인）),피자 선택(콤비네이션),사이드 메뉴 선택(치즈오븐스파게티),음료 선택(코카콜라 L),테두리 변경 추가 선택(추가 안함))"
2,맛이 좋네요. 페퍼로니피자가 너무 짜지랂고 적당해서 좋아요.. 치즈도 충분한 거 같앗고. 빵 끝에는 달콤한 맛이 나네요. 서비스로 주신 치즈볼도 식어있어서 아쉬웠지만 맛잇엇어요,"하프 앤 하프 피자 L/1(피자 선택(페퍼로니,콤비네이션),테두리 변경 추가 선택(추가 안함),세트 변경 추가 선택(추가 안함))"
3,피자도 크고 맛도 좋습니다. 특히 콤비네이션이 맛있네요. 잘먹었습니다. 그리고 포장도 깔끔하고 비닐장갑까지 챙겨주는 센스!,"하프 앤 하프 피자 M/1(피자 선택(베이컨체다치즈,콤비네이션),테두리 변경 추가 선택(리치골드（고구마＋체다） 추가),세트 변경 추가 선택(핫윙&봉10조각＋콜라L 추가))"
4,친구추천으로 먹어봤는데 도우까지 맛있었어요 근데 피클에서 벌레가... ㅠㅠㅠ 일단 그 피클은 빼놓고 먹었지만 다음 번에는 한번 더 확인해주셨으면 좋겠습니다.,"하프 앤 하프 피자 L/1(피자 선택(콤비네이션,순수고구마),테두리 변경 추가 선택(추가 안함),세트 변경 추가 선택(추가 안함),음료 추가 선택(코카콜라 S 추가),소스 추가 선택(수제피클 2개 추가,갈릭디핑소스 4개 추가))"
5,맛있었고 배달도 빠르고 좋았어요,"콤비네이션/1(사이즈 선택(M（2~3인）),테두리 변경 추가 선택(치즈크러스트 추가),세트 변경 추가 선택(추가 안함))"
6,너무맛있어요~~ 늘 따뜻하게와서 좋아요~~♡,"1.인기세트/1(사이즈 선택(M（2~3인）),피자 선택(콤비네이션),사이드 메뉴 선택(베이컨크림 스파게티),음료 선택(스프라이트 L),테두리 변경 추가 선택(추가 안함))"
7,잘 먹었습니다ㅋㅋㅋ,"하프 앤 하프 피자 M/1(피자 선택(베이컨체다치즈,순수고구마),테두리 변경 추가 선택(추가 안함),세트 변경 추가 선택(추가 안함))"
8,토핑이 양과 퀄리티가 돈이 아깝다는 생각이 하나도 안들어요 단골하기로 했습니다,"하프 앤 하프 피자 M/1(피자 선택(페퍼로니,소세지킹),테두리 변경 추가 선택(치즈크러스트 추가),세트 변경 추가 선택(추가 안함))"
9,배달도 빠르고 피자가 식지않게 보온팩에 보내주시는 센스 서비스로 주신 치즈볼도 너무 느끼하지 않고 맛있고 피자 또한 담백하더라고요 도우가 맛있네요 ㅎㅎ,"하프 앤 하프 피자 L/1(피자 선택(하와이언,순수고구마),테두리 변경 추가 선택(추가 안함),세트 변경 추가 선택(추가 안함))"
10,피자가 식지않게 처리해주셔서 따끈하게 먹었어요. 리뷰 이벤트로 보내주신 치즈볼도 짱맛! 피자도 크고 오븐스파게티도 엄청 맛있게 먹었어요! 그런데 칠성사이다를 시켰는데 콜라를 보내주셨어요. ㅠㅠ 다음에는 바쁘시지만 음료 꼭 확인해주세요!,"1.인기세트/1(사이즈 선택(M（2~3인）),피자 선택(콤비네이션),사이드 메뉴 선택(치즈오븐스파게티),음료 선택(칠성사이다 L),테두리 변경 추가 선택(추가 안함))"
11,자주 시켜 먹어요 늘 맛있습니다 강추예요,"1.인기세트/1(사이즈 선택(L（3~4인）),피자 선택(베이컨체다치즈),사이드 메뉴 선택(치즈오븐스파게티),음료 선택(코카콜라 L),테두리 변경 추가 선택(추가 안함),소스 추가 선택(퐁듀치즈 1개 추가))"
12,너무 맛있어 보여요!! 배송이 빨랐어요!! 그리고 지금은...정말 맛있어요!! 감사합니다.,"1.인기세트/1(사이즈 선택(M（2~3인）),피자 선택(베이컨체다치즈),사이드 메뉴 선택(치즈오븐스파게티),음료 선택(코카콜라 L),테두리 변경 추가 선택(치즈크러스트 추가),토핑 추가 선택(모짜렐라치즈 120g 추가),소스 추가 선택(파마산치즈 2개 추가,갈릭디핑소스 2개 추가,수제렌치소스 2개 추가))"
13,맛나게 잘먹었어요~~~,"1.인기세트/1(사이즈 선택(L（3~4인）),피자 선택(콤비네이션),사이드 메뉴 선택(치즈오븐스파게티),음료 선택(코카콜라 L),테두리 변경 추가 선택(추가 안함)),카스 4캔/1"
14,비오는날 잘어울리는집,"하프 앤 하프 피자 M/1(피자 선택(페퍼로니,하와이언),테두리 변경 추가 선택(추가 안함),세트 변경 추가 선택(추가 안함))"
15,맛잇오용 배달도 빠르구,"1.인기세트/1(사이즈 선택(M（2~3인）),피자 선택(베이컨체다치즈),사이드 메뉴 선택(베이컨크림 스파게티),음료 선택(코카콜라 L),테두리 변경 추가 선택(추가 안함),소스 추가 선택(갈릭디핑소스 2개 추가))"
16,그럭저럭 맛있게 잘 잘먹었습니다 가성비는 글쎄요...,"페퍼로니/1(사이즈 선택(L（3~4인）),테두리 변경 추가 선택(페스츄리치즈바이트 추가),세트 변경 추가 선택(베이컨크림 스파게티＋콜라L 추가),토핑 추가 선택(베이컨 24ea 추가),소스 추가 선택(퐁듀치즈 1개 추가))"
17,늦은시간에 갑자기 피자가 급 땡겨서 반반시켰는데 따끈할때 와서 너무 맛있었어요ㅜㅜ 다른 맛도 시켜봐야겠어요ㅋㅋ,"하프 앤 하프 피자 M/1(피자 선택(페퍼로니,베이컨체다치즈),테두리 변경 추가 선택(추가 안함),세트 변경 추가 선택(추가 안함))"
18,음메에에에에에에에~~~~!!!!!!~~!~!@@@~~!!!!🐮🐮🐮,"하프 앤 하프 피자 L/1(피자 선택(베이컨체다치즈,콤비네이션),테두리 변경 추가 선택(리치골드（고구마＋체다） 추가),세트 변경 추가 선택(핫윙&봉10조각＋콜라L 추가),소스 추가 선택(갈릭디핑소스 2개 추가)),수제피클/1,갈릭디핑소스 2개/1"
19,배달 빨라요. 하와이안 맛 취향저격입니다,"1.인기세트/1(사이즈 선택(M（2~3인）),피자 선택(하와이언),사이드 메뉴 선택(통다리핫바베큐치킨（다리만 6조각）),음료 선택(칠성사이다 L),테두리 변경 추가 선택(추가 안함))"
20,너무 맛있게 잘먹었습니다 ㅋㅋ,"하프 앤 하프 피자 M/1(피자 선택(하와이언,매콤불고기),테두리 변경 추가 선택(추가 안함),세트 변경 추가 선택(추가 안함))"
21,드디어 찾았다 자주 시켜먹어도 되는 집,"하프 앤 하프 피자 L/1(피자 선택(페퍼로니,콤비네이션),테두리 변경 추가 선택(치즈크러스트 추가),세트 변경 추가 선택(추가 안함))"
22,피자 토핑 듬뿍하고 배달도 정말 빨랐어요!!!!굳굳,"베이컨 체다치즈/1(사이즈 선택(M（2~3인）),테두리 변경 추가 선택(추가 안함),세트 변경 추가 선택(추가 안함))"
