,리뷰,메뉴
0,최고입니다!!!!!!,뼈한마리/1(뼈 소스선택(간장))
1,"저만 그런건진 모르겠는데 같이 온 콜라는 따져있었고 치킨은 덜 익은건지 오래된건지 냄새나고 안에 핏물나오더라구요,, 두 마리 시켰는데 절반 정도 버렸네요.... 리뷰 넘 좋아서 처음 시켜먹어봤는데 좀 많이 실망했습니다,,",뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(후라이드＋간장))
2,빠른배송 감사합니다,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(양념＋매운간장))
3,너무너무 맛있어옹 아주 좋아용,순살치킨/1(순살 소스선택(후라이드))
4,금방 가져다 주셨어요~ 따뜻하게 맛있게 먹었습니다 이상하게(?) 부드러운 살이 많아서 혼자 거의 다 먹었네요 다른 집에 비해 양념도 넉넉히 주셔서 더 맛있었습니다~,뼈한마리/1(뼈 소스선택(양념))
5,시간두 적당하구 맛도괜찮구 양도괜찮네용ㅎㅎ 잘먹었습니다^^,뼈한마리/1(뼈 소스선택(땡초불꽃))
6,음료 사이즈업과 맛있는 치킨 보내주셔서 감사합니다.,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(간장＋매운간장))
7,믿고 시키는 북가좌점,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(후라이드＋매운간장))
8,매번 시켜먹습니다 스윗츠갈릭 최고~👍,스윗츠갈릭 뼈한마리＋뼈한마리（소스선택）/1(뼈 소스선택(후라이드))
9,정말 맛있게 잘 먹었습니다~,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(양념＋간장))
10,깔ㅋ금해요! 감사합니다.,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(후라이드＋양념))
11,호식이 두마리 항상 맛있어요,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(양념＋간장))
12,뼈한마리+뼈한마리 땡초+간장먹었는데 정말맛있고 양도많더라구요 ㅎㅎ맛있게잘먹었습니다:),뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(간장＋땡초불꽃))
13,배달도 빠르고 좋았어요!!!!,"순살치킨 ＋ 순살치킨/1(순살 소스선택＋순살 소스선택(후라이드＋양념),추가선택(달콤마요소스추가,콜라 사이즈업,트리플치즈볼))"
14,넘 맛있어요옹 배달도 빠르고!!🍗🍗🍗🍗🍗🍗🍗,순살치킨/1(순살 소스선택(간장))
15,제일 맛있는 닭다리...옆에 양념에 찍어 먹으면 최고예요,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(후라이드＋양념))
16,기름이 깨끗해보이고 배달이빨랐어요,"순살치킨 ＋ 순살치킨/1(순살 소스선택＋순살 소스선택(양념＋간장),추가선택(콜라 사이즈업))"
17,배달도 빠르고 맛있었어요~ 겉에 튀김이 좀 더 바삭하면 제 입맛에 더 맞았을 것 같긴한데 양념이라 그럴수도 있고... 그래도 맛있었습니다!,순살치킨 ＋ 순살치킨/1(순살 소스선택＋순살 소스선택(양념＋매운간장))
18,인터폰이 이상했음에도 친절한 배달 감사합니다. 양도 많고 맛있어요.,뼈한마리/1(뼈 소스선택(스윗츠갈릭))
19,편지까지 갬동... 맛있게 먹었어요! 텐더도 맛있음 ㅠㅠ,"뼈한마리/1(뼈 소스선택(간장),추가선택(양념컵추가))"
20,배달 빠르고 배달하시는 분도 친절합니다 후라이드 순살 닭가슴살 쓰는거 같은데 많이 퍽퍽하지 않고 씹는 식감 적당하고 따뜻하고 코카콜라에 맛있게 잘 먹었습니다!,순살치킨/1(순살 소스선택(후라이드))
21,항상 시켜먹는 호식이 양도많고 맛도좋고 매운맛은 적당하게매워 느끼함을 잡아줘서 좋아요,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(후라이드＋매운양념))
22,맛있어요 !!! 북가좌1호점 호식이는 진짜 양도 푸짐하고 너무 깔끔하게 와서 좋아요!~~ 맛있게 잘 먹었습니다 ㅎㅎㅎ,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(매운양념＋매운간장))
23,믿고 시키는 북가좌1호점,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(후라이드＋매운간장))
24,북가좌1호점 호식이는 역시 진리입니다,불짬뽕뼈한마리 ＋ 뼈한마리（소스선택）/1(뼈 소스선택(양념))
25,맛있고 수제쪽지도 넘나 좋은것,"뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(후라이드＋양념),추가선택(콜라 사이즈업,트리플치즈볼))"
26,굿굿굿굿굿굿굿굿굿굿,순살치킨/1(순살 소스선택(양념))
27,역시 호식이 후라이드는 진짜 맛있네요 텐더도 맥주안주로 딱이었어요!,뼈한마리 ＋ 안심텐더/1(뼈 소스선택＋텐더 소스선택(후라이드（뼈）＋후라이드（텐더）))
28,추석인데도 배달빠르고 양도많고 손편지의 친절함~~ 무엇보다 맛났어요,뼈한마리 ＋ 뼈한마리/2(뼈 소스선택＋뼈 소스선택(후라이드＋양념))
29,스위츠갈릭 맛있게 잘 먹었어요 근데.. 쫌 아쉬운게 있다면 너무 짜서^^;; 담엔 좀 덜 짜게 해달라고 요청드려야 될 것 같네요,뼈한마리/1(뼈 소스선택(스윗츠갈릭))
30,배달원도 친절하셨고 넘넘 맛있어요 치즈볼에서는 치즈가 쫙쫙 ㅎㅎ 서비스로 주신텐더도 질기지않고 넘부드러웠어요 ~ 번창하세요 ^^,"다리＋날개/1(다리＋날개 소스선택(양념),추가선택(트리플치즈볼))"
31,배달도 빠르고 맛나게 먹었습니다,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(매운양념＋간장))
32,처음 시켜봤는데 배달도 빠르고 맛도있고 다음에 또 시켜야겠어요,"뼈한마리/1(뼈 소스선택(후라이드)),생맥주 1000cc/1"
33,배달도 빠르고 맛있어요~!! 번창하시길 바래용,뼈한마리 ＋ 뼈한마리/1(뼈 소스선택＋뼈 소스선택(후라이드＋간장))
